objectid,locationid,title,date_start,date_end,medium,dimensions,classification,constituentid,forwarddisplayname,lastname,displaydate,artist_beginyear,artist_endyear,nationality,wikidataid,roletype,role,uuid,viewtype,maxpixels,depictstmsobjectid,artist_display,url,image_id
70,8469.0,An Old Woman Dozing over a Book,1655.0,1655.0,Oil on canvas,overall: 82.2 x 67 cm (32 3/8 x 26 3/8 in.),Painting,1503,Nicolaes Maes,Maes,"Dutch, 1634 - 1693",1634.0,1693.0,Dutch,Q505150,artist,artist,c5f5cfa6-6150-435a-bf5d-a0a7a55c52f7,primary,,70,"Nicolaes Maes (Dutch, 1634-1693)",https://api.nga.gov/iiif/c5f5cfa6-6150-435a-bf5d-a0a7a55c52f7/full/max/0/default.jpg,NGA-c5f5cfa6-6150-435a-bf5d-a0a7a55c52f7
25,8388.0,Profile Portrait of a Lady,1410.0,1410.0,Oil on panel,"painted surface: 52 x 36.6 cm (20 1/2 x 14 7/16 in.)
overall (panel): 53 x 37.6 cm (20 7/8 x 14 13/16 in.)
framed: 74.1 x 61.3 x 5.4 cm (29 3/16 x 24 1/8 x 2 1/8 in.)",Painting,8343,Franco-Flemish 15th Century,Franco-Flemish 15th Century,,1400.0,1499.0,Franco-Flemish,,artist,painter,82e62b74-1316-4ed3-9bf2-504e3939edec,primary,,25,Franco-Flemish 15th Century,https://api.nga.gov/iiif/82e62b74-1316-4ed3-9bf2-504e3939edec/full/max/0/default.jpg,NGA-82e62b74-1316-4ed3-9bf2-504e3939edec
58,8415.0,"Henry, Duke of Gloucester",1653.0,1653.0,Oil on canvas,"overall: 104.8 x 87 cm (41 1/4 x 34 1/4 in.)
framed: 128.91 x 111.13 x 11.43 cm (50 3/4 x 43 3/4 x 4 1/2 in.)",Painting,1371,Adriaen Hanneman,Hanneman,"Dutch, c. 1603/1604 - 1671",1603.0,1671.0,Dutch,Q864279,artist,painter,51c903d0-02a1-404b-bf92-1e3942c02fef,primary,,58,"Adriaen Hanneman (Dutch, c. 1603/1604-1671)",https://api.nga.gov/iiif/51c903d0-02a1-404b-bf92-1e3942c02fef/full/max/0/default.jpg,NGA-51c903d0-02a1-404b-bf92-1e3942c02fef
49,8388.0,Portrait of a Man with an Arrow,1470.0,1475.0,Oil on panel,"painted surface: 31.3 x 25.1 cm (12 5/16 x 9 7/8 in.)
overall (panel): 31.9 x 25.8 cm (12 9/16 x 10 3/16 in.)
framed: 40.2 x 32.7 x 6.4 cm (15 13/16 x 12 7/8 x 2 1/2 in.)",Painting,1712,Hans Memling,Memling,"Netherlandish, active c. 1465 - 1494",1445.0,1494.0,Netherlandish,Q106851,artist,artist,8835af10-db33-41e3-8684-4fc3117c2a15,primary,,49,"Hans Memling (Netherlandish, active c. 1465-1494)",https://api.nga.gov/iiif/8835af10-db33-41e3-8684-4fc3117c2a15/full/max/0/default.jpg,NGA-8835af10-db33-41e3-8684-4fc3117c2a15
59,8410.0,Portrait of a Gentleman,1569.0,1569.0,Oil on canvas,overall: 119.7 x 88.3 cm (47 1/8 x 34 3/4 in.),Painting,1729,Antonis Mor,Mor,"Netherlandish, 1519 - 1576",1519.0,1576.0,Netherlandish,Q176694,artist,artist,2b2c95ba-68bc-4a33-a23e-878bc480e874,primary,,59,"Antonis Mor (Netherlandish, 1519-1576)",https://api.nga.gov/iiif/2b2c95ba-68bc-4a33-a23e-878bc480e874/full/max/0/default.jpg,NGA-2b2c95ba-68bc-4a33-a23e-878bc480e874
52,8389.0,Christ Appearing to the Virgin,1475.0,1475.0,Oil on panel,"overall: 163 × 93 cm (64 3/16 × 36 5/8 in.)
framed: 182.88 × 115.57 × 11.43 cm (72 × 45 1/2 × 4 1/2 in.)",Painting,13,Anonymous Artist,Anonymous Artist,,,,Unknown,Q4233718,artist,painter,89d562d2-a933-4218-bb2a-2e0f325af98b,primary,,52,Anonymous Artist,https://api.nga.gov/iiif/89d562d2-a933-4218-bb2a-2e0f325af98b/full/max/0/default.jpg,NGA-89d562d2-a933-4218-bb2a-2e0f325af98b
52,8389.0,Christ Appearing to the Virgin,1475.0,1475.0,Oil on panel,"overall: 163 × 93 cm (64 3/16 × 36 5/8 in.)
framed: 182.88 × 115.57 × 11.43 cm (72 × 45 1/2 × 4 1/2 in.)",Painting,1971,Rogier van der Weyden,Weyden,"Netherlandish, 1399/1400 - 1464",1399.0,1464.0,Netherlandish,Q68631,artist,related artist,89d562d2-a933-4218-bb2a-2e0f325af98b,primary,,52,"Possibly Rogier van der Weyden (Netherlandish, 1399/1400-1464)",https://api.nga.gov/iiif/89d562d2-a933-4218-bb2a-2e0f325af98b/full/max/0/default.jpg,NGA-89d562d2-a933-4218-bb2a-2e0f325af98b
61,,The Lacemaker,1925.0,1925.0,Oil on canvas,"overall: 44.5 x 40 cm (17 1/2 x 15 3/4 in.)
framed: 67.3 x 61.9 x 9.5 cm (26 1/2 x 24 3/8 x 3 3/4 in.)",Painting,13,Anonymous Artist,Anonymous Artist,,,,Unknown,Q4233718,artist,painter,b386f7e0-cacb-495a-9eef-3c96f5a6ce14,primary,,61,Anonymous Artist,https://api.nga.gov/iiif/b386f7e0-cacb-495a-9eef-3c96f5a6ce14/full/max/0/default.jpg,NGA-b386f7e0-cacb-495a-9eef-3c96f5a6ce14
61,,The Lacemaker,1925.0,1925.0,Oil on canvas,"overall: 44.5 x 40 cm (17 1/2 x 15 3/4 in.)
framed: 67.3 x 61.9 x 9.5 cm (26 1/2 x 24 3/8 x 3 3/4 in.)",Painting,1951,Johannes Vermeer,Vermeer,"Dutch, 1632 - 1675",1632.0,1675.0,Dutch,Q41264,artist,related artist,b386f7e0-cacb-495a-9eef-3c96f5a6ce14,primary,,61,"Possibly Johannes Vermeer (Dutch, 1632-1675)",https://api.nga.gov/iiif/b386f7e0-cacb-495a-9eef-3c96f5a6ce14/full/max/0/default.jpg,NGA-b386f7e0-cacb-495a-9eef-3c96f5a6ce14
62,,The Smiling Girl,1925.0,1925.0,Oil on canvas,"overall: 41 x 31.8 cm (16 1/8 x 12 1/2 in.)
framed: 68.9 x 59.1 x 12.1 cm (27 1/8 x 23 1/4 x 4 3/4 in.)",Painting,13,Anonymous Artist,Anonymous Artist,,,,Unknown,Q4233718,artist,painter,53b11b32-8e95-41d4-bb53-a55931823419,primary,,62,Anonymous Artist,https://api.nga.gov/iiif/53b11b32-8e95-41d4-bb53-a55931823419/full/max/0/default.jpg,NGA-53b11b32-8e95-41d4-bb53-a55931823419
62,,The Smiling Girl,1925.0,1925.0,Oil on canvas,"overall: 41 x 31.8 cm (16 1/8 x 12 1/2 in.)
framed: 68.9 x 59.1 x 12.1 cm (27 1/8 x 23 1/4 x 4 3/4 in.)",Painting,1951,Johannes Vermeer,Vermeer,"Dutch, 1632 - 1675",1632.0,1675.0,Dutch,Q41264,artist,related artist,53b11b32-8e95-41d4-bb53-a55931823419,primary,,62,"Possibly Johannes Vermeer (Dutch, 1632-1675)",https://api.nga.gov/iiif/53b11b32-8e95-41d4-bb53-a55931823419/full/max/0/default.jpg,NGA-53b11b32-8e95-41d4-bb53-a55931823419
72,8365.0,Sir Brian Tuke,1527.0,1534.0,Oil on panel,"overall: 49.1 x 38.5 cm (19 5/16 x 15 3/16 in.)
framed: 67 x 57.5 x 7.6 cm (26 3/8 x 22 5/8 x 3 in.)",Painting,1400,Hans Holbein the Younger,Holbein the Younger,"German, 1497/1498 - 1543",1497.0,1543.0,German,Q48319,artist,artist,7c06df7a-06da-47fc-93e4-fc35ff83fc50,primary,,72,"Hans Holbein the Younger (German, 1497/1498-1543)",https://api.nga.gov/iiif/7c06df7a-06da-47fc-93e4-fc35ff83fc50/full/max/0/default.jpg,NGA-7c06df7a-06da-47fc-93e4-fc35ff83fc50
509,,Scene from Ancient History,1750.0,1750.0,Oil on canvas,"overall (oval): 140.3 x 109.3 cm (55 1/4 x 43 1/16 in.)
framed: 165.7 x 134.6 cm (65 1/4 x 53 in.)",Painting,1927,Giovanni Battista Tiepolo,Tiepolo,"Venetian, 1696 - 1770",1696.0,1770.0,Italian,Q186202,artist,artist,ce14cdf4-fedc-4229-bb08-7f50d89f3871,primary,,509,"Giovanni Battista Tiepolo (Venetian, 1696-1770)",https://api.nga.gov/iiif/ce14cdf4-fedc-4229-bb08-7f50d89f3871/full/max/0/default.jpg,NGA-ce14cdf4-fedc-4229-bb08-7f50d89f3871
77,8427.0,Adriaen van Ostade,1646.0,1648.0,Oil on canvas,"overall: 94 × 75 cm (37 × 29 1/2 in.)
framed: 119.06 × 99.22 × 9.53 cm (46 7/8 × 39 1/16 × 3 3/4 in.)",Painting,1369,Frans Hals,Hals,"Dutch, c. 1582/1583 - 1666",1582.0,1666.0,Dutch,Q167654,artist,artist,2a84e43d-2935-48b3-a4e2-7a3e4fc53580,primary,,77,"Frans Hals (Dutch, c. 1582/1583-1666)",https://api.nga.gov/iiif/2a84e43d-2935-48b3-a4e2-7a3e4fc53580/full/max/0/default.jpg,NGA-2a84e43d-2935-48b3-a4e2-7a3e4fc53580
80,,An Old Lady with a Book,1637.0,1637.0,Oil on canvas,"overall: 109.7 x 91.5 cm (43 3/16 x 36 in.)
framed: 147.3 x 128.9 x 13.9 cm (58 x 50 3/4 x 5 1/2 in.)",Painting,1822,Rembrandt van Rijn,Rembrandt van Rijn,"Dutch, 1606 - 1669",1606.0,1669.0,Dutch,Q5598,artist,painter,d11ecc48-9cf8-482f-bf63-8ec3238816ef,primary,,80,"Rembrandt van Rijn (Dutch, 1606-1669)",https://api.nga.gov/iiif/d11ecc48-9cf8-482f-bf63-8ec3238816ef/full/max/0/default.jpg,NGA-d11ecc48-9cf8-482f-bf63-8ec3238816ef
80,,An Old Lady with a Book,1637.0,1637.0,Oil on canvas,"overall: 109.7 x 91.5 cm (43 3/16 x 36 in.)
framed: 147.3 x 128.9 x 13.9 cm (58 x 50 3/4 x 5 1/2 in.)",Painting,1822,Rembrandt van Rijn,Rembrandt van Rijn,"Dutch, 1606 - 1669",1606.0,1669.0,Dutch,Q5598,artist,related artist,d11ecc48-9cf8-482f-bf63-8ec3238816ef,primary,,80,"Possibly Rembrandt van Rijn (Dutch, 1606-1669)",https://api.nga.gov/iiif/d11ecc48-9cf8-482f-bf63-8ec3238816ef/full/max/0/default.jpg,NGA-d11ecc48-9cf8-482f-bf63-8ec3238816ef
80,,An Old Lady with a Book,1637.0,1637.0,Oil on canvas,"overall: 109.7 x 91.5 cm (43 3/16 x 36 in.)
framed: 147.3 x 128.9 x 13.9 cm (58 x 50 3/4 x 5 1/2 in.)",Painting,8351,Dutch 17th Century,Dutch 17th Century,,1600.0,1699.0,Dutch,,artist,painter,d11ecc48-9cf8-482f-bf63-8ec3238816ef,primary,,80,Dutch 17th Century,https://api.nga.gov/iiif/d11ecc48-9cf8-482f-bf63-8ec3238816ef/full/max/0/default.jpg,NGA-d11ecc48-9cf8-482f-bf63-8ec3238816ef
87,8357.0,Pope Innocent X,1650.0,1650.0,Oil on canvas,"overall: 49.2 x 41.3 cm (19 3/8 x 16 1/4 in.)
framed: 78.4 x 69.5 cm (30 7/8 x 27 3/8 in.)",Painting,13,Anonymous Artist,Anonymous Artist,,,,Unknown,Q4233718,artist,painter,da9c1054-627f-4caf-bbdc-4faf97a779a8,primary,,87,Anonymous Artist,https://api.nga.gov/iiif/da9c1054-627f-4caf-bbdc-4faf97a779a8/full/max/0/default.jpg,NGA-da9c1054-627f-4caf-bbdc-4faf97a779a8
