name,artist_id,birth_date,death_date,birth_date_dt,death_date_dt,nationality_id,nationality,image_url,wikipedia_title,biography,family_name,given_name
Master Alejo,Q101541791,,,,,,,,,,Andía,Alejo
Vincenzo Frediani,Q19361195,1476,1505,+1476-00-00T00:00:00Z,+1505-00-00T00:00:00Z,,,,Vincenzo di Antonio Frediani,Vincenzo di Antonio Frediani (fl. 1481 - 1504) was an Italian Renaissance painter.,Frediani,Vincenzo
Weng Juan,Q15898902,,,,,Q7462,Song dynasty,,,,Xugu,
Jean-Baptiste Pater,Q731533,1695,1736,+1695-12-29T00:00:00Z,+1736-07-25T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste Pater (1695-1736).jpg,Jean-Baptiste Pater,"Jean-Baptiste Pater (December 29, 1695 – July 25, 1736) was a French rococo painter.
Born in Valenciennes, Pater was the son of sculptor Antoine Pater and studied under him before becoming a student of painter Jean-Baptiste Guide. Pater then moved to Paris, briefly becoming a pupil of Antoine Watteau in 1713. Watteau, despite treating Pater badly, had a significant influence on him. However the two quarreled and Pater returned to Valenciennes, where he remained for two years. In 1721, Pater and the dying Watteau reconciled; subsequently Pater became a student of Watteau once again, although only for a month before the latter's death. Pater later claimed to have learnt everything he knew during those few weeks with Watteau. He was accepted into the Académie in 1728, presenting a large military work in the popular Watteau style: La Rejouissance des Soldats (Louvre).

Pater adopted the popular Fête galante subject matter, heavily imitating his teacher Watteau—indeed he directly copied some of his figures. Pater used a traditional Rococo pastel palette. His most characteristic difference in style from other artists of the time surrounded his use of shimmering lines. His most prominent customer was Frederick the Great, who sat for two portraits in the ""Turquerie"" style: Le Sultan au Harem and Le Sultan au Jardin. One of Pater's most renowned works is Landscape with a Cart (Schloss Charlottenburg), which is considered to display a feathery application of paint that anticipates Francesco Guardi. The delicately constructed subject matter and figures subordination to the buildings represent a movement away from fête galante, a development that was cut short by Pater's death in 1736.",Pater,Jean-Baptiste-Joseph
Angelica Kauffmann,Q123098,1741,1807,+1741-10-30T00:00:00Z,+1807-11-05T00:00:00Z,Q39,Switzerland,https://commons.wikimedia.org/wiki/Special:FilePath/Angelika Kauffmann - Self Portrait - 1784.jpg,Angelica Kauffman,"Maria Anna Angelika Kauffmann  ( KOWF-mən; 30 October 1741 – 5 November 1807), usually known in English as Angelica Kauffman, was a Swiss Neoclassical painter who had a successful career in London and Rome. Remembered primarily as a history painter, Kauffman was a skilled portraitist, landscape and decoration painter. She was, along with Mary Moser, one of two female painters among the founding members of the Royal Academy in London in 1768.",Kauffmann,Angelica
Thomas Lawrence,Q312096,1769,1830,+1769-04-13T00:00:00Z,+1830-01-07T00:00:00Z,Q174193,United Kingdom of Great Britain and Ireland,"https://commons.wikimedia.org/wiki/Special:FilePath/Self-Portrait-1788) by Sir Thomas Lawrence, PRA.jpg",Thomas Lawrence,"Sir Thomas Lawrence  (13 April 1769 – 7 January 1830) was an English portrait painter and the fourth president of the Royal Academy. A child prodigy, he was born in Bristol and began drawing in Devizes, where his father was an innkeeper at the Bear Hotel in the Market Square. At age ten, having moved to Bath, he was supporting his family with his pastel portraits. At 18, he went to London and soon established his reputation as a portrait painter in oils, receiving his first royal commission, a portrait of Queen Charlotte, in 1789. He stayed at the top of his profession until his death, aged 60, in 1830.
Self-taught, he was a brilliant draughtsman and known for his gift of capturing a likeness, as well as his virtuoso handling of paint. He became an associate of the Royal Academy in 1791, a full member in 1794, and president in 1820. 
In 1810, he acquired the generous patronage of the Prince Regent, was sent abroad to paint portraits of allied leaders for the Waterloo Chamber at Windsor Castle, and is particularly remembered as the Romantic portraitist of the Regency. 
Lawrence's love affairs were not happy (his tortuous relationships with Sally and Maria Siddons were the subjects of several books) and, in spite of his success, he spent most of life deep in debt and never married. At his death, he was the most fashionable portrait painter in Europe. His reputation waned during Victorian times, but has since been partially restored.

",Lawrence,Thomas
Lucas Cranach the Elder,Q191748,1472,1553,+1472-10-04T00:00:00Z,+1553-10-16T00:00:00Z,Q12548,Holy Roman Empire,https://commons.wikimedia.org/wiki/Special:FilePath/Lucas Cranach d. Ä. 063.jpg,Lucas Cranach the Elder,"Lucas Cranach the Elder (German: Lucas Cranach der Ältere [ˈluːkas ˈkʁaːnax deːɐ̯ ˈʔɛltəʁə]; c. 1472 – 16 October 1553) was a German Renaissance painter and printmaker in woodcut and engraving. He was court painter to the Electors of Saxony for most of his career, and is known for his portraits, both of German princes and those of the leaders of the Protestant Reformation, whose cause he embraced with enthusiasm. He was a close friend of Martin Luther. Cranach also painted religious subjects, first in the Catholic tradition, and later trying to find new ways of conveying Lutheran religious concerns in art. He continued throughout his career to paint nude subjects drawn from mythology and religion.
Cranach had a large workshop and many of his works exist in different versions; his son Lucas Cranach the Younger and others continued to create versions of his father's works for decades after his death. He has been considered the most successful German artist of his time.

",Cranach,Lucas
Marcel Ordinaire,Q21809613,1848,1896,+1848-01-01T00:00:00Z,+1896-01-01T00:00:00Z,Q142,France,,,,Ordinaire,Marcel
Ren Bonian,Q3028266,1840,1896,+1840-01-01T00:00:00Z,+1896-01-01T00:00:00Z,Q8733,Qing dynasty,,Ren Bonian,"Ren Yi (Chinese: 任頤; 1840–1896), also known as Ren Bonian, was a painter and son of a rice merchant who supplemented his income by doing portraits. He was born in Zhejiang, but after the death of his father in 1855 he lived in Shanghai. This move placed him in a more urban world that was exposed to Western thinking. In Shanghai he became a member of the Shanghai School which fused popular and traditional styles. Ren Bonian ranked with Ren Xiong, Ren Xun and Ren Yu as the ""Four Rens.""
He was noted for his bold brushstrokes and use of color. In his earlier career the Song Dynasty painters influenced him, but later on he favored a freer style influenced by the works of Zhu Da.

",Ren,Yi
Frederic Remington,Q560787,1861,1909,+1861-10-04T00:00:00Z,+1909-12-26T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Frederic Remington.jpg,Frederic Remington,"Frederic Sackrider Remington (October 4, 1861 – December 26, 1909) was an American painter, illustrator, sculptor, and writer who specialized in the genre of Western American Art. His works are known for depicting the Western United States in the last quarter of the 19th century and featuring such images as cowboys, American Indians, and the US Cavalry.",Remington,Frederic
