artwork_id,display_name,artist_id
ARTIC-0052fc88-353e-db97-8741-b6b5ec6fb354,"Sir Thomas Lawrence (English, 1769-1830)",Q312096
ARTIC-005f82e8-fe78-0395-c03f-894a246fb922,"Frederic Remington (American, 1861–1909)",Q560787
ARTIC-008b12ac-8061-8b3b-f93f-a2a91490a23f,"Artist unknown (Chinese, 19th century)",
ARTIC-00ca7b9d-5cf8-6e05-aea6-bf10ae13e393,Flemish (Antwerp?),
ARTIC-00df5b07-1d76-b1da-93ed-b98bb0700c3d,"Angelica Kauffmann (Swiss, 1741-1807)",Q123098
ARTIC-00fdacbb-872a-1091-3272-39967374ec07,"Hubert Robert (French, 1733-1808)",Q548205
ARTIC-01883c5e-cb84-eaad-0b2e-369065b5bfd2,India,
ARTIC-01e93a51-4f67-6493-ed11-966d39820973,Chinese or Tibetan,
ARTIC-02459847-504a-a9e7-577e-857426317072,"Unknown Artist (Japanese, Edo period (1615-1868))",
ARTIC-02735665-fe0f-b015-8d49-772552805973,India,
ARTIC-0274aa9e-95d1-2a8e-12e3-2b09d7749b4f,"Gustave Caillebotte (French, 1848–1894)",Q295144
ARTIC-0291ae9f-e025-39d5-69da-d28f5e3c14e1,"John Singleton Copley (American, 1738–1815)",Q316016
ARTIC-02bc3896-bc28-57bd-c829-cc4de184c7a8,"In the style of John Constable (English, 1776–1837)",
ARTIC-02f89de9-0b05-fb1c-fc15-bc48787debfb,"Jean-Baptiste-Joseph Pater (after) (French, 1695-1736)",Q731533
ARTIC-032c971b-43a2-c1af-a560-9433c2578504,"India (Rajasthan, Jaipur)",
ARTIC-035361f5-488e-f93b-b1f6-40a436da01d5,"India (Rajasthan, Jaipur)",
ARTIC-0356e981-edc5-56ad-1a64-9ebdae3c5aab,"Lucas Cranach the Elder (German, 1472–1553)",Q191748
ARTIC-035e8677-22c5-d349-d2a3-7a820e4f880d,"François Bonvin (French, 1817–1887)",Q1357683
