,title,artist_display,date_display,date_start,date_end,medium,image_id,url,intro,overview,style,style_tags,theme,theme_tags,main_objects,other_objects,movement,object_tags,tags
1874,The Equatorial Jungle,"Henri Rousseau (French, 1844-1910)",1909,1909.0,1909.0,Oil on canvas,NGA-c6518c61-98bb-4759-9042-b4bc2ec343ef,"https://api.nga.gov/iiif/c6518c61-98bb-4759-9042-b4bc2ec343ef/full/1686,/0/default.jpg","A lush, vibrant portrayal of a dense, mysterious equatorial jungle scene.","In 'The Equatorial Jungle,' various tropical plants densely populate the scene, with their large leaves and colorful flowers creating an immersive environment. Two piercing eyes peek through the foliage, suggesting the presence of a hidden jungle animal.","The painting represents Rousseau's signature naive or primitive style, characterized by a dream-like atmosphere and a non-scientific portrayal of botany and animals. The forms are simplified and stylized with a flatness to the composition, and the perspective is often disregarded to favor the dense layering of plants and vegetation.","['Naive Art', 'Primitive', 'Post-Impressionism', 'Surreal', 'Dream-like']","This piece captures the essence of an exotic jungle untouched by human civilization. It reflects Rousseau's fascination with the wild and his ability to conjure up such sights from his imagination, having never left France.","['Jungle', 'Exotic', 'Wilderness', 'Nature', 'Imagination', 'Mystery']","{'Tropical Plants': ""Verdant foliage with broad leaves and pink flowers dominates the composition, contributing to the jungle's enigmatic ambiance."", 'Hidden Animal': 'Behind layers of leaves, the dark silhouette and glowing eyes of a concealed animal suggest a secretive jungle inhabitant.'}","['Sky', 'Flowers']","['Post-Impressionism', 'Naive Art', 'Primitivism']","['Tropical Plants', 'Hidden Animal', 'Sky', 'Flowers']","['Naive', 'Primitive', 'Post-Impressionism', 'Dreamlike', 'Wilderness', 'Nature', 'Mystery', 'Sky', 'Flowers']"
2479,"Sawmill, Outskirts of Paris","Henri Rousseau (French, 1844-1910)",c. 1893/95,1888.0,1895.0,Oil on canvas,ARTIC-3826e366-e82a-e853-12e4-b303a1618103,"https://www.artic.edu/iiif/2/3826e366-e82a-e853-12e4-b303a1618103/full/1686,/0/default.jpg",Henri Rousseau's quaint vision captures the essence of a sawmill in a pastoral Parisian landscape.,"This artwork depicts a sawmill on the outskirts of industrializing Paris. The scene shows piles of sawdust, a leafy environment, and figures walking along a winding path. The mill's structure stands out amidst the flourishing greenery.","Rousseau's painting style here is characterized by a primitive and naive quality, reflected in the flatness of the forms and the meticulous, almost illustrative detail given to the vegetation and sawmill structures. The painting evokes a dreamlike simplicity, with a clear and organized composition that seems almost self-taught and unaffected by the sophisticated techniques of his contemporaries.","['Naive Art', 'Primitivism', 'Post-Impressionism', 'Dreamlike', 'Flatness', 'Illustrative Detail']","The theme revolves around the juxtaposition of industrial activity with the natural world, depicting how rural and suburban areas were being shaped by technological advancements at the close of the 19th century.","['Industry', 'Nature', 'Juxtaposition', 'Technology', 'Rural Life', 'Suburban Landscape']","{'Sawmill': 'The sawmill, with its simple geometric structure and red roof, represents the encroachment of industry into the natural landscape.', 'Piles of Sawdust': ""White sawdust piles demonstrate the mill's activity, contrasting with the greenery and industriousness of the background."", 'Figures': 'The figures on the path offer a human element to the scene, dressed in black, they add scale and a sense of everyday life.'}","['Trees', 'Winding Path', 'Vegetation', 'Sky', 'Foliage']","['Naive Art', 'Post-Impressionism']","['Sawmill', 'Piles of Sawdust', 'Figures', 'Trees', 'Winding Path', 'Vegetation', 'Sky', 'Foliage']","['Naive', 'Post-Impressionism', 'Dreamlike', 'Flatness', 'Industry', 'Nature', 'Technology', 'Rural Life', 'Figures', 'Trees', 'Vegetation', 'Sky', 'Foliage']"
547,The Forest of Coubron,"Jean-Baptiste-Camille Corot (French, 1796-1875)",1872,1872.0,1872.0,Oil on canvas,NGA-ad77030c-3690-4f50-a062-e762e23c393b,"https://api.nga.gov/iiif/ad77030c-3690-4f50-a062-e762e23c393b/full/1686,/0/default.jpg","A serene depiction of nature's embrace, harmonizing human and natural elements.","The painting 'The Forest of Coubron' illustrates a tranquil forest scene, featuring tall, leafy trees and a single horse rider journeying down a winding path. The image evokes a sense of quietude and communion with the forest, with warm light filtering through the canopy and illuminating the path ahead of the traveler.","Jean-Baptiste-Camille Corot's painting manifests the Realist style, with a touch of early Impressionist influences, seen in the loose brushwork and the portrayal of light. His technique captures the forest's essence and atmosphere, emphasizing the play of natural light and shadow rather than meticulous detail. This creates a nearly ethereal quality, as the trees and foliage merge into a cohesive, organic whole.","['Realism', 'Impressionism', 'Naturalism', 'Atmospheric', 'Light', 'Loose Brushwork']","The central theme of 'The Forest of Coubron' is the symbiotic relationship between humans and nature, showcasing the immersion of the individual within the broader, more powerful context of the natural world. It conveys a reflective and almost spiritual contemplation of nature.","['Nature', 'Harmony', 'Contemplation', 'Journey', 'Tranquility', 'Spirituality']","{'forest': 'The forest is depicted with a multitude of vibrant trees, dense foliage, and diffused sunlight, creating a sense of depth and tranquility.', 'horse rider': 'The horse rider, central to the composition, is portrayed as a harmonious element within the forest, gently making their way on the path.'}","['path', 'light']","['Realism', 'Impressionism']","['forest', 'horse rider', 'path', 'light']","['Realism', 'Impressionism', 'Naturalism', 'Atmospheric', 'Loose Brushwork', 'Nature', 'Harmony', 'Contemplation', 'Tranquility', 'Spirituality', 'Forest', 'Path']"
841,Ville-d'Avray,"Jean-Baptiste-Camille Corot (French, 1796-1875)",c. 1865,1865.0,1865.0,Oil on canvas,NGA-924bd29d-5c19-4627-8a56-89d9f7cd9a95,"https://api.nga.gov/iiif/924bd29d-5c19-4627-8a56-89d9f7cd9a95/full/1686,/0/default.jpg",A serene depiction of nature harmonizing with human presence in Ville-d'Avray.,"The painting portrays a tranquil natural scene at Ville-d'Avray, with leafy trees, a calm body of water, and a building complex in the background. In the foreground, figures engage with the landscape, hinting at daily life in quiet communion with nature.","Corot's distinctive style merges realism with a poetic sensibility, emphasizing soft light, delicate brushwork, and a muted palette. The painting reflects the Barbizon school's focus on natural landscapes, and Corot's transitional role towards Impressionism, capturing fleeting atmospheric conditions and a sense of immediacy.","['Realism', 'Barbizon School', 'Poetic Sensibility', 'Soft Light', 'Delicate Brushwork', 'Muted Palette', 'Impressionism', 'Atmospheric', 'Naturalism']","The theme centers on the harmonious relationship between humans and their environment, showcasing the quiet and idyllic aspects of rural life. Corot invites contemplation of the peaceful coexistence of civilization with the pastoral landscape.","['Human-Nature Relationship', 'Rural Life', 'Idyllic', 'Tranquility', 'Pastoral', 'Contemplation', 'Harmony', 'Environment']","{'Building Complex': 'The buildings in the background suggest an inhabited landscape, integrated within the natural setting, possibly a village or countryside estate.', 'Leafy Trees': ""The trees are detailed meticulously, capturing the ephemeral quality of light as it filters through the leaves, symbolizing nature's enduring presence."", 'Figures': 'Several figures are depicted engaging with the landscape, including a person standing and another seated, embodying a peaceful human interaction with the environment.'}","['Water', 'Sky', 'Clouds', 'Reflections', 'Grass', 'Wildflowers']","['Barbizon School', 'Realism', 'Pre-Impressionism']","['Building Complex', 'Leafy Trees', 'Figures', 'Water', 'Sky', 'Clouds', 'Reflections', 'Grass', 'Wildflowers']","['Realism', 'Barbizon School', 'Soft Light', 'Delicate Brushwork', 'Muted Palette', 'Impressionism', 'Atmospheric', 'Naturalism', 'Human-Nature Relationship', 'Rural Life', 'Idyllic', 'Tranquility', 'Pastoral', 'Contemplation', 'Harmony', 'Environment', 'Figures', 'Water', 'Sky', 'Clouds', 'Reflections', 'Grass']"
1861,The Olive Orchard,"Vincent van Gogh (Dutch, 1853-1890)",1889,1889.0,1889.0,Oil on canvas,NGA-f07617e8-43ad-4954-8223-4b40dce37061,"https://api.nga.gov/iiif/f07617e8-43ad-4954-8223-4b40dce37061/full/1686,/0/default.jpg",A vibrant display of nature and human presence amidst twisted olive trees.,"The artwork captures a sunlit olive orchard with several gnarled trees under a vast, encompassing sky. Two people work among the trees, one atop a ladder, pruning branches, while the other, possibly a woman, stands below, likely assisting. The ground is uneven, with swaths of earth and vegetation patchworked across the scene.","Vincent van Gogh's 'The Olive Orchard' exhibits his signature Post-Impressionist style with bold, expressive brushstrokes and a vivid color palette. The painting emphasizes the textural quality of the trees and foliage. Swirls and lines in the sky and ground echo the movement within nature, contributing to an intense, emotional expression of the scene.","['Post-Impressionism', 'expressive', 'brushstrokes', 'vivid', 'textural', 'emotional', 'nature']","The painting delves into the relationship between humans and nature, highlighting the labor involved in tending to the olive trees. It also reflects the beauty and complexity of the natural world, as seen through the twisted forms of the trees and the lively play of light and color.","['nature', 'human presence', 'labor', 'agriculture', 'beauty', 'complexity', 'light', 'color']","{'olive trees': 'The olive trees stand with twisting trunks and branches, reflecting the rugged beauty and resilience of nature within the orchard.', 'workers': 'One worker atop a ladder prunes the tree, while another stands below, showcasing human interaction with and dependence on nature.'}","['sky', 'ground', 'ladder']",['Post-Impressionism'],"['olive trees', 'workers', 'sky', 'ground', 'ladder']","['Post-Impressionism', 'Expressive', 'Brushstrokes', 'Vivid', 'Textural', 'Emotional', 'Nature', 'Human Presence', 'Labor', 'Agriculture', 'Complexity', 'Sky', 'Ground']"
2156,Woman Bathing Her Feet in a Brook,"Camille Pissarro (French, 1830-1903)",1894/95,1894.0,1895.0,Oil on canvas,ARTIC-5ccaee46-a1a0-5035-821c-0547aa35c070,"https://www.artic.edu/iiif/2/5ccaee46-a1a0-5035-821c-0547aa35c070/full/1686,/0/default.jpg",A serene depiction of a moment of everyday tranquility in nature.,"The painting captures a solitary woman seated by a brook, delicately washing her feet, surrounded by lush greenery that reflects Pissarro's appreciation of rural life. The woman’s pose suggests a peaceful interlude, with her attention focused on the simple act of bathing.","Pissarro employs short, textured brushstrokes characteristic of Impressionism, creating a vibrant, dappled effect that conveys the interplay of light and color. His technique reflects the fleeting quality of the natural setting and the transient moment captured. The use of light and shadow enhances the feeling of depth and the palpable atmosphere.","['Impressionism', 'Brushwork', 'Light', 'Color', 'Naturalism']","The theme of the artwork is the harmony between humans and nature, emphasizing the quiet beauty of rural life and daily rituals. It also showcases the interconnection of humanity with the natural world and the simple pleasures found therein.","['Nature', 'Rural Life', 'Serenity', 'Human Interaction', 'Daily Life', 'Tranquility']","{'Woman': 'A woman gracefully bending over to wash her feet in the brook, enveloped by the serene green landscape.', 'Brook': 'A gently flowing brook where the woman bathes her feet, reflecting dappled sunlight through the canopy.', 'Trees': 'Tall trees cloaked in dense foliage that towers above and frames the scene of the pastoral idyll.'}","['Rock', 'Shoes', 'Dappled light', 'Shadows']",['Impressionism'],"['Woman', 'Brook', 'Trees', 'Rock', 'Shoes', 'Dappled light', 'Shadows']","['Impressionism', 'Naturalism', 'Nature', 'Rural Life', 'Serenity', 'Human Interaction', 'Daily Life', 'Tranquility', 'Woman', 'Trees', 'Shoes', 'Shadows']"
1580,Man with a Hoe,"Georges Seurat (French, 1859-1891)",c. 1882,1882.0,1882.0,Oil on wood,NGA-52b425a4-1b7f-4f9a-a7c8-3f88611a5243,"https://api.nga.gov/iiif/52b425a4-1b7f-4f9a-a7c8-3f88611a5243/full/1686,/0/default.jpg","A harmonious portrayal of labor, capturing a figure toiling in the fields.","This artwork features a lone figure bent over while working in a field with a hoe. The atmosphere is one of tranquility and hard labor, with the individual seemingly absorbed in his task. The field stretches behind him, with delineations suggesting rows of crops or plowed land, and in the foreground, lush vegetation appears to be flourishing.","The painting is rendered with visible brushstrokes that blend colors directly on the canvas, characteristic of Pointillism's early stages. There's a focus on the play of light and shadow, with a naturalistic yet slightly abstracted interpretation of the subject. The color palette is rich with earth tones accented by blues and greens, conveying the outdoor setting with an impressionistic touch.","['Impressionism', 'Pointillism', 'Naturalism', 'Colorful', 'Brushwork', 'Light']","The central theme is the dignity of labor, as depicted by the figure's engagement in agricultural work. The painting evokes a sense of connection with the land and highlights the human condition through the lens of a working man immersed in nature.","['Labor', 'Agriculture', 'Dignity', 'Nature', 'Human Condition', 'Toil']","{'man': 'A toiling man is the focus of the painting, hunched over and gripping a hoe, engaged in the enduring task of working the land.', 'hoe': ""The tool in the man's hand, a symbol of agricultural labor and the hard work associated with farming.""}","['field', 'crops', 'vegetation']","['Impressionism', 'Post-Impressionism']","['man', 'hoe', 'field', 'crops', 'vegetation']","['Impressionism', 'Pointillism', 'Naturalism', 'Colorful', 'Labor', 'Agriculture', 'Dignity', 'Nature', 'Human Condition', 'Man', 'Field', 'Vegetation', 'Post-Impressionism']"
2336,The Poet's Garden,"Vincent van Gogh (Dutch, 1853-1890)",1888,1888.0,1888.0,Oil on canvas,ARTIC-9ea77636-76e9-9031-6b92-ff34512d7cbc,"https://www.artic.edu/iiif/2/9ea77636-76e9-9031-6b92-ff34512d7cbc/full/1686,/0/default.jpg","A vibrant, textured depiction of a lush garden painted with emotion and intensity.","The painting captures a verdant garden scene filled with thriving treetops and a lively green foreground. The garden is alive with various species of plants and trees, suggesting a quiet, secluded spot that invites contemplation. The sky is minimally visible, overwhelmed by the towering foliage.","Characteristic of Van Gogh’s Post-Impressionist style, the painting uses bold, visible brushstrokes and a rich, expressive color palette. The artist's emotional state is reflected in the choice of colors and fervent application of paint. This intensity of feeling turns a regular garden scene into a swirling, dynamic expression of nature.","['Post-Impressionism', 'Visible Brushstrokes', 'Vibrant Colors', 'Expressive', 'Textured', 'Emotional']","The theme of the artwork is a celebration of nature’s beauty, particularly the tranquility and inspiration a garden can offer to a poet or any reflective soul. There is a sense of peace and creative sanctuary within this lush environment.","['Nature', 'Garden', 'Tranquility', 'Inspiration', 'Reflection', 'Sanctuary']","{'Trees': ""Diverse trees dominate the scene, their dense canopies rendered in thick, vigorous strokes, signifying the heart of nature's splendor."", 'Grass': 'The foreground is covered in grass, depicted with quick, lively strokes of varying shades of green, adding depth and life to the scene.'}","['Flowers', 'Bushes', 'Sky']",['Post-Impressionism'],"['Trees', 'Grass', 'Flowers', 'Bushes', 'Sky']","['Post-Impressionism', 'Visible Brushstrokes', 'Vibrant Colors', 'Expressive', 'Emotional', 'Nature', 'Garden', 'Tranquility', 'Inspiration', 'Reflection', 'Trees', 'Grass', 'Flowers', 'Bushes', 'Sky']"
1880,The Artist's Garden at V��theuil,"Claude Monet (French, 1840-1926)",1881,1881.0,1881.0,Oil on canvas,NGA-9fc88734-2f9a-4da8-8d46-2b570b201223,"https://api.nga.gov/iiif/9fc88734-2f9a-4da8-8d46-2b570b201223/full/1686,/0/default.jpg",A dazzling display of colors captures the vibrant beauty of a flourishing garden.,"This piece showcases an array of sunflowers towering along a central garden pathway leading towards a small figure, presumably a child, accompanied by a dog. The background reveals a glimpse of a tranquil blue sky, a few distant boats on the water, and the top of buildings beyond the garden’s confines.","The artwork is rendered in the impressionistic style, characterized by visible brushstrokes, a bright color palette, and a focus on the depiction of light and its changing qualities. The loose and almost tactile brushwork creates a sense of movement and spontaneity. Monet’s application of paint varies in thickness and intensity, capturing the ephemeral nature of light and the essence of the landscape rather than its details.","['Impressionism', 'Bright Color Palette', 'Visible Brushstrokes', 'Light', 'Ephemeral', 'Spontaneity']","The theme centers on nature’s beauty and the idyllic tranquility of rural life. It reflects Monet’s fascination with the natural world as captured in fleeting moments. The harmony between nature and human presence is emphasized, invoking a sense of peacefulness.","['Nature', 'Beauty', 'Tranquility', 'Rural Life', 'Fleeting Moments', 'Harmony']","{'Garden Pathway': 'The central focus, this dusty path draws the viewer into the scene, flanked by lush sunflowers and greenery.', 'Sunflowers': 'Tall, vibrant sunflowers dominate the foreground, their bold yellow blooms reaching up towards the light.', 'Child and Dog': ""Near the pathway's end, a child with a white garb stands with a small dog, adding life to the serene setting.""}","['Sky', 'Boats', 'Buildings', 'Green Bushes', 'Flower Pots']",['Impressionism'],"['Garden Pathway', 'Sunflowers', 'Child and Dog', 'Sky', 'Boats', 'Buildings', 'Green Bushes', 'Flower Pots']","['Impressionism', 'Vibrant Color Palette', 'Visible Brushstrokes', 'Ephemeral', 'Spontaneity', 'Nature', 'Tranquility', 'Rural Life', 'Fleeting Moments', 'Harmony', 'Sky', 'Boats', 'Buildings']"
871,Landscape with Buildings,American 18th Century,fourth quarter 18th century,1775.0,1799.0,Oil on wood,NGA-58bb370c-3b6c-4934-8ada-0e153f238161,"https://api.nga.gov/iiif/58bb370c-3b6c-4934-8ada-0e153f238161/full/1686,/0/default.jpg",An 18th-century American pastoral scene blending nature with architectural elements.,"This landscape depicts a serene natural environment with buildings nestled among lush trees. The foreground features expansive grassy fields with a few figures scattered throughout, suggesting human presence and activity within the natural setting. Rolling hills rise in the background beneath a sky showing hints of a setting or rising sun, with its warm glow contrasting the cool tones of the verdant landscape.","The artwork is rendered in a style that combines elements of realism and romanticism, with attention to fine details in the buildings and trees. However, there is also a certain naivety or folk quality to the depiction of figures and nature, indicating the piece may not have been created by a formally trained artist. The use of light and shadow creates depth, and the color palette is muted, with earthy greens and browns dominating the landscape, complemented by the warmer hues of the sky.","['Pastoral', 'Folk Art', 'Realism', 'Romanticism', 'Naive Art', 'Muted Palette', 'Naturalistic']","The painting explores the theme of the bucolic American landscape, capturing the harmonious coexistence of human-made structures within the natural world. It reflects a tranquil, perhaps idealized, rural life where nature and human habitations intertwine, allowing viewers to contemplate the simplicity and beauty of past rural settings.","['Bucolic', 'Nature', 'Rural Life', 'Tranquility', 'Human Presence', 'American Landscape', 'Pastoral Life']","{'Buildings': 'Period-specific architecture is depicted amid the trees, suggesting a settled landscape with human habitation.', 'Trees': 'Various trees, including a prominent palm-like tree and deciduous types, add depth and life to the landscape.', 'Figures': 'Small human figures are shown engaging with the landscape, hinting at daily life in a rural setting.'}","['Hills', 'Sky', 'Grassy fields', 'Pathways']","['Folk Art', 'Early American Art']","['Buildings', 'Trees', 'Figures', 'Hills', 'Sky', 'Grassy fields', 'Pathways']","['Pastoral', 'Folk', 'Realism', 'Romanticism', 'Naive', 'Muted Palette', 'Naturalistic', 'Bucolic', 'Nature', 'Rural Life', 'Tranquility', 'Human Presence', 'American Landscape', 'Pastoral Life', 'Buildings', 'Trees', 'Figures', 'Hills', 'Sky', 'Pathways', 'Early American']"
