,title,artist_display,date_display,date_start,date_end,medium,image_id,url,intro,overview,style,style_tags,theme,theme_tags,main_objects,other_objects,movement,object_tags,tags
1534,Three Pears,"Paul C锟斤拷zanne (French, 1839-1906)",1878/1879,1878.0,1879.0,Oil on canvas,NGA-caafa728-3985-436c-8bac-739ae4a06f65,"https://api.nga.gov/iiif/caafa728-3985-436c-8bac-739ae4a06f65/full/1686,/0/default.jpg",C锟斤拷zanne's exquisite depiction highlights the simple beauty of daily objects.,"This painting by Paul C锟斤拷zanne showcases a trio of ripe pears. The fruit is rendered with careful attention to volume and texture, arranged seemingly casually on a surface that tilts forward towards the viewer.","The work is characteristic of C锟斤拷zanne's Impressionist style, leaning towards the simplicity of form that would influence Cubism. The brushstrokes are visible and bold, with a distinctive use of color and light that reflects the artist's interest in the underlying structure of the natural world. The composition is balanced, despite the asymmetrical arrangement of the pears, each depicted with a sense of weight and three-dimensionality.","['Impressionism', 'Post-Impressionism', 'Color', 'Texture', 'Still Life']","This artwork falls within the genre of still life, with a focus on ordinary subjects. C锟斤拷zanne elevates the commonplace pears into a subject worthy of contemplation, exploring the interplay of color and form to represent the essence of the pears and their tactile presence.","['Still Life', 'Everyday Objects', 'Nature', 'Form', 'Color', 'Light']","{'Pears': 'Three pears are depicted with a rich palette of greens and yellows, highlighting their ripe, textured surfaces and organic forms.'}","['Table surface', 'Neutral background']","['Impressionism', 'Post-Impressionism']","['Pears', 'Table surface', 'Neutral background']","['Impressionism', 'Post-Impressionism', 'Still Life', 'Everyday Objects', 'Nature', 'Form', 'Table Surface', 'Neutral Background']"
1205,The Battle of Love,"Paul C锟斤拷zanne (French, 1839-1906)",c. 1880,1880.0,1880.0,Oil on canvas,NGA-142d053c-f747-4414-afb6-132e67fa6960,"https://api.nga.gov/iiif/142d053c-f747-4414-afb6-132e67fa6960/full/1686,/0/default.jpg","A vibrant depiction of mythical figures entangled in a dynamic, natural setting.","The artwork captures a scene of chaos and mythology, featuring several figures, likely from Greek or Roman mythology, engaged in a dynamic struggle within a forest. Both female and male figures intertwine with expressive gestures, set against a backdrop of lush greenery and a tumultuous sky.","Paul C锟斤拷zanne's 'The Battle of Love' is rendered in an impressionistic style, evident by the loose brushwork, emphasis on light's changing qualities, and the use of color to shape the composition rather than strict linearity. The painting possesses a dream-like quality, with forms that are not sharply defined but rather suggested through color patches and textural strokes.","['Impressionism', 'Post-Impressionism', 'Figurative', 'Loose Brushwork', 'Color', 'Light']","This work thematically explores the complexities and turmoil of love, interpreted through the lens of mythological narrative. The interactions among the figures suggest themes of desire, struggle, and passion, common in mythological tales that deal with human emotions and gods.","['Mythology', 'Love', 'Chaos', 'Passion', 'Human Emotion', 'Struggle', 'Desire']","{'Mythological Figures': 'Various mythological figures are depicted in motion, possibly representing gods and nymphs from classical myths, interacting in a passionate and chaotic scene.'}","['Trees', 'Sky', 'Clouds', 'Grass']","['Impressionism', 'Post-Impressionism']","['Mythological Figures', 'Trees', 'Sky', 'Clouds', 'Grass']","['Impressionism', 'Post-Impressionism', 'Figurative', 'Loose Brushwork', 'Mythology', 'Love', 'Chaos', 'Human Emotion', 'Struggle', 'Trees', 'Sky', 'Clouds', 'Grass']"
1868,Jerusalem Artichoke Flowers,"Claude Monet (French, 1840-1926)",1880,1880.0,1880.0,Oil on canvas,NGA-5bfb4c45-feb8-4dbb-8b77-519c0560dcaf,"https://api.nga.gov/iiif/5bfb4c45-feb8-4dbb-8b77-519c0560dcaf/full/1686,/0/default.jpg",A vivid cascade of yellow blooms captured by Claude Monet in his impressionistic style.,"This painting by Claude Monet features a lush bouquet of Jerusalem artichoke flowers placed in a simple vase, set against a pale background. The flowers dominate the canvas with their vivacious yellow hues, surrounded by green foliage.","Monet's artwork is a quintessential example of the Impressionist style, characterized by visible brushstrokes, a vivid color palette, and an emphasis on capturing light and its changing qualities. Here, the focus on light and texture over detail conveys the essence of the scene rather than its precise anatomical characteristics. The composition's spontaneous feel suggests a fleeting moment captured in time.","['Impressionism', 'Visible Brushstrokes', 'Vivid Colors', 'Light', 'Texture', 'Spontaneity']","The theme of the painting revolves around the natural beauty and tranquility of the floral arrangement. The artichoke flowers, which are not typically celebrated for their aesthetic qualities, are transformed into a subject of admiration, signifying nature's understated elegance.","['Nature', 'Floral', 'Beauty', 'Tranquility', 'Elegance', 'Still Life']","{'Jerusalem Artichoke Flowers': 'The Jerusalem artichoke flowers are depicted with dynamic, swirling yellow petals and lush green leaves, symbolizing natural vibrancy and beauty.'}","['vase', 'table', 'background']",['Impressionism'],"['Jerusalem Artichoke Flowers', 'vase', 'table', 'background']","['Impressionism', 'Visible Brushstrokes', 'Vivid Colors', 'Spontaneity', 'Nature', 'Floral', 'Tranquility', 'Elegance', 'Still Life', 'Vase', 'Table', 'Background']"
2189,Chrysanthemums,"Pierre-Auguste Renoir (French, 1841-1919)",1881/82,1881.0,1882.0,Oil on canvas,ARTIC-479aff61-784e-e833-fd82-50ba8c819514,"https://www.artic.edu/iiif/2/479aff61-784e-e833-fd82-50ba8c819514/full/1686,/0/default.jpg",A vibrant display of chrysanthemums bloom with life in Renoir's impressionist vision.,"This artwork depicts a lush arrangement of chrysanthemums within a pot, placed on a table. The flowers, varied in color and form, burst from the vessel, creating a dense canopy of petals. Captured with vivid brushstrokes, the surrounding space is awash with colors blending into the background.","Characteristic of Renoir's impressionist style, the painting employs loose, vibrant brushstrokes and a rich, harmonious palette to convey the play of light and color. The focus on everyday subject matter, and the visible brushwork emphasize the artist's concern with capturing the fleeting effects of light rather than detailed realism.","['Impressionism', 'Vibrant', 'Vivid Brushwork', 'Harmonious Palette', 'Loose Strokes']","The theme of the painting is a celebration of natural beauty and the transient quality of life. Renoir's chrysanthemums symbolize an appreciation for fleeting moments, as depicted by the blossoms at the peak of their bloom.","['Nature', 'Beauty', 'Transience', 'Floral', 'Life']","{'Chrysanthemums': 'The chrysanthemums are the focal point, with their array of colors and fluffy, intricate petals showcased against the contrasting backdrop.', 'Pot': 'A simple vessel holding the chrysanthemums, grounded on a tabletop, serving as a base for the floral display.'}","['Table', 'Background']",['Impressionism'],"['Chrysanthemums', 'Pot', 'Table', 'Background']","['Impressionism', 'Vibrant', 'Bold Brushstrokes', 'Harmonious Color Palette', 'Nature', 'Transience', 'Floral', 'Life', 'Table', 'Background']"
790,Abraham Clark and His Children,"J. H. (American, active 1822)",1822,1822.0,1822.0,Oil on wood,NGA-d90cae0a-b696-4da3-913d-d81b77453d36,"https://api.nga.gov/iiif/d90cae0a-b696-4da3-913d-d81b77453d36/full/1686,/0/default.jpg",A serene portrait of Abraham Clark锟斤拷锟斤拷锟斤拷锟斤拷锟絪 children seated together in a sylvan se,"The painting depicts a group of children, identified as the offspring of Abraham Clark, arranged in an outdoor, natural setting. Various ages are represented, from an infant to adolescents, with each child posed to convey a sense of individual character and familial bond. The children are dressed in early 19th-century attire, subtly interacting with one another.","The artwork is rendered in a naive style characteristic of itinerant artists of the early 19th century. Attention to detail is evident in the clothing and expressions, while the landscape background is less defined and stylized. The figures are painted with slightly disproportionate features and flatness, lacking the depth and refinement found in academic portrait painting, adding a quaint charm to the piece.","['Naive Art', 'Folk Art', 'Early American Art', 'Portraiture', 'Itinerant Artist']","The painting is centered on the theme of family and childhood. It captures the innocence of the children within the embrace of nature, emphasized by their unassuming poses and direct gazes. The theme reflects the importance of familial connections and the representation of individual identities within a family unit during the early 1800s.","['Family', 'Childhood', 'Nature', 'Innocence', 'Early American Family Life']","{'children': 'Group of six children of varying ages, each with distinct expressions and attire, symbolizing stages of growth and familial relations.', 'nature': 'A pastoral, wooded landscape serving as the background evokes a sense of tranquility and isolation, framing the subject matter.'}","['Infant', 'Book', 'Chicken']","['Folk Art', 'Naive Art']","['children', 'nature', 'Infant', 'Book', 'Chicken']","['Naive', 'Folk', 'Early American', 'Portraiture', 'Family', 'Childhood', 'Nature', 'Innocence', 'Children', 'Book']"
137,"Still Life with Bottle, Carafe, Bread, and Wine","Claude Monet (French, 1840-1926)",c. 1862/1863,1862.0,1863.0,Oil on canvas,NGA-f2b37bef-9caf-4f86-a6a2-72c5773e9267,"https://api.nga.gov/iiif/f2b37bef-9caf-4f86-a6a2-72c5773e9267/full/1686,/0/default.jpg",A moody still life depicting everyday objects with a play on light and shadow.,"This painting features a collection of everyday objects arranged on a table. A dark bottle, a clear carafe, and a partially eaten loaf of bread alongside crumbs on a plate, a wine glass, and a mysterious brown cube, possibly cheese or sugar, are depicted. A corked bottle of wine commands attention with its reflective surface and solid presence amidst the softer textures of the other items.","Claude Monet's work exhibits the hallmarks of early Impressionism, focusing on the interplay of light, color, and shadow. The application of paint is loose and the brushstrokes are visible, creating a sense of movement and spontaneity. The variation in texture and the muted color palette evoke a sense of realism while still capturing an atmospheric impression that transcends mere photographic representation.","['Impressionism', 'Realism', 'Brushwork', 'Atmospheric', 'Light and Shadow', 'Color', 'Texture']","This artwork captures a moment of simplicity and tranquility in the mundane. It reflects the transient nature of daily life and the pleasure found in the simple joys of food and drink, emphasizing the beauty in the ordinary.","['Simplicity', 'Tranquility', 'Mundane Life', 'Daily Life', 'Pleasure', 'Food and Drink', 'Ordinary']","{'Bottle': 'A dark, reflective glass bottle, potentially filled with wine, is central, hinting at the themes of enjoyment and everyday life.', 'Bread': ""A crusty loaf of bread appears partially consumed, its texture and form highlighted against the table's backdrop."", 'Plate with Crumbs': 'A plate with crumbs suggests the remnants of a meal, adding to the narrative of daily living.'}","['Carafe', 'Wine Glass', 'Brown Cube', 'Cork', 'Knife', 'Tablecloth']",['Impressionism'],"['Bottle', 'Bread', 'Plate with Crumbs', 'Carafe', 'Wine Glass', 'Brown Cube', 'Cork', 'Knife', 'Tablecloth']","['Impressionism', 'Realism', 'Atmospheric', 'Light And Shadow', 'Simplicity', 'Tranquility', 'Daily Life', 'Pleasure', 'Bread', 'Wine Glass', 'Tablecloth']"
2240,Apples and Grapes,"Claude Monet (French, 1840-1926)",1880,1880.0,1880.0,Oil on canvas,ARTIC-c12058f4-188f-c6ed-f0fe-52b32acfb296,"https://www.artic.edu/iiif/2/c12058f4-188f-c6ed-f0fe-52b32acfb296/full/1686,/0/default.jpg",A vibrant still life capturing the essence of fresh fruit by Claude Monet.,"This painting, titled 'Apples and Grapes,' portrays a selection of ripe apples and lush grapes arranged on a tablecloth. The fruits are rendered with a sense of immediacy and a rich palette that captures the play of light on their surfaces.","Monet's painting style in this artwork is characteristic of Impressionism, focusing on light and its changing qualities. Short, thick strokes of paint capture the essence of the subject rather than its details. The visible brushstrokes bend with the contours of the fruit, adding to the dynamic feel of the painting.","['Impressionism', 'Light', 'Visible Brushstrokes', 'Colorful', 'Dynamic']","The theme of 'Apples and Grapes' revolves around natural beauty and the simplicity of everyday objects. Through the depiction of the fruits, Monet explores the interplay of light and color, evoking a sensory experience.","['Still Life', 'Nature', 'Simplicity', 'Light', 'Everyday Objects']","{'Apples': 'Several apples with varied hues of red and green scattered casually across a tablecloth.', 'Grapes': 'Clusters of grapes in shades of purple and green, some hanging off the edge of a fruit bowl.'}","['Tablecloth', 'Fruit Bowl']",['Impressionism'],"['Apples', 'Grapes', 'Tablecloth', 'Fruit Bowl']","['Impressionism', 'Visible Brushstrokes', 'Colorful', 'Dynamic', 'Still Life', 'Nature', 'Simplicity', 'Everyday Objects', 'Apples', 'Grapes', 'Tablecloth']"
848,Eaton Family Memorial,"Samuel Jordan (American, 1803/1804-1836 or after)",1831,1831.0,1831.0,Oil on canvas,NGA-05d4d89e-55ca-4a9e-9e0b-fad84db8ce05,"https://api.nga.gov/iiif/05d4d89e-55ca-4a9e-9e0b-fad84db8ce05/full/1686,/0/default.jpg","A vivid narrative scene memorializing the deceased, blending nature and mourning.","The painting 'Eaton Family Memorial' is a commemorative piece that depicts a mourning woman leaning on a tombstone, which lists the names and death dates of the Eaton family members. The background presents a contrasting serene and more tumultuous landscape with a distant town, a fiery sky at dusk, and migratory birds signaling change or passage.","This work features a folk art style characteristic of 19th-century America, with a flat perspective and emphasis on narrative and moral content rather than technical precision or proportional accuracy. The bold use of color and the detailed depiction of the natural elements exemplify the self-taught artist's focus on emotive representation over anatomical exactness.","['Folk Art', '19th Century', 'American Art', 'Narrative', 'Self-Taught Artist', 'Colorful', 'Emotive']","The theme of the artwork revolves around memory, loss, and the passage of time. It is a visual eulogy that commemorates the deceased while reflecting on the cyclic nature of life and death, signified by the transition from day to night and the changing seasons displayed in the landscape.","['Memory', 'Mourning', 'Eulogy', 'Life and Death', 'Time', 'Nature']","{'mourning woman': 'A central focus, the mourning woman dressed in black appears contemplative, resting her head on her hand beside the family memorial.', 'tombstone': 'The white tombstone lists the names and dates of deceased Eaton family members, standing as a stark reminder of mortality.'}","['Willow Trees', 'Distant Town', 'Sky', 'Migratory Birds', 'Leafless Tree', 'Fiery Sky', 'Horse-drawn Carriage', 'Bridge', 'River', 'Rocky Terrain']","['Folk Art', 'American Naive Art']","['mourning woman', 'tombstone', 'Willow Trees', 'Distant Town', 'Sky', 'Migratory Birds', 'Leafless Tree', 'Fiery Sky', 'Horse-drawn Carriage', 'Bridge', 'River', 'Rocky Terrain']","['Folk', 'American', 'Narrative', 'Colorful', 'Emotive', 'Memory', 'Mourning', 'Time', 'Nature', 'Sky', 'Horse-Drawn Carriage', 'Bridge', 'River']"
1162,Peaches on a Plate,"Auguste Renoir (French, 1841-1919)",1902/1905,1902.0,1905.0,Oil on canvas,NGA-6f169290-6717-4c01-9767-2f675230718d,"https://api.nga.gov/iiif/6f169290-6717-4c01-9767-2f675230718d/full/1686,/0/default.jpg",A vibrant still life capturing the simple elegance of peaches upon a dish.,"This artwork presents a cluster of ripe peaches resting casually on a white plate accompanied by green leaves that drape along the edges. The fruit's warm hues contrast with the cooler tones of the background and plate, suggesting a play of light and shadow.","The painting is rendered in a loose, impressionistic style characteristic of Renoir. Quick, visible brushstrokes give life and texture to the fruit's surface, and the interplay of color reflects the artist's focus on capturing fleeting effects of light and atmosphere rather than detailed realism. The painting's lively surface and the casual arrangement of its subject matter emphasize the ephemeral beauty that Impressionism often seeks to capture.","['Impressionism', 'Loose Brushwork', 'Colorful', 'Light', 'Texture', 'Atmospheric']","The theme of this artwork is a celebration of everyday simplicity and the beauty of nature's bounty. It reflects the Impressionist interest in ordinary subjects and the sensual pleasures of color, light, and form in the still life genre. The painting invites the viewer to appreciate the lush, tactile quality of the peaches and the momentary beauty they represent.","['Still Life', 'Nature', 'Simplicity', 'Everyday Beauty', 'Sensuality']","{'peaches': ""Luscious peaches with warm orange and red tones dominate the center, their soft, rounded forms and varying colors are a testament to Renoir's mastery of capturing nature's essence."", 'plate': 'The white plate acts as a stage for the peaches, its simple form and cool colors contrast with the vividness of the fruit, enhancing their visual impact.'}","['green leaves', 'table']",['Impressionism'],"['peaches', 'plate', 'green leaves', 'table']","['Impressionism', 'Loose Brushwork', 'Colorful', 'Atmospheric', 'Still Life', 'Nature', 'Simplicity', 'Everyday Beauty', 'Sensuality', 'Peaches', 'Plate', 'Table']"
1889,Flowers in a Crystal Vase,"Edouard Manet (French, 1832-1883)",c. 1882,1882.0,1882.0,Oil on canvas,NGA-8863a7bc-4cc4-4bc1-a5ee-0ac7b92dad76,"https://api.nga.gov/iiif/8863a7bc-4cc4-4bc1-a5ee-0ac7b92dad76/full/1686,/0/default.jpg",A luminous display of Manet's floral still life in oils.,"The painting portrays a vibrant assortment of flowers casually arranged in a transparent crystal vase. Rich, impasto brushstrokes reveal the various textures and hues of the petals and leaves, set against a muted, neutral background, emphasizing the color and vitality of the flowers.","Manet's painting exemplifies the practice of loose, expressive brushwork characteristic of his later works, reflecting a shift towards Impressionism. The quick, thick strokes create a sense of immediacy and spontaneity, while the composition maintains a classical balance. Light plays a peculiar role here, with reflections and translucency depicted in the crystal vase through masterful use of color and light.","['Impressionism', 'Loose Brushwork', 'Expressive', 'Floral Still Life', 'Oil Painting', 'Vibrant']","A typical still life theme focused on natural beauty, the passage of time, and the simple pleasure found in everyday objects. This painting captures the temporary nature of life, symbolized by the ephemeral beauty of flowers which, although vibrant now, will inevitably wilt and fade.","['Still Life', 'Flowers', 'Beauty', 'Nature', 'Ephemerality', 'Time']","{'Flowers': 'An array of flowers dominates the scene, each rendered with individual attention to its unique color and form, symbolizing both beauty and fragility.', 'Crystal Vase': 'The vase is depicted with careful attention to its transparent and reflective qualities, anchoring the composition and highlighting the delicate balance of the floral arrangement.'}",['Neutral Background'],['Impressionism'],"['Flowers', 'Crystal Vase', 'Neutral Background']","['Impressionism', 'Loose Brushwork', 'Expressive', 'Oil', 'Vibrant', 'Still Life', 'Flowers', 'Nature', 'Ephemerality', 'Time', 'Neutral Background']"
