title,artist_display,date_display,date_start,date_end,medium,image_id,url,intro,overview,style,style_tags,theme,theme_tags,main_objects,other_objects,movement,object_tags,tags
John Quincy Adams,"Thomas Sully (American, born England, 1783-1872)",1824,1824.0,1824.0,Oil on canvas,NGA-878db0d1-6589-4b2a-b442-133f3d854983,"https://api.nga.gov/iiif/878db0d1-6589-4b2a-b442-133f3d854983/full/1686,/0/default.jpg","An eloquent portrait of a distinguished gentleman, capturing character with subtle brushwork.","This painting portrays a man in formal attire, presenting a dignified and thoughtful expression. His gaze is fixed to one side, as if contemplating a matter of great importance, with his face taking center stage against a muted background.","Thomas Sully's portrait of John Quincy Adams showcases the early 19th-century American portraiture style. The painting features a limited color palette focusing on earth tones. Sully uses fine brushwork to render the details of Adams' face and clothing, while the background is deliberately subdued to draw attention to the subject. The artist has captured a sense of realism with a touch of idealization, characteristic of the period's portraiture.","['portrait', 'American', '19th-century', 'realism', 'fine brushwork', 'limited color palette', 'idealization']","The artwork captures the essence of John Quincy Adams, emphasizing his stature and intellect. Reflecting the values of the era, the theme focuses on the dignified representation of a notable figure in American history.","['dignity', 'intellect', 'notable figure', 'American history', '19th-century', 'formality']","{'portrait_subject': 'The central figure, presumably John Quincy Adams, is depicted with keen attention to the textures of his skin and hair, and the fabric of his attire.'}","['clothing', 'background']","['American portraiture', 'Realism']","['portrait_subject', 'clothing', 'background']","['Portrait', 'American', 'Realism', 'Fine Brushwork', 'Limited Color Palette', 'Idealization', 'Dignity', 'Intellect', 'American History', 'Formality', 'Clothing', 'Background', 'American Portraiture']"
Memories,"Frederick Carl Frieseke (American, 1874-1939)",1915,1915.0,1915.0,Oil on canvas,NGA-0fcd9850-455a-44a8-a1a5-8a57eb56c0bc,"https://api.nga.gov/iiif/0fcd9850-455a-44a8-a1a5-8a57eb56c0bc/full/1686,/0/default.jpg",A contemplative mood permeates this early 20th-century portrait by Frederick Carl Frieseke.,"The painting 'Memories' by Frederick Carl Frieseke captures a woman in a voluminous white dress seated next to a mantelpiece. Her gaze is downward, and her posture conveys deep thought or reminiscence. The room is adorned with floral touches and domestic details, enhancing the intimate atmosphere.","Frieseke's style in this piece is illustrative of American Impressionism, with a focus on light, color, and loose brushstrokes that give a softness to the painting's texture. The artist uses a pastel color palette, emphasizing whites and pinks to create a harmonious and gentle environment. The delicate play of light and shadow contributes to the overall tender and ephemeral quality of the work.","['American Impressionism', 'Pastel Color Palette', 'Loose Brushstrokes', 'Light and Shadow', 'Soft Texture', 'Intimate', 'Harmonious']","The work explores themes of introspection and nostalgia, which is depicted through the subject's pose and the title 'Memories'. The interior setting and personal effects hint at a private moment, possibly reflecting on past events or lost time.","['Introspection', 'Nostalgia', 'Private Moment', 'Reminiscence', 'Interior', 'Domesticity']","{'Seated Woman': 'The central figure, a woman dressed in a flowing white gown, embodies a sense of contemplation or wistfulness within a domestic space.', 'Mantelpiece': 'The mantelpiece beside the woman features decorative items and blooming flowers, suggesting a comfortable and lived-in interior.'}","['Flower vase', 'Decorative clock', 'Wall painting', 'Chair']",['American Impressionism'],"['Seated Woman', 'Mantelpiece', 'Flower vase', 'Decorative clock', 'Wall painting', 'Chair']","['American Impressionism', 'Pastel Colors', 'Loose Brushstrokes', 'Light And Shadow', 'Intimate', 'Harmonious', 'Introspection', 'Nostalgia', 'Domesticity', 'Seated', 'Wall', 'Chair']"
Self-Portrait,"Chester Harding (American, 1792-1866)",c. 1825,1825.0,1825.0,Oil on canvas,NGA-9a2db3b4-7310-4653-9278-6a22cfbd0bda,"https://api.nga.gov/iiif/9a2db3b4-7310-4653-9278-6a22cfbd0bda/full/1686,/0/default.jpg",A contemplative man gazes forward in this somber early 19th-century self-portrait.,"The artwork is a self-portrait of Chester Harding, capturing his likeness in fine detail. He presents himself with a slight, engaging half-smile, looking directly at the viewer.","Rendered with realistic precision, the artist employs a smooth technique that blends colors seamlessly. The lighting accentuates the facial features with gentle contrasts, while the dark attire and background convey a sense of depth and focus on the subject's face.","['Realism', 'Portraiture', 'Fine Detail', 'Smooth Technique', 'Subtle Lighting', 'Depth']","As a self-portrait, the painting explores self-representation, capturing the artist's physical appearance, character, and perhaps a glimpse into his psyche during the early 19th century.","['Self-Representation', 'Portraiture', 'Character Study', '19th Century', 'Psychological']","{'Artist': 'Chester Harding is depicted in a formal 19th-century attire, a prominent figure with a direct and subtle expression on his face.'}","['Formal Attire', 'Background']",['Realism'],"['Artist', 'Formal Attire', 'Background']","['Realism', 'Portraiture', 'Fine Detail', 'Subtle Lighting', 'Depth', 'Character Study', 'Psychological', 'Artist', 'Formal Attire', 'Background']"
Village near a Pool,"Meindert Hobbema (Dutch, 1638-1709)",c. 1670,1670.0,1670.0,Oil on canvas,NGA-17542e7c-e6cb-4010-b5d7-3a95ecb9cbe3,"https://api.nga.gov/iiif/17542e7c-e6cb-4010-b5d7-3a95ecb9cbe3/full/1686,/0/default.jpg","A serene depiction of a Dutch village surrounded by lush, mature trees.","This tranquil painting illustrates a pastoral scene of a Dutch village nestled near a reflective pool. Mature trees dominate the landscape, framing the rustic cottages and a church steeple that punctuates the horizon. Villagers go about their daily routines, enhancing the scene's peacefulness.","Meindert Hobbema's artistic style in this piece is reflective of the Dutch Golden Age of painting, characterized by a meticulous attention to detail, a harmonious composition, and a subdued palette. The artwork captures light and shadow with delicacy, suggesting the time of day and season, and invites the viewer into an idyllic, bucolic world.","['Dutch Golden Age', 'Realism', 'Pastoral', 'Landscape', 'Light and Shadow']","The theme of 'Village near a Pool' is the everyday life and natural beauty of 17th-century rural Netherlands. It celebrates the simplicity and calmness of village life, untouched by the bustle of cities, and the harmonious coexistence of humans with nature.","['Rural Life', 'Nature', 'Tranquility', '17th Century', 'Netherlands']","{'Village': 'A quintessential Dutch village with thatched-roof houses and a church forms the focal settlement in this landscape.', 'Trees': 'Several tall, robust trees are centrally featured, providing a sense of scale and grandeur to the setting.', 'Pool': 'A gentle body of water mirrors the surrounding nature and architecture, adding depth and tranquility to the scene.'}","['Villagers', 'Haystacks', 'Animals', 'Fences', 'Clouds', 'Pathway']",['Dutch Golden Age'],"['Village', 'Trees', 'Pool', 'Villagers', 'Haystacks', 'Animals', 'Fences', 'Clouds', 'Pathway']","['Dutch Golden Age', 'Realism', 'Pastoral', 'Landscape', 'Light And Shadow', 'Rural Life', 'Nature', 'Tranquility', 'Village', 'Trees', 'Haystacks', 'Animals', 'Fences', 'Clouds', 'Pathway']"
"Bay of New York, Sunset","Thomas Chambers (American, 1808-1866 or after)",mid 19th century,1825.0,1874.0,Oil on canvas,NGA-4533a385-b367-441e-9d7e-56e41c77c336,"https://api.nga.gov/iiif/4533a385-b367-441e-9d7e-56e41c77c336/full/1686,/0/default.jpg",A serene maritime depiction of ships in the Bay of New York at sunset.,"The artwork 'Bay of New York, Sunset' faithfully represents a picturesque view of the New York harbor during the mid-19th century. Prominently, a large ship adorned with an American flag is seen sailing majestically in the foreground. The sea reflects the hues of the setting sun while casting a shimmering light upon the waves. Several other ships of various sizes dot the bay, set against a background featuring architecture representative of the era and a sky suffused with golden light from the descending sun.","'Bay of New York, Sunset' showcases Thomas Chambers' characteristic style, which includes bold colors, dramatic lighting, and somewhat romanticized and stylized depictions of nautical scenes. The brushwork is detailed yet conveys a sense of movement through the water and sails. The artist employs a somewhat naive perspective, with an audacious use of scale that may not strictly adhere to realistic proportions. The sea and sky are rendered with a degree of theatricality that enhances the romantic appeal of the scene.","['Bold Colors', 'Dramatic Lighting', 'Nautical', 'Romanticized', 'Stylized', 'Theatrical']","The theme of 'Bay of New York, Sunset' centers around maritime life and the human relationship with the sea. It captures the essence of naval prominence and the significance of sea travel in the 19th-century United States. The presence of numerous ships alludes to commerce, exploration, and possibly immigration, reflecting the vibrant activity of New York's busy harbor as a gateway to America.","['Maritime', 'Naval Prominence', 'Sea Travel', 'Commerce', 'Exploration', 'Immigration']","{'Ship with American Flag': 'A detailed large sailing vessel is the centerpiece of the painting, sailing and flying the American flag with crew visible on deck.', 'New York Bay': ""The shimmering waters of New York Bay are depicted with waves gently lapping and reflecting the sunset's colors.""}","['Other ships', 'Architectural structures', 'Clouds', 'Seagulls']","['American folk art', 'American marine painting']","['Ship with American Flag', 'New York Bay', 'Other ships', 'Architectural structures', 'Clouds', 'Seagulls']","['Bold Colors', 'Dramatic Lighting', 'Nautical', 'Romanticized', 'Stylized', 'Theatrical', 'Maritime', 'Commerce', 'Exploration', 'Architectural Structures', 'Clouds', 'American Folk']"
The Travelers,"Meindert Hobbema (Dutch, 1638-1709)",166[2?],1662.0,1662.0,Oil on canvas,NGA-a7fa9b2d-301b-452e-877b-fb4a81b4f954,"https://api.nga.gov/iiif/a7fa9b2d-301b-452e-877b-fb4a81b4f954/full/1686,/0/default.jpg",A serene Dutch landscape with travelers on horseback passing a watermill.,"The painting portrays a rustic scene with travelers making their way along a winding path in a wooded landscape. A significant feature of the composition is a traditional watermill with a large water wheel, situated beside a calm body of water. The sky, partly overcast with cumulus clouds, suggests a dynamic weather on an otherwise tranquil day. Figures on horseback and on foot interact as dogs accompany the journey, suggesting a narrative of travel and daily life.","Meindert Hobbema's artwork exemplifies the Dutch Golden Age landscape painting style. His use of naturalistic detail, subtle light variations, and deep perspective is evident in this piece. The artist's technique in rendering foliage, textures, and reflections in water showcases his skill in depicting nature. The balanced composition, with a focus on everyday rural life and the interaction between humans and nature, reflects Baroque influences as well.","['Dutch Golden Age', 'Naturalistic', 'Baroque', 'Realism', 'Landscape Painting']","The theme revolves around the relationship between humans and their natural surroundings during the 17th century in the Netherlands. It encapsulates a moment in daily life, travel and labor, as evidenced by the depiction of travelers and the functional watermill within the rural setting.","['Nature', 'Travel', 'Daily Life', 'Labor', 'Rural Landscape', '17th Century Netherlands']","{'Travelers': 'A group of figures on horseback traversing the landscape road, bringing a sense of movement and life to the scene.', 'Watermill': 'Prominently features a large wheel and reflects the utilitarian architecture of the Dutch countryside, complementing the natural setting.'}","['Trees', 'Clouds', 'Water', 'Dogs', 'Path', 'Buildings', 'Sky']","['Dutch Golden Age', 'Baroque']","['Travelers', 'Watermill', 'Trees', 'Clouds', 'Water', 'Dogs', 'Path', 'Buildings', 'Sky']","['Dutch Golden Age', 'Naturalistic', 'Baroque', 'Realism', 'Landscape', 'Nature', 'Travel', 'Daily Life', 'Labor', 'Rural Landscape', 'Trees', 'Clouds', 'Water', 'Dogs', 'Path', 'Buildings', 'Sky']"
Ann Calvert Stuart Robinson (Mrs. William Robinson),"Gilbert Stuart (American, 1755-1828)",c. 1804,1804.0,1804.0,Oil on wood,NGA-cfa0016f-41bd-4e16-a94e-a7e349652ff0,"https://api.nga.gov/iiif/cfa0016f-41bd-4e16-a94e-a7e349652ff0/full/1686,/0/default.jpg",A dignified portrait of a woman by renowned artist Gilbert Stuart.,"This artwork is a portrait of Ann Calvert Stuart Robinson. It shows her in a three-quarter view looking directly at the viewer. Mrs. Robinson has dark curly hair, wears a black dress with a white lace collar, and a vibrant red shawl draped over one shoulder.","Gilbert Stuart's style in this portrait is characteristic of early American portraiture, with a strong focus on realism and detail. The delicate rendering of facial features captures the sitter's presence and personality. The stroke work balances smooth flesh tones with the textural contrast of fabric, emphasizing the tactile quality of the lace and the softness of the shawl.","['American Portraiture', 'Realism', 'Neoclassicism', 'Precision', 'Elegant']","The theme centers around the depiction of the American social elite in the early 19th century, capturing both the aesthetic qualities and social status of the subject. The portrait conveys a sense of refined grace, typical of portraiture of this period.","['Social Elite', '19th Century', 'Portraiture', 'American History', 'Grace']","{'Ann Calvert Stuart Robinson': 'The subject of the portrait is elegantly dressed, exuding a demeanor of composed grace, with a direct yet soft gaze. Her attire of a black dress and red shawl represents the fashion of her time, and her facial expression suggests a quiet confidence.'}","['black dress', 'white lace collar', 'red shawl']","['American Neoclassicism', 'Realism']","['Ann Calvert Stuart Robinson', 'black dress', 'white lace collar', 'red shawl']","['American Portraiture', 'Realism', 'Neoclassicism', 'Precision', 'Elegant', 'Portraiture', 'American History', 'Grace', 'Black Dress', 'American Neoclassicism']"
View at West Point,American 19th Century,c. 1852/1858,1852.0,1858.0,Oil on canvas,NGA-fcf7a2ab-1b88-4aef-a6ac-b24fe7242837,"https://api.nga.gov/iiif/fcf7a2ab-1b88-4aef-a6ac-b24fe7242837/full/1686,/0/default.jpg",A tranquil scene capturing the natural beauty of West Point.,"This painting presents West Point, New York, as seen from an elevated perspective. It showcases the Hudson River flanked by the serene rolling landscape, with sailboats on the water and a human figure seated in the foreground, possibly observing or sketching the scenic vista.","The artwork is executed in a realist style common to the mid-19th century American landscape painting. It features fine detail, a subdued yet naturalistic color palette, and a clear emphasis on natural light and the grandeur of the American landscape. It likely aims to evoke a sense of calm and admiration for the untouched beauty of the country's wilderness.","['Realism', 'Naturalism', '19th Century', 'American Landscape', 'Fine Detail', 'Natural Light']","The theme of this painting revolves around the celebration of natural landscapes and a likely sense of national pride by portraying an idyllic American scene. The painting evokes a contemplative mood, emphasizing harmony between humans and nature.","['Nature', 'Landscape', 'Tranquility', 'Harmony', 'American Identity', 'Nineteenth Century']","{'Hudson River': 'The Hudson River is central in the scene, with sailboats punctuating its reflective waters, symbolizing leisure and transport.', 'Human Figure': 'A person seated in the foreground gives scale to the landscape and suggests a connection between humanity and nature.', 'Mountains': 'The lush green mountains provide depth and a dramatic backdrop to the calm waters of the river.'}","['Sailboats', 'Trees', 'Sky', 'Clouds', 'Fields', 'Fences', 'Livestock']","['Hudson River School', 'American Realism']","['Hudson River', 'Human Figure', 'Mountains', 'Sailboats', 'Trees', 'Sky', 'Clouds', 'Fields', 'Fences', 'Livestock']","['Realism', 'Naturalism', 'American Landscape', 'Fine Detail', 'Natural Light', 'Nature', 'Landscape', 'Tranquility', 'Harmony', 'Human Figure', 'Mountains', 'Sailboats', 'Trees', 'Sky', 'Clouds', 'Fields', 'Fences', 'Livestock', 'Hudson River School', 'American Realism']"
The Obelisk,"Hubert Robert (French, 1733-1808)",1787/88,1787.0,1788.0,Oil on canvas,ARTIC-3b8084b4-5fb4-700a-bc0a-16e6fa4698b8,"https://www.artic.edu/iiif/2/3b8084b4-5fb4-700a-bc0a-16e6fa4698b8/full/1686,/0/default.jpg","A masterful portrayal of ancient grandeur, serenity, and the passage of time.","This artwork depicts a grand classical structure with towering columns and arches, under which various figures are engaging in day-to-day activities. A monumental obelisk stands in the middle distance, piercing the hazy sky, while scattered clouds hover above. The structure suggests the remnants of an ancient Roman edifice. The scale of humans compared to the architecture emphasizes the grandiosity of historical grandeur.","Hubert Robert's painting style here is characterized by a warm, earthy palette and a skillful interplay of light and shadow to create depth and volume. His brushwork varies from detailed precision in the stonework and architecture to looser, more suggestive strokes in the sky and background, creating a balanced and harmonious composition. The careful depiction of light infuses the scene with a sense of timelessness and quiet majesty, typical of the Romantic period's fascination with ruins and the past.","['Classical', 'Romanticism', 'Historical', 'Warm Palette', 'Light and Shadow', 'Detailed Precision']","The theme of 'The Obelisk' centers on the romanticization of the past, particularly the relics of ancient civilizations. It reflects on the passing of time, the enduring legacy of ancient cultures, and the small scale of human life against the backdrop of historical achievements. The painting evokes a sense of nostalgia for the grandeur of the past while presenting the everyday life that continues amidst these remnants.","['Romanticization', 'Ancient Civilizations', 'Time', 'Legacy', 'Nostalgia', 'Everyday Life']","{'Classical Architecture': 'Imposing classical architecture dominates the scene with its massive columns, grand arches, and sculptural details.', 'Obelisk': 'The titular obelisk stands erect in the background, symbolizing the aspirations and achievements of ancient civilizations.'}","['Clouds', 'Human Figures', 'Dog', 'Stairs', 'Sculptures', 'Broken Column', 'Distant Buildings']",['Romanticism'],"['Classical Architecture', 'Obelisk', 'Clouds', 'Human Figures', 'Dog', 'Stairs', 'Sculptures', 'Broken Column', 'Distant Buildings']","['Classical', 'Romanticism', 'Historical', 'Warm Palette', 'Light And Shadow', 'Romanticized', 'Time', 'Legacy', 'Nostalgia', 'Everyday Life', 'Classical Architecture', 'Clouds', 'Human Figures', 'Dog', 'Distant Buildings']"
"Arleux-Palluel, The Bridge of Trysts","Jean-Baptiste-Camille Corot (French, 1796-1875)",1871/72,1871.0,1872.0,Oil on canvas,ARTIC-2661329a-3c67-6216-82eb-90c755bb42b8,"https://www.artic.edu/iiif/2/2661329a-3c67-6216-82eb-90c755bb42b8/full/1686,/0/default.jpg",A serene natural setting captured in delicate brush strokes and subdued colors.,"The artwork depicts a tranquil rural scene with figures gathering near a bridge surrounded by lush vegetation and tall trees. The soft, diffused light suggests a peaceful, early morning or late afternoon setting, instilling a sense of calmness and simplicity in the viewer.","Jean-Baptiste-Camille Corot is known for his landscape paintings that blend realism with poetic sensibility. This piece features a delicate interplay of light and shadow, rendered in muted earth tones. The brushwork is loose and expressive, capturing the essence of the scene rather than meticulous detail. It exemplifies Corot's mastery of atmosphere and his influence on the Impressionist movement.","['landscape painting', 'realism', 'poetic sensibility', 'muted earth tones', 'loose brushwork', 'expressive', 'atmospheric', 'Impressionist influence']","The theme revolves around the harmony of nature and humanity, as the figures seamlessly blend into their bucolic surroundings. The painting evokes feelings of nostalgia and a romantic connection to the pastoral life, while the 'Bridge of Trysts' suggests meetings or partings laden with emotion.","['nature', 'humanity', 'harmony', 'bucolic', 'nostalgia', 'romantic', 'pastoral life', 'emotion']","{'figures': 'A group of individuals are seen engaging in various activities, possibly waiting or socializing near the bridge, contributing to the narrative of the scene.', 'trees': 'Tall, slender trees flank the scene, their delicate leaves and branches filtering the light and adding to the atmospheric quality of the painting.', 'bridge': ""In the distance, a small bridge, mentioned as the 'Bridge of Trysts,' adds a focal point and a sense of depth to the composition.""}","['vegetation', 'grass', 'sky', 'house']","['Realism', 'Barbizon School']","['figures', 'trees', 'bridge', 'vegetation', 'grass', 'sky', 'house']","['Landscape', 'Realism', 'Loose Brushwork', 'Expressive', 'Atmospheric', 'Impressionism', 'Nature', 'Humanity', 'Harmony', 'Bucolic', 'Nostalgia', 'Romantic', 'Pastoral Life', 'Emotion', 'Figures', 'Trees', 'Bridge', 'Vegetation', 'Grass', 'Sky', 'House', 'Barbizon School']"
