,image_id,channel,channel_weight
155,NGA-878db0d1-6589-4b2a-b442-133f3d854983,tag,0.03125
110,NGA-8c0e57ec-5ee8-4fff-b303-6e34da2dc494,random,0.25
661,NGA-9a2db3b4-7310-4653-9278-6a22cfbd0bda,image,0.0625
556,NGA-17542e7c-e6cb-4010-b5d7-3a95ecb9cbe3,tag,0.03125
1224,NGA-4533a385-b367-441e-9d7e-56e41c77c336,tag,0.03125
555,NGA-a7fa9b2d-301b-452e-877b-fb4a81b4f954,image,0.0625
537,NGA-cfa0016f-41bd-4e16-a94e-a7e349652ff0,image,0.0625
355,NGA-fcf7a2ab-1b88-4aef-a6ac-b24fe7242837,artist,0.0625
2152,ARTIC-3b8084b4-5fb4-700a-bc0a-16e6fa4698b8,tag,0.03125
2239,ARTIC-2661329a-3c67-6216-82eb-90c755bb42b8,tag,0.03125
1915,NGA-74ef41cc-f017-4a33-9820-a9527a0a0126,random,0.25
2158,ARTIC-bcc9c3a7-f5b0-41af-210a-bd17797d77d9,image,0.0625
483,NGA-8b6d46e2-1185-4bcf-99a7-23b673b61c48,random,0.25
573,NGA-c1c74893-90dd-4f36-8201-36db7f2cf241,tag,0.03125
1778,NGA-5136b9e2-a5e9-406f-9c89-0a36c12a7f19,random,0.25
1322,NGA-0dde1c3c-6c08-431d-85e2-7288c2c93f26,tag,0.03125
841,NGA-924bd29d-5c19-4627-8a56-89d9f7cd9a95,image,0.0625
1318,NGA-4dcab86f-e16f-4a2d-8241-3ebf769804fc,image,0.0625
2382,ARTIC-d6f23c25-7075-ac62-6a35-84ca0b06ce6e,tag,0.03125
933,NGA-81e40269-c743-4ff3-bffe-0930c374bfce,artist,0.0625
1949,NGA-4196f97b-1edb-4fae-aa9f-882afe35978b,random,0.25
1607,NGA-d72d916c-74df-4bc4-9b86-97b65b158042,random,0.25
690,NGA-3a27c023-34bd-4171-aeea-1e243969c130,tag,0.03125
689,NGA-28847b06-0eb8-406e-befc-5867fd9651c2,image,0.0625
1866,NGA-5dd2009f-7782-43d8-9892-be5733d8f43b,image,0.0625
2362,ARTIC-4900a490-b98a-a072-d753-1e57ec16767b,artist,0.0625
135,NGA-c2055c00-a8b0-4179-a481-0ab4d19cd4c1,random,0.25
168,NGA-4b3603f3-e765-4a26-93bc-4af1c26cf103,random,0.25
1065,NGA-fbc1ce61-2a72-4cc8-8626-60c5a45110ec,random,0.25
1856,NGA-5c1e9c2f-31e2-4234-801b-033610d0102c,artist,0.0625
28,NGA-f43020bc-c6cb-4225-9808-f95d854f5025,random,0.25
209,NGA-b507e4a2-8c24-4c0e-ae3a-8d3b19738ad0,random,0.25
1811,NGA-56561c9f-5aad-45e5-9381-651ee5f350f1,random,0.25
1370,NGA-a1da7862-6a90-402f-b904-3b5912e66161,image,0.0625
1202,NGA-c5ea5937-bb29-47f3-b40e-1783fe21d641,random,0.25
2132,ARTIC-1501b057-0441-f1fa-e949-298b06ec6270,artist,0.0625
1004,NGA-abdb99e3-09cf-4034-b894-059f544213a1,random,0.25
186,NGA-ff1e06cf-448f-4b0c-b361-a7ceff1e3e03,random,0.25
877,NGA-2d65af42-09ec-456b-b7ab-9be77e1f5d67,tag,0.03125
1260,NGA-12b7623b-cc9d-4a18-8a7d-e9c58d153f97,image,0.0625
