,title,artist_display,date_display,date_start,date_end,medium,image_id,url,intro,overview,style,style_tags,theme,theme_tags,main_objects,other_objects,movement,object_tags,tags
2102,Wooded Landscape,"Gustave Courbet (French, 1819-1877)",1819/77,1819.0,1877.0,Oil on canvas,ARTIC-97fe1136-e38d-70b2-336b-ba81cd6b044c,"https://www.artic.edu/iiif/2/97fe1136-e38d-70b2-336b-ba81cd6b044c/full/1686,/0/default.jpg","A tranquil depiction of dense trees and foliage in natural, earthy tones.","The painting 'Wooded Landscape' by Gustave Courbet presents a dense forest scene filled with trees, foliage, and the interplay of light and shadow. The rich greenery is punctuated by the warmth of autumnal leaves, suggesting a scene from the change of seasons. The viewer's eye is led through the forest to a lighter area in the background, possibly a clearing or a view of the sky at dusk.","Courbet's work is characteristic of the Realism movement, focusing on the accurate depiction of ordinary scenes without idealization. The artist's brushwork appears loose and expressive, contributing to a sense of vitality and naturalism in the forest setting. The use of light and shadow creates depth, while the rich palette emphasizes the organic beauty of the natural world. The rendering of the foliage and the play of colors evoke the texture and diversity of the woods.","['Realism', 'Naturalism', 'Loose Brushwork', 'Expressive', 'Texture', 'Organic', 'Autumnal']","The theme of 'Wooded Landscape' revolves around the beauty and complexity of nature. There is a meditative quality to the scene, inviting contemplation on the serene and untamed aspects of the forest. The artwork captures a moment in time where nature is both still and teeming with life, encapsulating the ephemeral beauty of the natural environment.","['Nature', 'Forests', 'Seasons', 'Change', 'Ephemeral', 'Meditative', 'Serene']","{'Trees': 'Tall trees dominate the foreground with their rough, textured bark and a canopy of leaves in various autumn hues.', 'Foliage': 'Dense underbrush and layers of leaves are painted with a myriad of greens and browns, giving a lush, vibrant look to the forest floor.'}","['Sky', 'Shadows', 'Light Patches']",['Realism'],"['Trees', 'Foliage', 'Sky', 'Shadows', 'Light Patches']","['Realism', 'Naturalism', 'Loose Brushwork', 'Expressive', 'Nature', 'Seasons', 'Ephemeral', 'Meditative', 'Serene', 'Trees', 'Foliage', 'Sky', 'Shadows']"
1257,The Congdon Brothers,American 19th Century,c. 1830,1830.0,1830.0,Oil on canvas,NGA-a2f219c4-c011-4d42-839c-41fdd307d671,"https://api.nga.gov/iiif/a2f219c4-c011-4d42-839c-41fdd307d671/full/1686,/0/default.jpg",A poignant dual portrait of the youthful Congdon brothers from the early 19th century.,"This artwork presents a side-by-side portrait of the Congdon brothers. Both boys are dressed in matching blue coats with large white collars and gold buttons. Their hairstyles are similar, with golden-brown locks, and they have a familial resemblance in their facial features. The backdrop is a simple, muted brown that keeps the focus on the figures themselves.","The painting is rendered in a folk art style, characteristic of early American portraiture. It lacks the refined realism of academic art and instead possesses a certain naive charm with more simplistic and direct techniques. The faces are painted with attention to symmetry and detail, yet retain an almost illustrative quality, with a focus on capturing the essence of the subjects rather than photo-realistic accuracy.","['Folk Art', 'Naive', 'Portraiture', 'American', '19th Century']",The theme revolves around family and the visual documentation of lineage and youth. Such portraits served as a means for families to remember their loved ones and assert their social status during a time when photography was not yet available.,"['Family', 'Youth', 'Lineage', 'Historical', 'Memory', 'Social Status']","{'The Congdon Brothers': 'Two young brothers captured in a dual portrait, donning deep blue outfits with white ruffled collars, their eyes reflecting a somber seriousness.'}",['Brown background'],['American Folk Art'],"['The Congdon Brothers', 'Brown background']","['Folk', 'Naive', 'Portraiture', 'American', 'Family', 'Youth', 'Lineage', 'Historical', 'Memory', 'Social Status', 'American Folk']"
326,Possibly Margaret Robins,American 18th Century,c. 1745,1745.0,1745.0,Oil on canvas,NGA-8a06ef95-d71e-4c33-9171-ac45a4c098d2,"https://api.nga.gov/iiif/8a06ef95-d71e-4c33-9171-ac45a4c098d2/full/1686,/0/default.jpg",A poised portrait of a young woman in traditional 18th-century attire.,"This artwork features a bust-length portrait of a young woman, possibly Margaret Robins. She gazes directly at the viewer with a placid expression. Her attire suggests a status of gentility, with a silk-like pink gown complemented by a white lace collar and cuffs. Around her neck lies a string of pearls, further signifying her elegant status. She delicately holds a small bird in one hand, which may be symbolic or indicative of a personal interest.","The portrait is painted in a style characteristic of the American colonies in the mid-18th century. It features a realistic depiction with subdued lighting and a focused attention on the subject at a close range. The style leans towards a naturalistic representation, yet with a modest degree of idealization typical of the era. Brushwork is neither too detailed nor overly loose, creating a concise but softened representation indicative of the period's approach to portraiture.","['Portrait', 'American Colonial', '18th Century', 'Realism', 'Naturalism', 'Subdued Lighting', 'Modest Idealization']","The theme of the painting revolves around the societal representation of a young woman in the 18th century. The formal attire, the inclusion of a bird, and the direct engagement with the viewer all suggest nuances of her identity, personal interests, social standing, and the aesthetics of the time.","['Woman', '18th Century', 'Societal Representation', 'Identity', 'Social Standing', 'Personal Interests', 'Aesthetics']","{'Subject (Possible Margaret Robins)': 'A representation of a young woman from the 18th century, dressed in a pink gown with white lace, exuding gentility.'}","['Pearl necklace', 'Small bird']",['Colonial American Portraiture'],"['Subject (Possible Margaret Robins)', 'Pearl necklace', 'Small bird']","['Portrait', 'American Colonial', 'Realism', 'Naturalism', 'Woman', 'Social Standing', 'Pearl Necklace', 'Colonial American Portraiture']"
1620,Self-Portrait,"Abbott Handerson Thayer (American, 1849-1921)",1919,1919.0,1919.0,Oil on wood,NGA-0796fdf1-92f3-49b1-97ac-a431410f8276,"https://api.nga.gov/iiif/0796fdf1-92f3-49b1-97ac-a431410f8276/full/1686,/0/default.jpg",A profound gaze from a face captured in raw brushstrokes invites introspection.,"The artwork is a self-portrait of Abbott Handerson Thayer, showing the artist���s face and upper shoulders. The portrait features intense, direct eye contact with the viewer, and it is set against a dark, nondescript background that highlights the figure.","The painting exhibits a realist approach, characterized by vigorous and expressive brushwork that imparts a sense of texture and immediacy to the subject. The artist's face is rendered with a degree of naturalism, yet the brushstrokes are loose, suggesting movement and adding a dynamic quality to the static image. The limited color palette focuses on earth tones and heightens the emotional depth of the portrait.","['Realism', 'Expressive', 'Brushwork', 'Naturalism', 'Dynamic', 'Earth Tones']","It presents the theme of self-examination and the artist���s psychological state. The direct engagement with the viewer evokes a feeling of connection that goes beyond mere physical likeness, suggesting a deeper narrative.","['Self-Examination', 'Psychological', 'Engagement', 'Connection', 'Narrative']","{""Artist's Face"": 'Abbott Handerson Thayer���s face dominates the canvas, characterized by intense eyes that stare out with a compelling immediacy.'}","['Hat', 'Shoulders', 'Clothing']",['American Realism'],"[""Artist's Face"", 'Hat', 'Shoulders', 'Clothing']","['Realism', 'Expressive', 'Naturalism', 'Dynamic', 'Earth Tones', 'Psychological', 'Narrative', 'Hat', 'Clothing', 'American Realism']"
1492,"The Artist Sketching at Mount Desert, Maine","Sanford Robinson Gifford (American, 1823-1880)",1864-1865,1864.0,1865.0,Oil on canvas,NGA-d721c70d-c45f-491c-a409-43cf241c4a0b,"https://api.nga.gov/iiif/d721c70d-c45f-491c-a409-43cf241c4a0b/full/1686,/0/default.jpg",Serene depiction of an artist immersed in a vast natural landscape.,"The painting 'The Artist Sketching at Mount Desert, Maine' by Sanford Robinson Gifford showcases an artist sitting on the edge of a rocky outcrop, sketching the expansive and detailed terrain stretching towards the sea. The tranquility of the scenery is captured through the soft blending of natural colors and the delicate play of light.","Gifford's painting style in this artwork reflects the luminist approach, which is characterized by attention to detail, a smooth, almost invisible brushwork, and an emphasis on the effects of light, particularly soft light and clarity of the atmosphere. The painting is meticulously composed to draw the viewer���s eye across the vastness of the land and towards the sea, using the figure as an anchor.","['Luminism', 'American landscape painting', 'Naturalism', 'Fine detail', 'Atmospheric effects']","The theme revolves around the harmonious relationship between humanity and nature, showcasing the introspection and inspiration that artists often find in the solitude of natural settings. It represents the 19th-century appreciation for the American wilderness and the emerging artistic movement emphasizing the beauty of the natural world.","['Man and nature', 'Inspiration', 'Tranquility', 'Contemplation', 'Wilderness appreciation']","{'Artist': 'A solitary figure of an artist is seated on rocky terrain, engrossed in capturing the landscape on his sketchpad, symbolizing creativity in solitude.', 'Landscape': 'A vast landscape stretches out from the rocky foreground to the sea, conveying a sense of space and untouched nature.'}","['Sketchpad', 'Rocks', 'Trees', 'Flag']",['Luminism'],"['Artist', 'Landscape', 'Sketchpad', 'Rocks', 'Trees', 'Flag']","['Luminism', 'American Landscape', 'Naturalism', 'Fine Detail', 'Man And Nature', 'Inspiration', 'Tranquility', 'Contemplation', 'Artist', 'Landscape', 'Rocks', 'Trees', 'Flag']"
1638,Still Life with Silver Cake Basket,"John F. Francis (American, 1808-1886)",1866,1866.0,1866.0,Oil on canvas,NGA-c020c6d4-357c-47a0-828e-3fc134f70c30,"https://api.nga.gov/iiif/c020c6d4-357c-47a0-828e-3fc134f70c30/full/1686,/0/default.jpg",A lavish still life evoking sensations of taste and luxury from the 19th century.,"The painting captures a sumptuous arrangement of desserts and drinks possibly after a grand meal. In the foreground, a silver cake basket is filled with golden sponge cake and biscuits. Flanking this centerpiece are two slim glasses of amber liquid with a bottle labeled 'OLD CHERRY' in the background, reinforcing the indulgent atmosphere of the tableau.","The painting is executed in a realistic style that emphasizes textures and reflective surfaces. The artist's detailed brushwork captures the various materials with precision, from the porous texture of the cake to the shiny metal of the basket and the transparency of the glassware. The careful composition, along with the soft drapery and background scenery partly visible through a curtain, adds depth and realism.","['Realism', 'Texture', 'Reflection', 'Precision', 'Depth']","This artwork represents a theme of opulence and the enjoyment of life's finer things, common in still life painting, where objects of food and drink serve not only as subjects for artistic representation but as symbols of wealth and pleasure.","['Opulence', 'Enjoyment', 'Wealth', 'Pleasure', 'Still Life']","{'cake basket': 'An ornate silver cake basket occupies the center of the image, cradling a selection of tempting sponge cake and biscuits.', 'glasses of liquid': 'Two elegant crystal glasses filled with a rich amber liquid, likely a sweet dessert wine or cherry liqueur, stand tall.'}","['cherry bottle', 'drapery', 'biscuits', 'table', 'curtain']",['American Realism'],"['cake basket', 'glasses of liquid', 'cherry bottle', 'drapery', 'biscuits', 'table', 'curtain']","['Realism', 'Reflection', 'Precision', 'Depth', 'Opulence', 'Wealth', 'Pleasure', 'Still Life', 'Drapery', 'Table', 'Curtain', 'American Realism']"
164,Mary Walton Morris,"John Wollaston (American, active c. 1742-1775)",1749/1752,1749.0,1752.0,Oil on canvas,NGA-78c3f637-5971-4ce2-a1dd-aedf919e2707,"https://api.nga.gov/iiif/78c3f637-5971-4ce2-a1dd-aedf919e2707/full/1686,/0/default.jpg","Captivating portrait of Mary Walton Morris, revealing grace and elegance.","This artwork depicts a half-length portrait of Mary Walton Morris, dressed in an elegant 18th-century attire. She is gazing directly at the viewer, exuding a sense of confidence and poise. The portrait is characterized by soft lighting and warm tones which highlight her gentle expression and the intricate details of her clothing.","The style of this portrait is characteristic of mid-18th century American portraiture, with a focus on realism, subtle color gradation, and fine detail work. Wollaston's use of light and shadow is skillful, adding dimension to the subject's face and clothing. The restrained palette and smooth application of paint are typical of the period, aiming to capture the sitter's likeness and stature with a mix of precision and aesthetic appeal.","['18th Century', 'American Portraiture', 'Realism', 'Fine Detail', 'Subtle Color Gradation', 'Light and Shadow', 'Smooth Painting']","The theme of the artwork centers around the representation of Mary Walton Morris, reflecting the societal status, fashion, and aesthetics of the American colonial period. Through this portrait, Wollaston preserves the likeness and social standing of the sitter for posterity.","['Portrait', 'Colonial America', '18th Century Fashion', 'Social Status', 'Historical Representation']","{'Mary Walton Morris': 'The subject, Mary Walton Morris, is portrayed in luxurious clothing with a serene expression, epitomizing the grace and sophistication of her social standing.'}","['Lace', 'Floral Embroidery', 'Velvet Ribbon', 'Halo Cap']",['Colonial American Portraiture'],"['Mary Walton Morris', 'Lace', 'Floral Embroidery', 'Velvet Ribbon', 'Halo Cap']","['American Portraiture', 'Realism', 'Fine Detail', 'Light And Shadow', 'Portrait', 'Colonial America', 'Social Status', 'Lace', 'Colonial American Portraiture']"
274,The Adoration of the Christ Child,"Italian 15th Century
Possibly Bicci di Lorenzo (Florentine, 1373-1452)",c. 1440/1445,1440.0,1445.0,Tempera on poplar panel,NGA-41128a83-48a8-4b9b-9552-d936c2fdf58d,"https://api.nga.gov/iiif/41128a83-48a8-4b9b-9552-d936c2fdf58d/full/1686,/0/default.jpg",A serene depiction of a divine scene filled with reverence and grace.,"The artwork portrays the Virgin Mary, St. Joseph, and others adoring the newborn Jesus Christ. A humble stable setting is the backdrop for this holy moment. The Christ Child, lying on the ground, seems to be blessing the viewer, while Mary is seen in a devout pose of prayer. Two angels and an ox also accompany the figures, enhancing the sanctity of the scene.","The painting exhibits characteristics typical of Early Renaissance Italian art, defined by its use of gold leaf in the halos, softly modeled figures, and an attempt at perspective. The attention to detail, from the drapery of the clothes to the expressions on the faces, showcases the era���������s dedication to naturalism despite the limited knowledge of anatomical correctness. The delicate lines and use of tempera paint on wood add to its period ","['Early Renaissance', 'Italian Art', 'Gold Leaf', 'Tempera on Wood', 'Naturalism', 'Devotional Imagery']","The central theme of the artwork is the Adoration of the Christ Child, a common subject in Christian art. It highlights the incarnation of Jesus and the reverence his birth engenders among both heavenly and earthly beings. The humble setting and the presence of the ox emphasize the modest circumstances of Jesus's birth.","['Christianity', 'Adoration of Jesus', 'Nativity', 'Religious', 'Incarnation', 'Humility']","{'The Christ Child': 'An infant Jesus glows with a divine light, his hand raised in blessing, at the center of the sacred event.', 'Virgin Mary': 'The Virgin Mary kneels devoutly, her hands clasped in prayer, her gaze lowered in adoration of her son.', 'St. Joseph': 'An elderly St. Joseph is depicted in profile, looking towards the Christ Child with a pensive expression.'}","['Angels', 'Ox', 'Stable', 'Halos', 'Mountainous Landscape']",['Early Renaissance'],"['The Christ Child', 'Virgin Mary', 'St. Joseph', 'Angels', 'Ox', 'Stable', 'Halos', 'Mountainous Landscape']","['Early Renaissance', 'Italian', 'Gold Leaf', 'Naturalism', 'Christianity', 'Nativity', 'Religious', 'Humility', 'Christ Child', 'Virgin Mary', 'Angels', 'Halos']"
1356,Madonna and Child with Saint Elizabeth and Saint John the Baptist,"Jacopino del Conte (Florentine, 1510-1598)",c. 1535,1535.0,1535.0,Oil on panel,NGA-641d09d9-5036-4268-99a8-4af8e1dd5213,"https://api.nga.gov/iiif/641d09d9-5036-4268-99a8-4af8e1dd5213/full/1686,/0/default.jpg","A classic depiction of Madonna and Child, enriched with religious symbolism.","The painting portrays the Virgin Mary holding the Christ Child, accompanied by Saint Elizabeth and Saint John the Baptist as a young boy. Mary, seated and dressed in a red robe, gazes solemnly outwards as she supports the Child, who reaches toward Elizabeth. Saint Elizabeth looks toward the Virgin with reverence. A young John the Baptist, symbolized by his reed cross and garment, is seated on the ground next to them.","This work is representative of the High Renaissance style, characterized by its balanced composition, idealized figures, and clarity of form. Soft chiaroscuro has been employed to give depth to the drapery and flesh. Each figure's pose and expression convey a sense of quiet dignity and grace, reflecting the artist's attention to physical and psychological realism. The rich, vibrant color palette and detailed rendering of textures are also typical of the Renaissance period.","['High Renaissance', 'chiaroscuro', 'idealized figures', 'balanced composition', 'realism', 'vibrant color palette']","The painting focuses on religious themes, depicting a sacred family moment. It explores the intimacy and connection between divine and human realms, as well as the role of the saints in Christian theology. The presence of Saint Elizabeth and her son, John, emphasizes the significance of Christ's future as the foretold savior, with John as his herald.","['religion', 'Christianity', 'sacred family', 'divinity', 'saints', 'prophecy', 'salvation']","{'Madonna': 'The Virgin Mary, with a serene expression, holds Jesus gently, symbolizing her role as mother and protector.', 'Child': 'The Christ Child appears lively and full of grace, extending his arm in a gesture of blessing or engagement.', 'Saint Elizabeth': 'She looks towards Mary with an expression of devotion and understanding, holding a piece of cloth.', 'Saint John the Baptist': 'A young John the Baptist, identifiable by his reed cross, interacts with the scene in innocent curiosity.'}","['reed cross', 'garment', 'cloth', 'drapery', 'halos']",['Renaissance'],"['Madonna', 'Child', 'Saint Elizabeth', 'Saint John the Baptist', 'reed cross', 'garment', 'cloth', 'drapery', 'halos']","['High Renaissance', 'Chiaroscuro', 'Balanced Composition', 'Realism', 'Vibrant Color Palette', 'Religion', 'Christianity', 'Divinity', 'Saints', 'Salvation', 'Madonna', 'Child', 'Saint John The Baptist', 'Garment', 'Drapery', 'Halos', 'Renaissance']"
710,Gypsy Woman with Mandolin,"Jean-Baptiste-Camille Corot (French, 1796-1875)",c. 1870,1870.0,1870.0,Oil on canvas,NGA-4d9c630d-2545-46d9-8335-c1d0b1c086d4,"https://api.nga.gov/iiif/4d9c630d-2545-46d9-8335-c1d0b1c086d4/full/1686,/0/default.jpg",A soulful depiction of a gypsy woman engaging with a mandolin.,"The painting 'Gypsy Woman with Mandolin' by Jean-Baptiste-Camille Corot presents a solitary figure of a woman standing and holding a mandolin. She wears a white blouse with a vibrant red sash and a headscarf, lending her an air of bohemian grace. Her gaze is contemplative and slightly downward, suggesting a moment of inward reflection or pause in her music.","Corot's work exhibits a loose and expressive brushwork characteristic of his later years, aligning with the Realist movement while also hinting at Impressionistic tendencies. The earthy color palette and the emphasis on naturalistic rendering of the figure, along with the chiaroscuro effect, reflect Corot's transitional style between traditional portraiture and the upcoming modern movements.","['Realism', 'Naturalism', 'Impressionism', 'Loose Brushwork', 'Earthy Palette', 'Chiaroscuro']","The theme revolves around the romanticized life of the gypsies, often symbolizing freedom, a nomadic lifestyle, and a deep connection with music and art. The woman's attire and the presence of the mandolin are cultural signifiers that evoke the mystique and perceived exoticism associated with her identity.","['Romanticism', 'Gypsy Life', 'Freedom', 'Nomadic Culture', 'Music', 'Exoticism']","{'Gypsy Woman': 'A contemplative woman adorned in traditional attire, her expression is pensive as she cradles a mandolin.', 'Mandolin': 'The mandolin is held gently by the woman, symbolizing her artistic and cultural heritage.'}","['Headscarf', 'Blouse', 'Sash']",['Realism'],"['Gypsy Woman', 'Mandolin', 'Headscarf', 'Blouse', 'Sash']","['Realism', 'Naturalism', 'Impressionism', 'Loose Brushwork', 'Earthy Palette', 'Chiaroscuro', 'Romanticism', 'Freedom', 'Music', 'Exoticism', 'Sash']"
