,artwork_id,title,creation_year_start,creation_year_end,medium,genre,dimension,full_image_url,display_name,last_name,birth_year,death_year,nationality,location,source,mediums,surfaces,original_url,compressed_url,thumbnail_url,intro,overview,style,style_tags,theme,theme_tags,main_objects,other_objects,movements,artist_family_name,artist_given_name,object_tags,tags,artist_display
4331,MET-53bf7057-2ac7-4c2d-9c4b-e9bdf6d90192,Spring Festival on the River,1700.0,1799.0,Handscroll; ink and color on silk,Painting,11 3/4 in. x 33 ft. (29.8 x 1004.6 cm),https://images.metmuseum.org/CRDImages/as/original/DP120039_CRD.jpg,Unidentified artist,artist,,,Unknown,Unknown,MET,"['Ink', 'Color']","['Handscroll', 'Silk']",https://aicurator.blob.core.windows.net/artwork-images/original/MET-53bf7057-2ac7-4c2d-9c4b-e9bdf6d90192.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-53bf7057-2ac7-4c2d-9c4b-e9bdf6d90192.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-53bf7057-2ac7-4c2d-9c4b-e9bdf6d90192.jpg,A vivid depiction of a bustling riverside festival.,"The artwork portrays a bustling scene of a spring festival by a river. People are engaged in various activities, surrounded by blossoming trees and traditional architecture, conveying a sense of lively celebration.","The artwork features a detailed and intricate style typical of traditional Chinese landscape painting. The brushstrokes are delicate and precise, capturing the essence of each element with finesse. The color palette is composed of muted, earthy tones, complemented by soft blues and reds, enhancing the serene yet vibrant atmosphere. The composition is masterfully balanced, guiding the viewer's eye through the myriad of activities and structures, emphasizing harmony with nature.","['traditional', 'Chinese', 'landscape', 'detailed', 'intricate']","The theme revolves around community, celebration, and the harmony between human life and nature during a spring festival.","['community', 'celebration', 'nature', 'harmony', 'festivity']","{'river': 'A serene body of water flowing gently, setting a tranquil backdrop for the festival.', 'people': 'Figures engaged in various lively activities, representing the diverse community attending the festival.', 'trees': 'Blossoming trees scattered throughout, symbolizing the renewal and vibrancy of spring.', 'traditional architecture': 'Structures with distinct traditional roofing, framing the lively scene and providing cultural context.'}","['bridge', 'boats', 'animals', 'hills']","['Chinese painting', 'landscape painting']",,,"['river', 'people', 'trees', 'traditional architecture', 'bridge', 'boats', 'animals', 'hills']","['Traditional', 'Chinese', 'Landscape', 'Detailed', 'Intricate', 'Community', 'Celebration', 'Nature', 'Harmony', 'Festivity', 'River', 'People', 'Trees', 'Traditional Architecture', 'Bridge', 'Boats', 'Animals', 'Hills']",Unknown
3788,NGA-da63faa0-8a73-40cb-99ca-adc47ee0df82,Portrait of a Gentleman,1770.0,1773.0,Oil on canvas,Painting,overall: 128 x 102 cm (50 3/8 x 40 3/16 in.),https://api.nga.gov/iiif/da63faa0-8a73-40cb-99ca-adc47ee0df82/full/max/0/default.jpg,Joseph Wright,Wright,1734.0,1797.0,British,United Kingdom,NGA,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/NGA-da63faa0-8a73-40cb-99ca-adc47ee0df82.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/NGA-da63faa0-8a73-40cb-99ca-adc47ee0df82.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/NGA-da63faa0-8a73-40cb-99ca-adc47ee0df82.jpg,A contemplative portrait of an elegantly dressed gentleman.,"This painting features a gentleman in period attire, confidently leaning against a rock. He wears a dark coat with decorative trimming and holds a cane. The background shows a rugged, natural setting.","The artwork is characterized by realistic detail and soft, yet defined brushstrokes typical of the 18th century. The color palette is rich and earthy, with dark blue and warm brown tones contrasting against each other. This approach emphasizes both the natural setting and the sophistication of the gentleman. The lighting captures a serene and thoughtful mood, focusing on subtle highlights on the man's face and clothing.","['realism', 'portrait', '18th century']","The painting reflects themes of contemplation and status, highlighting the subject's refined attire against a natural backdrop, suggesting a connection to both nature and society.","['contemplation', 'status', 'nature']","{'gentleman': 'An elegantly dressed man with a thoughtful expression, wearing a dark coat and holding a cane.', 'cane': 'A simple walking cane held by the gentleman, symbolizing his posture and refinement.'}","['rock', 'coat', 'hat']",['realism'],Wright,Joseph,"['gentleman', 'cane', 'rock', 'coat', 'hat']","['Realism', 'Portrait', 'Contemplation', 'Status', 'Nature', 'Gentleman', 'Cane', 'Rock', 'Coat', 'Hat']",Wright Joseph
24,ARTIC-03bfd0a4-ce6d-5b37-22d8-8e3de4004e0a,Sitges,1801.0,1900.0,Oil on masonite,Painting,43.2 × 59.7 cm (17 × 23 1/2 in.),https://www.artic.edu/iiif/2/03bfd0a4-ce6d-5b37-22d8-8e3de4004e0a/full/max/0/default.jpg,"Juan Roig y Soler (Spanish, 1852-1909)",,1852.0,1909.0,Spanish,Spain,ARTIC,['Oil'],['Masonite'],https://aicurator.blob.core.windows.net/artwork-images/original/ARTIC-03bfd0a4-ce6d-5b37-22d8-8e3de4004e0a.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/ARTIC-03bfd0a4-ce6d-5b37-22d8-8e3de4004e0a.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/ARTIC-03bfd0a4-ce6d-5b37-22d8-8e3de4004e0a.jpg,A serene coastal scene in a quaint village.,"The painting portrays a seaside village with rustic houses lining the shore. Figures are engaged in daily activities beside large barrels, with a church tower visible in the distance.","The artwork features an impressionistic style, evident through its loose brushwork and subtle color palette of muted earth tones and soft blues. The composition captures the essence of everyday life, with an emphasis on light and atmosphere that lends a serene, nostalgic quality. The balance between detailed architecture and blurred figures creates a harmonious interplay that is both inviting and evocative.","['impressionism', 'realism', 'landscape']","The painting explores themes of daily life and community interaction within a peaceful coastal village setting, reflecting the simplicity and beauty of traditional lifestyles.","['daily life', 'community', 'tradition']","{'houses': ""Weathered, light-colored houses line the shore, embodying the village's rustic charm."", 'barrels': 'Large barrels are scattered along the beach, suggesting commercial or fishing activities.', 'people': ""Figures are busy with tasks on the beach, contributing to the scene's dynamic energy."", 'church tower': ""A striking church tower stands in the background, symbolizing the village's cultural heart.""}","['boats', 'sea', 'smoke', 'tools']","['impressionism', 'realism']",Roig y Soler,Juan,"['houses', 'barrels', 'people', 'church tower', 'boats', 'sea', 'smoke', 'tools']","['Impressionism', 'Realism', 'Landscape', 'Daily Life', 'Community', 'Tradition', 'Houses', 'Barrels', 'People', 'Boats', 'Sea', 'Smoke', 'Tools']",Roig y Soler Juan
1272,ARTIC-bc3d8e34-905a-2ca0-81a1-1122479aca9f,The Circumcision,1755.0,1770.0,Oil on canvas,Painting,177.5 × 117.2 cm (69 7/8 × 46 1/8 in.),https://www.artic.edu/iiif/2/bc3d8e34-905a-2ca0-81a1-1122479aca9f/full/max/0/default.jpg,"Stefano Pozzi (Italian, 1699-1768)",,1699.0,1768.0,Italian,Italy,ARTIC,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/ARTIC-bc3d8e34-905a-2ca0-81a1-1122479aca9f.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/ARTIC-bc3d8e34-905a-2ca0-81a1-1122479aca9f.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/ARTIC-bc3d8e34-905a-2ca0-81a1-1122479aca9f.jpg,A sacred scene filled with divine figures and symbolism.,"The painting depicts the religious ceremony of circumcision, centered around a baby surrounded by serene figures. Cherubs hover above, adding an ethereal element, while attendees gather reverently around the sacred act.","The artwork embodies the Baroque style with its dynamic composition, use of chiaroscuro, and rich detailing. Pozzi's use of light enhances the divine ambiance, highlighting the central figures and creating a sense of depth. Soft, flowing drapery and expressive facial features reflect the emotive intensity typical of Baroque art, inviting viewers into the sacred scene with a sense of awe.","['Baroque', 'chiaroscuro', 'realism', 'dynamic']","This piece explores themes of tradition, spirituality, and divine intervention, capturing a sacred moment with reverence. It reflects the religious significance and communal gathering around rites of passage.","['religion', 'tradition', 'spirituality', 'divinity']","{'baby': 'Central figure of the painting, lying on a pedestal, focal point of the ceremony.', 'cherubs': 'Heavenly figures hovering above, symbolizing divine presence and grace.', 'attendees': 'Gathered figures witnessing the event, embodying reverence and solemnity.'}","['vessel', 'tray', 'column']",['Baroque'],Pozzi,Stefano,"['baby', 'cherubs', 'attendees', 'vessel', 'tray', 'column']","['Baroque', 'Chiaroscuro', 'Realism', 'Dynamic', 'Religion', 'Tradition', 'Spirituality', 'Divinity', 'Baby', 'Cherubs', 'Attendees', 'Vessel', 'Tray', 'Column']",Pozzi Stefano
1081,ARTIC-9b9fe857-0223-6da3-14e2-c3b790dd8b59,Portrait of a Dutchman with a Servant,1701.0,1800.0,Hanging scroll; ink and color on paper,Painting,119 × 44.4 cm (46 7/8 × 17 1/2 in.); H; mount: 203.8 × 64 cm (80 1/4 × 25 1/4 in.),https://www.artic.edu/iiif/2/9b9fe857-0223-6da3-14e2-c3b790dd8b59/full/max/0/default.jpg,Anonymous (Japanese),,,,Japanese,Japan,ARTIC,"['Ink', 'Color']","['Hanging scroll', 'Paper']",https://aicurator.blob.core.windows.net/artwork-images/original/ARTIC-9b9fe857-0223-6da3-14e2-c3b790dd8b59.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/ARTIC-9b9fe857-0223-6da3-14e2-c3b790dd8b59.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/ARTIC-9b9fe857-0223-6da3-14e2-c3b790dd8b59.jpg,A serene portrayal of cultural interaction.,"The artwork depicts a Dutchman accompanied by a servant. The Dutchman, dressed in traditional Western attire, is shaded by a servant holding a red parasol. They stand against a minimalistic background.","The artwork employs delicate lines and a muted color palette typical of Japanese paintings. The composition is vertically aligned, emphasizing simplicity and elegance. The figures are rendered in a flat, stylized manner, emphasizing form and attire over facial details. The use of empty space around the figures draws attention to their interaction and attire, providing a calm and open feel typical of East Asian aesthetics.","['Japanese', 'minimalism', 'delicate', 'muted']","This piece explores cultural exchange and representation, highlighting the interaction between Western and Eastern cultures during historic times. The serene setting accentuates harmony and balance.","['cultural exchange', 'representation', 'harmony']","{'Dutchman': 'A European gentleman in traditional attire, conveying a sense of foreignness and cultural presence.', 'Servant': 'An attendant holding a red parasol, representing service and cultural roles.'}","['parasol', 'minimal background']",['Edo period art'],,,"['Dutchman', 'Servant', 'parasol', 'minimal background']","['Japanese', 'Minimalism', 'Delicate', 'Muted', 'Cultural Exchange', 'Harmony', 'Servant', 'Parasol', 'Edo Period']",Unknown
3089,NGA-9532824b-2c14-44bc-889c-138047573604,Alsa Slade,1816.0,1816.0,Oil on canvas,Painting,"overall: 102 x 83.8 cm (40 3/16 x 33 in.)
framed: 107.9 x 91.4 x 3.4 cm (42 1/2 x 36 x 1 5/16 in.)",https://api.nga.gov/iiif/9532824b-2c14-44bc-889c-138047573604/full/max/0/default.jpg,Ammi Phillips,Phillips,1788.0,1865.0,American,United States,NGA,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/NGA-9532824b-2c14-44bc-889c-138047573604.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/NGA-9532824b-2c14-44bc-889c-138047573604.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/NGA-9532824b-2c14-44bc-889c-138047573604.jpg,A portrait capturing grace and simplicity.,"The artwork depicts a dignified woman seated, wearing a green dress and white bonnet. She holds needlework, suggesting her domestic skills. The background is plain, emphasizing her presence.","The style is characterized by clear, precise lines and a muted color palette. The artist employs flat, smooth brushstrokes, focusing on the subject’s facial expression and attire details. The simplicity and austerity are reminiscent of early American folk art, contributing to its charming, understated elegance.","['folk art', 'realism', 'portrait']","The artwork explores themes of domesticity and tradition, portraying a sense of modesty and dedication. It reflects early American life, hinting at personal and cultural identity.","['domesticity', 'identity', 'tradition']","{'woman': 'Seated woman in a green dress with a white bonnet, holding needlework, embodying elegance and skill.'}","['table', 'needlework', 'chair']","['folk art', 'American realism']",Phillips,Ammi,"['woman', 'table', 'needlework', 'chair']","['Folk', 'Realism', 'Portrait', 'Domesticity', 'Tradition', 'Woman', 'Table', 'Chair', 'American Realism']",Phillips Ammi
9624,TCMA-312169f8-24ff-4f8c-84b4-0d7fa85fb3b7,"Portrait of Catherine Grey, Lady Manners",1794.0,1794.0,oil on canvas,Painting,"{'framed': {'height': 2.805, 'width': 1.85, 'depth': 0.09}, 'unframed': {'height': 2.553, 'width': 1.58}}",https://openaccess-cdn.clevelandart.org/1961.220/1961.220_print.jpg,"Thomas Lawrence (British, 1769–1830)",Lawrence,1769.0,1830.0,British,United Kingdom,TCMA,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/TCMA-312169f8-24ff-4f8c-84b4-0d7fa85fb3b7.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/TCMA-312169f8-24ff-4f8c-84b4-0d7fa85fb3b7.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/TCMA-312169f8-24ff-4f8c-84b4-0d7fa85fb3b7.jpg,A refined portrait of elegance and grace.,"In this portrait, a woman in a flowing white gown stands beside a balustrade, overlooking a landscape. Her gentle expression is directed towards the viewer. A peacock perches gracefully behind her.","The painting exhibits the refined elegance characteristic of Romantic portraiture. Lawrence's masterful use of soft, flowing brushstrokes and a delicate color palette enhance the ethereal and graceful nature of the subject. Attention to detail in the woman's attire and the peacock's feathers reflects meticulous craftsmanship. The composition is balanced, drawing the viewer's eye across the figure and landscape, creating a harmonious visual narrative.","['Romanticism', 'Portrait', 'Realism']","The portrait conveys themes of nobility and elegance, capturing a moment frozen in time with a serene, dignified air.","['Elegance', 'Nobility', 'Serenity']","{'woman': 'A woman in a white gown, embodying grace and elegance, looks gently at the viewer.', 'peacock': 'A beautifully detailed peacock with resplendent feathers, symbolizing beauty and opulence, perched on a ledge.'}","['balustrade', 'landscape']",['Romanticism'],Lawrence,Thomas,"['woman', 'peacock', 'balustrade', 'landscape']","['Romanticism', 'Portrait', 'Realism', 'Elegance', 'Nobility', 'Serenity', 'Woman', 'Peacock', 'Balustrade', 'Landscape']",Lawrence Thomas
2435,NGA-4bb653ec-5b4f-4c4b-b7ee-7c94ef4d5b79,Head of a Dog,1870.0,1870.0,Oil on canvas,Painting,"overall: 21.9 x 20 cm (8 5/8 x 7 7/8 in.)
framed: 36.2 x 35.8 x 5 cm (14 1/4 x 14 1/8 x 1 15/16 in.)",https://api.nga.gov/iiif/4bb653ec-5b4f-4c4b-b7ee-7c94ef4d5b79/full/max/0/default.jpg,Auguste Renoir,Renoir,1841.0,1919.0,French,France,NGA,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/NGA-4bb653ec-5b4f-4c4b-b7ee-7c94ef4d5b79.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/NGA-4bb653ec-5b4f-4c4b-b7ee-7c94ef4d5b79.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/NGA-4bb653ec-5b4f-4c4b-b7ee-7c94ef4d5b79.jpg,A tender portrayal of a small dog's face.,"The artwork depicts the head of a small dog with large, expressive eyes. The furry texture is captured with soft, flowing brushstrokes, and the collar suggests domesticity.","This painting reflects Impressionist influences, using loose and fluid brushstrokes to convey the texture of the dog's fur. The color palette is muted, with an emphasis on light and shadow to create depth, a typical feature in Renoir’s work. The focus on capturing the essence of the subject rather than detailing fits well with the Impressionist style.","['Impressionism', 'portrait', 'soft brushwork']","The artwork celebrates domestic companionship and the gentle nature of pets. It evokes warmth and affection, highlighting the bond between humans and animals.","['companionship', 'affection', 'pets']","{""Dog's head"": ""The dog's head is central, with large eyes that suggest intelligence and warmth, framed by long fur.""}",['collar'],['Impressionism'],Renoir,Auguste,"[""Dog's head"", 'collar']","['Impressionism', 'Portrait', 'Soft Brushwork', 'Companionship', 'Affection', 'Collar']",Renoir Auguste
8040,MET-316a92c2-9db5-454f-aa53-eeb255c3a38d,Kynance,1888.0,1888.0,Oil on canvas,Painting,7 x 14 1/8 in. (17.8 x 35.9 cm),https://images.metmuseum.org/CRDImages/ep/original/DP169651.jpg,John Brett,Brett,1831.0,1902.0,British,United Kingdom,MET,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/MET-316a92c2-9db5-454f-aa53-eeb255c3a38d.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-316a92c2-9db5-454f-aa53-eeb255c3a38d.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-316a92c2-9db5-454f-aa53-eeb255c3a38d.jpg,A dramatic depiction of rocky coastal scenery.,"The painting captures a rugged coastal shoreline with prominent rocks, reflecting waves, and a serene sky. The tide slowly washes over the sand, revealing the natural beauty.","The artwork showcases realism with detailed brushwork, emphasizing texture and light reflection on the rocks and water. The color palette features earthy browns and blues, harmonizing to create a tranquil and immersive atmosphere. The composition is balanced, centering on the natural forms and their intricate details.","['realism', 'detailed', 'naturalistic']","The painting explores the motif of nature's untamed beauty, showcasing a quiet moment of tranquility amidst the powerful coastal landscape.","['nature', 'tranquility', 'landscape']","{'rocks': 'Prominently positioned, these dark, textured rocks capture light and dominate the seascape, reflecting rugged natural beauty.', 'waves': 'Gentle waves wash over the sandy shore, subtly reflecting light, contributing to the serene coastal scene.'}","['sand', 'sky']","['Pre-Raphaelite', 'realism']",Brett,John,"['rocks', 'waves', 'sand', 'sky']","['Realism', 'Detailed', 'Naturalistic', 'Nature', 'Tranquility', 'Landscape', 'Rocks', 'Waves', 'Sand', 'Sky', 'Pre-Raphaelite']",Brett John
6126,MET-b343caf0-7ffe-46a0-8225-56bce2ff29e6,Kusunoki Masashige Bidding Farewell to His Son Masatsura,1800.0,1899.0,Ink and color on cryptomeria (sugi) wood,Painting,18 x 26 in. (45.7 x 66 cm),https://images.metmuseum.org/CRDImages/as/original/LC-1985_396_3_001.jpg,,,,,,,MET,"['Ink', 'Color']",['Wood'],https://aicurator.blob.core.windows.net/artwork-images/original/MET-b343caf0-7ffe-46a0-8225-56bce2ff29e6.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-b343caf0-7ffe-46a0-8225-56bce2ff29e6.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-b343caf0-7ffe-46a0-8225-56bce2ff29e6.jpg,A poignant farewell between samurai and son.,"This artwork depicts Kusunoki Masashige, a samurai in traditional armor, bidding farewell to his son, Masatsura, who humbly bows before him. The background features a stylized landscape with decorative patterns, reflecting Japanese aesthetics.","The artwork employs a flat, stylized approach characteristic of traditional Japanese art. The use of earthy tones and minimal color variations emphasizes the solemnity of the scene. The composition is balanced, with meticulous attention to the patterns on the clothing and armor, reflecting the intricate craftsmanship typical of historical Japanese depictions. The emphasis on line and pattern enforces the narrative's emotional gravity and cultural context.","['Japanese art', 'traditional', 'stylized']","The theme revolves around loyalty, duty, and familial bonds. The parting scene captures the solemn moment of farewell, underscoring the samurai's dedication to both family and duty.","['loyalty', 'duty', 'family']","{'Kusunoki Masashige': 'A samurai in traditional armor, central to the narrative, representing loyalty and honor.', 'Masatsura': 'Kneeling figure, indicating respect and submission, embodying themes of filial duty.'}","['landscape', 'decorative patterns']",['traditional Japanese art'],,,"['Kusunoki Masashige', 'Masatsura', 'landscape', 'decorative patterns']","['Japanese', 'Traditional', 'Stylized', 'Loyalty', 'Duty', 'Family', 'Landscape', 'Decorative Patterns', 'Traditional Japanese']",Unknown
