Source,Target
East Asian Classical,Classical East Asian
Crane Right,Crane Left
Fine Line Work,Fine Linework
Pants,Trousers
Garden Pathways,Garden Paths
Temple Column,Temple Pillar
Ornamental Arch,Ornamental Arches
Silver Wine Jug,Silver Jug
Pink Roses,Pink Rose
Double Leaf Door,Double Leaf Doors
Buddha Figure,Buddha Figures
Rock Ledge,Rocky Ledge
Plum Tree Branch,Plum Branch
Child One,Child Two
Ruined Architectural Structure,Architectural Ruins
Cloudy Background,Background Clouds
Traditional Garment,Traditional Garments
Right Courtier,Left Courtier
Dark Curtain,Dark Curtains
Myna,Mynah
Woman Holding A Flywhisk,Woman Holding Flywhisk
Daoist Master,Taoist Master
Fur Mantle,Fur Cloak
Wall Paintings,Wall Painting
Saint John The Baptist'S Head,Head Of Saint John The Baptist
Ancient Buildings,Ancient Architecture
Glass Containers,Glass Jars
Fir Tree,Fir Trees
Traditional Robes,Traditional Robe
Cherry Trees,Cherry Blossom Trees
Sparklers,Sparkler
Wall Panels,Wall Panel
Gold Vessel,Golden Vessel
Wind Instrument,Brass Instrument
Demon Figure,Demon Figures
Large Bird,Large Birds
Mount Sainte-Victoire,Mont Sainte-Victoire
Luxurious Bed,Luxurious Beds
Golden Coins,Gold Coins
Art Tools,Artist'S Tools
Poems,Poem
Railroad,Railway
Archangel Raphael,Angel Raphael
Crucified Christ,Christ On The Cross
Gold Archway,Gold Arch
Distant Hill,Distant Hills
Headwrap,Head Wrap
 Woman,Woman
Decorative Rug,Decorative Carpet
Medieval Indic Art,Indian Medieval Art
Persian Traditional Art,Persian Art
Qing Dynasty Painting,Ming Dynasty Painting
Catholic Iconography,Christian Iconography
South Asian Manuscript Tradition,South Asian Manuscript
Southern Song Dynasty Style,Song Dynasty Style
Classical Indian Art,Indian Classical Art
Asian Ink Painting,Oriental Ink Art
Mughal Miniatures,Mughal Miniature
Mughal Miniature Painting,Rajasthani Miniature Painting
Rajasthan Miniature,Rajasthani Miniature
Traditional Indian Manuscript,Indian Manuscript Illumination
Japanese Landscape Art,Japanese Landscape Painting
Ancient Manuscripts,Ancient Manuscript
Ancient Writing,Ancient Script
Illuminated Manuscripts,Illuminated Manuscript
Indian Manuscript Painting,Indian Manuscript Art
Indian Medieval Art,Medieval Indian Art
Song Dynasty Style,Yuan Dynasty Style
East Asian Traditional Painting,Traditional East Asian Painting
Persian Manuscript Art,Persian Manuscript
Traditional Chinese Calligraphy,Asian Calligraphy
Suiboku-Ga,Suibokuga
Zen Buddhist Art,Zen Buddhism Art
Korean Traditional Painting,Traditional Korean Painting
Dutch Golden Age Painting,Dutch Genre Painting
Russian Orthodox Iconography,Orthodox Iconography
Indigenous Australian Art,Indigenous Art
Rajput Miniatures,Rajput Miniature
Muromachi Painting,Muromachi Period Painting
Japanese Landscape Painting,Asian Landscape Painting
Ink And Wash Painting,Ink And Wash
Oriental Ink Art,Japanese Ink Art
Traditional Indian Manuscript Art,Indian Manuscript Art
East Asian Traditional Art,Asian Traditional Art
Spiritual Painting,Religious Painting
Japanese Traditional Painting,Japanese Classical Painting
Asian Ink Wash Painting,Chinese Ink Wash Painting
Traditional Asian Painting,Classical Asian Painting
Japanese Screens,Japanese Screen
Pahari Paintings,Pahari Painting
Japanese Classical Painting,Traditional Japanese Painting
Northern Song Dynasty,Southern Song Dynasty
American Classical Realism,American Realism
Traditional Hindu Art,Hindu Art
Traditional Indigenous Art,Indigenous Art
East Asian Religious Art,Eastern Religious Art
Mongolian Art,Traditional Mongolian Art
Circular Frames,Circular Frame
Structured Brushstrokes,Textural Brushstrokes
Fur Shawl,Fur Wrap
Framed Paintings,Framed Artworks
Wounded Traveler,Injured Traveler
Port Buildings,Harbor Buildings
Taoist,Daoist
Japanese Zen Buddhism,Zen Buddhism
Text Borders,Text Border
Earthtones,Earth-Tones
Ink-Wash,Inkwash
Ancient Egyptian,Ancient Egypt
Architectural Detail,Architectural Details
Background Nature,Background Landscape
Japanese Aesthetic,Japanese Aesthetics
Japanese Edo Art,Edo Period Art
Newspapers,Newspaper
Figure With Umbrella,Figure With Parasol
Maharaja Savant Singh,Maharaja Sardar Singh
Mythical Figure,Mythological Figure
Right Door Panel,Left Door Panel
Saint Anthony Abbott,Saint Anthony Abbot
Wave,Waves
Painter'S Palette,Artist'S Palette
Cheetah,Leopard
St. Joseph,Saint Joseph
Decorative Screen,Decorative Screens
Dancing Girls,Dancing Women
Manmade,Man-Made
Ceramic Vase,Ceramic Vases
Tricorne Hat,Tricorn Hat
Historical Depiction,Historical Representation
Ornate Wall,Ornate Walls
Cursive,Cursive Script
Radishes,Radish
St. Andrew,Saint Andrew
Stone Path,Stone Pathway
Upper Panel Tree,Lower Panel Tree
Calligraphy Inscriptions,Calligraphic Inscriptions
Decorated Staff,Decorated Staffs
Banana Plants,Banana Plant
Tomato,Tomatoes
Fleeting Moment,Fleeting Moments
Thatched-Roof Houses,Thatched-Roof House
Outdoors,Outdoor
Smaller Structures,Small Structures
Varied Game Birds,Game Birds
Basket Of Fruits,Basket Of Fruit
Hair Adornments,Hair Ornaments
Life Cycles,Life Cycle
Ceremonial Robe,Ceremonial Robes
Wall Paneling,Paneling
Other Insects,Insects
Indigenous Cultures,Indigenous Culture
Native American Heritage,Native American Culture
Deity Right,Deity Left
Historical Encounters,Historical Encounter
Gold Backdrop,Golden Backdrop
Smaller Birds,Small Birds
Floral Garland,Garland Of Flowers
Buddha Image,Buddha
Kaliya Serpent,Serpent Kaliya
Water Features,Water Feature
Arched Doorway,Arched Doorways
Princesses,Princes
Maharao Kishor Singh Ii,Maharao Ram Singh Ii
Photo Frame,Picture Frame
Carpets,Carpet
St. Francis Of Assisi,St. Francis
Gold Leaf Accents,Gold Leaf Details
Fruit Baskets,Fruit Basket
Dark Clouds,Storm Clouds
Drip,Drips
Hydrangea,Hydrangeas
Ceremonial Umbrellas,Ceremonial Parasols
Ornate Structures,Ornate Structure
Smoke Stacks,Smokestacks
Screen Paintings,Screen Painting
Right Crucified Individual,Left Crucified Individual
Japanese Architecture,Japanese Buildings
Incense Burners,Incense Burner
Autumn Foliage,Autumn Colors
Teacups,Tea Cups
Bracelets,Bracelet
Gold Frame,Golden Frame
Water Buffaloes,Buffaloes
Fishing Rods,Fishing Rod
Ornamental Objects,Decorative Objects
Man In Red Jacket,Man In Red Coat
St. Stephen,Saint Stephen
Background Clouds,Cloud-Like Background
Mystical Creatures,Mystical Creature
Candle Holders,Candleholders
Another Seated Figure,Seated Figure
Crucifixion Scenes,Crucifixion Scene
St. Matthew,Saint Matthew
Mortar And Pestle,Mortar Pestle
Birds In Flight,Bird In Flight
Water Jar,Water Jars
Sea Horses,Sea Horse
Saint Nicolas,Saint Nicholas
Dancer Left,Dancer Right
Sky With Clouds,Cloudy Sky
Ganesh,Ganesha
Fortress Walls,Fortress Wall
Decorated Wall,Decorative Wall
Saddlecloth,Saddle Cloth
Intricate Garments,Elaborate Garments
St. Christopher,Saint Christopher
Mahout,Mahouts
St. George,Saint George
St. Peter,Saint Peter
Maharaja Abhai Singh,Maharaja Raj Singh
Nature Motifs,Natural Motifs
Japanese Scroll Painting,Japanese Scroll Art
Ornamented Attire,Ornate Attire
Spiritual Iconography,Religious Iconography
Japanese Scroll Art,Chinese Scroll Art
Artwork On Walls,Artworks On Walls
Architectural Settings,Architectural Setting
Saintly Figures,Saint Figures
Virgin Mary With Child,Virgin Mary And Child
