,tag_id,artwork_id
2893,1,NGA-7f2cee58-c4b1-42a8-ab92-e5906d04658a
4488,1,MET-fbed2faa-328b-4081-859e-ae8857a23688
7812,1,MET-b89c2321-813b-4117-8810-67139959c8e4
1422,1,ARTIC-d4ca6321-8656-3d3f-a362-2ee297b2b813
6782,1,MET-e6a1cb8a-93b8-4048-9c2b-f1554b1c6e28
10267,1,TCMA-a5aee53e-5297-41af-afaa-d682d37d6d6f
11808,1,TCMA-5a2c0634-a0a4-4038-94ed-9713bc34bfc1
1423,1,ARTIC-d4e43d76-594b-ce65-c1a3-45c865624f70
10265,1,TCMA-69f51503-4ecf-4742-93e9-1b09ae33da5e
412,1,ARTIC-3a3cac9a-804a-b7e0-5a40-81ec0f414eeb
7814,1,MET-6bf8673e-1aef-4366-8070-c53ddc7462c6
6781,1,MET-aa110e42-e479-40b2-877e-6c7d8b1fd609
5464,1,MET-986b8f4a-50ea-485c-b4b4-31815398484c
6015,1,MET-7e9ae6d8-ba2f-4a97-93fd-bea1261bc4b5
4789,1,MET-c918d3e5-dab1-4b66-a5f6-94fbd943c63b
11809,1,TCMA-2b1c9630-168c-4a80-bb38-c39a4d92d31b
2987,1,NGA-8863a7bc-4cc4-4bc1-a5ee-0ac7b92dad76
411,1,ARTIC-3a3c9e9e-5d5d-caf5-017a-99fcc52367d0
5465,1,MET-97e187d0-3f5d-4225-89e1-27b526f9984c
1426,1,ARTIC-d51d6837-5331-4b12-6e97-ca0bd1021940
5463,1,MET-6f6d9b34-3617-45da-875b-f28b079d5ab2
10260,1,TCMA-b933be47-fd3c-42c7-9272-8a4ac5812353
1421,1,ARTIC-d4b0ac5b-66bb-d56d-07e3-33d72ac03174
10269,1,TCMA-93a2e473-4167-43bf-a202-6d16217d8a59
5462,1,MET-3723a935-6daf-4ef1-9afa-15bece0f3093
10276,1,TCMA-07dae5e8-1afc-4f62-a2da-f665509d407b
1417,1,ARTIC-d424c734-f5c1-5f89-3bb8-d83e4e0287e3
4788,1,MET-856a2675-e15f-4cae-bded-9282a32025c1
7808,1,MET-ac4e2b9a-81fb-45ab-9a8c-482fe0324c30
6267,1,MET-be71203e-ea96-41f2-83cb-72450df61b2e
415,1,ARTIC-3ae75415-0551-ae17-c478-3b8687a6f246
3610,1,NGA-c8c8df36-db7d-4167-aec6-2b1a717b067b
11806,1,TCMA-889cdec0-ab9b-41b3-881a-3a6a20369257
3927,1,NGA-e85f4ab8-8849-4033-85e8-0ef62cd1f533
10273,1,TCMA-47aac89e-a256-4ae6-aa43-30a8e6f6b451
