Source,Target
Tranquillity,Tranquility
Ink-Wash,Ink Wash
Inkwash,Ink Wash
Ink_Wash,Ink Wash
Traditions,Tradition
Indian-Miniature,Indian Miniature
Indian Miniatures,Indian Miniature
Indian_Miniature,Indian Miniature
Japanese Edo Period,Edo Period
Japanese Edo-Period,Edo Period
Nobles,Nobility
Families,Family
Canine,Dog
Gold-Leaf,Gold Leaf
Vibrant Color,Vibrant Colors
Vibrant_Colors,Vibrant Colors
Mutedcolors,Muted Colors
Muted Color Palette,Muted Colors
Muted_Colors,Muted Colors
Persian Miniatures,Persian Miniature
Persian_Miniature,Persian Miniature
Ming Period,Ming Dynasty
Still-Life,Still Life
Jewellery,Jewelry
American Classical Realism,American Realism
Kanō_School,Kano School
Kano_School,Kano School
Historic,Historical
Vivid Color,Vivid Colors
Vivid-Colors,Vivid Colors
Vivid Coloration,Vivid Colors
Vivid_Colors,Vivid Colors
Gentlemen,Gentleman
Cultural-Identity,Cultural Identity
Barbizon_School,Barbizon School
Emotions,Emotion
Homes,Houses
Gentle Brushwork,Delicate Brushwork
Elegant Brushwork,Delicate Brushwork
Soft_Brushstrokes,Soft Brushstrokes
Softbrushstrokes,Soft Brushstrokes
Tonalisme,Tonalism
Staffs,Staff
Symmetric,Symmetrical
Expressionist,Expressionism
Muted_Palette,Muted Palette
Earthy_Tones,Earthy Tones
Earthy Hues,Earthy Tones
Earthy Colors,Earthy Tones
City Life,Urban Life
Weaponry,Weapons
Rich Color Palette,Rich Colors
Social Interactions,Social Interaction
Human Coexistence,Coexistence
Infant Christ,Infant Jesus
Floral Motif,Floral Motifs
Floral_Motifs,Floral Motifs
Armour,Armor
Earth-Tones,Earth Tones
Earth-Tone,Earth Tones
Fishes,Fish
Carpets,Carpet
Clothes,Clothing
Architectural Element,Architectural Elements
Contrasts,Contrast
Maternal Affection,Maternal Love
Center_Figure,Central_Figure
Kimonos,Kimono
Line_Drawing,Line Drawing
Crowds,Crowd
Luxurious,Luxury
Good Vs. Evil,Good Vs Evil
Good Versus Evil,Good Vs Evil
Bold-Colors,Bold Colors
Bold_Colors,Bold Colors
Clouded Sky,Cloudy Sky
Turbans,Turban
Shawls,Shawl
Cultural Exchanges,Cultural Exchange
Dramatic_Lighting,Dramatic Lighting
Morals,Morality
Traditional Hindu,Traditional Indian
Rajasthan Miniature,Rajasthani Miniature
Societal Status,Social Status
Courtesans,Courtesan
Flower Patterns,Floral Patterns
Floral Pattern,Floral Patterns
Young_Lady,Young_Woman
Pastel_Colors,Pastel Colors
Skulls,Skull
Pattern,Patterns
Ink-And-Wash,Ink And Wash
Ink_And_Wash,Ink And Wash
Judgement,Judgment
Table Cloth,Tablecloth
Red_Circle,Red_Circles
Lace_Collar,Lace Collar
Soft Color,Soft Colors
Decorative_Patterns,Decorative Patterns
Mandalas,Mandala
