index,tag,type,tag_replaced,replaced_flag
0,Dutch Golden Age,style_tags,Dutch Golden Age,True
0,Realism,style_tags,Realism,True
0,Chiaroscuro,style_tags,Chiaroscuro,True
0,Genre Scene,style_tags,Genre Scene,True
0,Domestic Life,style_tags,Domestic Life,True
1,Early Renaissance,style_tags,Early Renaissance,True
1,Realism,style_tags,Realism,True
1,Portrait,style_tags,Portrait,True
1,Attention To Detail,style_tags,Attention To Detail,True
2,Baroque,style_tags,Baroque,True
2,Portraiture,style_tags,Portraiture,True
2,Realism,style_tags,Realism,True
3,Northern Renaissance,style_tags,Northern Renaissance,True
3,Realism,style_tags,Realism,True
3,Portraiture,style_tags,Portraiture,True
3,Detail-Oriented,style_tags,Detail-Oriented,True
3,Subtle Lighting,style_tags,Subtle Lighting,True
4,Northern Renaissance,style_tags,Northern Renaissance,True
4,Realism,style_tags,Realism,True
4,Chiaroscuro,style_tags,Chiaroscuro,True
4,Portraiture,style_tags,Portraiture,True
4,Detailed Textures,style_tags,Detailed Textures,True
5,Northern Renaissance,style_tags,Northern Renaissance,True
5,Precision,style_tags,Precision,True
5,Detail,style_tags,Detail,True
5,Vibrant Color,style_tags,Vibrant Colors,False
5,Naturalism,style_tags,Naturalism,True
5,Perspective,style_tags,Perspective,True
5,Emotion,style_tags,Emotion,True
6,Baroque,style_tags,Baroque,True
6,Realism,style_tags,Realism,True
6,Dutch Golden Age,style_tags,Dutch Golden Age,True
6,Chiaroscuro,style_tags,Chiaroscuro,True
6,Fine Detail,style_tags,Fine Detail,True
6,Subdued Palette,style_tags,Subdued Palette,True
7,Dutch Golden Age,style_tags,Dutch Golden Age,True
7,Portraiture,style_tags,Portraiture,True
7,Oil,style_tags,Oil,True
7,Realism,style_tags,Realism,True
7,Subtle Light,style_tags,Subtle Lighting,False
8,Renaissance,style_tags,Renaissance,True
8,Realism,style_tags,Realism,True
8,Detail,style_tags,Detail,True
8,Precision,style_tags,Precision,True
8,Portraiture,style_tags,Portraiture,True
9,Rococo,style_tags,Rococo,True
9,Ornate,style_tags,Ornate,True
9,Vivid Colors,style_tags,Vivid Colors,True
9,Expressive,style_tags,Expressive,True
9,Light And Shadow,style_tags,Light And Shadow,True
9,Drapery,style_tags,Drapery,True
9,Movement,style_tags,Movement,True
9,Emotion,style_tags,Emotion,True
9,Perspective,style_tags,Perspective,True
10,Baroque,style_tags,Baroque,True
10,Realism,style_tags,Realism,True
10,Chiaroscuro,style_tags,Chiaroscuro,True
10,Loose Brushwork,style_tags,Loose Brushwork,True
10,Impasto,style_tags,Impasto,True
11,Baroque,style_tags,Baroque,True
11,Chiaroscuro,style_tags,Chiaroscuro,True
11,Dutch Golden Age,style_tags,Dutch Golden Age,True
11,Realism,style_tags,Realism,True
11,Portraiture,style_tags,Portraiture,True
