artist_id,birth_year,death_year,forward_display_name,preferred_display_name
46418.0,1606.0,1669.0,Follower of Rembrandt van Rijn,Follower of Rembrandt van Rijn
40482.0,1839.0,1906.0,Paul Cezanne,"Cezanne, Paul"
34853.0,1877.0,1943.0,Marsden Hartley,"Hartley, Marsden"
46234.0,,,,
35188.0,1866.0,1944.0,Vasily Kandinsky,"Kandinsky, Vasily"
12211.0,1632.0,1717.0,Wang Hui,Wang Hui
35837.0,1712.0,1772.0,Furuyama Moromasa,Furuyama Moromasa
52958.0,1855.0,1929.0,George Cope,"Cope, George"
42097.0,1654.0,1730.0,Johann Michael Rottmayr,"Rottmayr, Johann Michael"
20709.0,1704.0,1761.0,Johann Georg Platzer,"Platzer, Johann Georg"
35809.0,1840.0,1926.0,Claude Monet,"Monet, Claude"
41673.0,1849.0,1916.0,William Merritt Chase,"Chase, William Merritt"
25652.0,1617.0,1681.0,Gerard ter Borch,"ter Borch, Gerard"
1245.0,1789.0,1850.0,Jules Robert Auguste,"Auguste, Jules Robert"
4311.0,1483.0,1544.0,Chen Chun,Chen Chun
41255.0,1562.0,1638.0,Cornelis Cornelisz.,"Cornelisz., Cornelis"
114854.0,,,Artist unknown,Artist unknown
23819.0,,,Mandara Shika,"Shika, Mandara"
41188.0,1599.0,1660.0,Diego Velázquez,"Velázquez, Diego"
3746.0,,,,
4098.0,,,,
40975.0,,,,
35801.0,,,,
40579.0,1516.0,1570.0,"Frans Floris, I","Floris, Frans, I"
35577.0,1832.0,1883.0,Édouard Manet,"Manet, Édouard"
29882.0,,,Islamic,Islamic
1854.0,1841.0,1870.0,Frédéric Bazille,"Bazille, Frédéric"
36153.0,1741.0,1827.0,Charles Willson Peale,"Peale, Charles Willson"
37078.0,1604.0,1670.0,Andrea Vaccaro,"Vaccaro, Andrea"
34324.0,1615.0,1675.0,Gaspard Dughet,"Dughet, Gaspard"
112116.0,1801.0,1900.0,Yao Luan,Yao Luan
23024.0,1761.0,1817.0,Edward Savage,"Savage, Edward"
37466.0,1545.0,1608.0,Andrés López Polanco,"López Polanco, Andrés"
36351.0,1841.0,1919.0,Pierre-Auguste Renoir,"Renoir, Pierre-Auguste"
5612.0,1856.0,1910.0,Henri Edmond Cross,"Cross, Henri Edmond"
35061.0,1825.0,1894.0,George Inness,"Inness, George"
40867.0,1560.0,1635.0,Domenico Tintoretto,"Tintoretto, Domenico"
36476.0,1812.0,1867.0,Théodore Rousseau,"Rousseau, Théodore"
27929.0,1598.0,1667.0,Wang Jian,Wang Jian
47696.0,1365.0,1428.0,Lorenzo Monaco,"Monaco, Lorenzo"
34648.0,1823.0,1880.0,Sanford Robinson Gifford,"Gifford, Sanford Robinson"
33939.0,1819.0,1856.0,Théodore Chassériau,"Chassériau, Théodore"
33691.0,1801.0,1828.0,Richard Parkes Bonington,"Bonington, Richard Parkes"
37378.0,1423.0,1495.0,Yao Shou,Yao Shou
34147.0,1748.0,1825.0,Jacques Louis David,"David, Jacques Louis"
37485.0,,,Pedro Girard,"Girard, Pedro"
37416.0,1807.0,1891.0,Shibata Zeshin,Shibata Zeshin
46333.0,1487.0,1541.0,Follower of Bernard van Orley,"Orley, Bernard van, Follower of"
36802.0,1823.0,1906.0,Alfred Stevens,"Stevens, Alfred"
14950.0,1688.0,1737.0,François Le Moyne,"Le Moyne, François"
33890.0,1844.0,1926.0,Mary Cassatt,"Cassatt, Mary"
61111.0,,,Zhou Zhimian,Zhou Zhimian
6656.0,,,Giovanni di Paolo,Giovanni di Paolo
58317.0,1413.0,1481.0,Oguri Sotan,Oguri Sotan
41459.0,1556.0,1629.0,Otto van Veen,"Veen, Otto van"
110543.0,1781.0,1853.0,Merry Joseph Blondel,"Blondel, Merry Joseph"
4313.0,1601.0,1700.0,Qi Zhijia,Qi Zhijia
43088.0,1793.0,1856.0,Thomas Doughty,"Doughty, Thomas"
36707.0,1839.0,1899.0,Alfred Sisley,"Sisley, Alfred"
92385.0,1634.0,1707.0,Katsuzan Dowa,Katsuzan Dowa
7242.0,1725.0,1802.0,Joseph Siffred Duplessis,"Duplessis, Joseph Siffred"
36540.0,1856.0,1925.0,John Singer Sargent,"Sargent, John Singer"
12128.0,1682.0,1765.0,Hua Yan,Hua Yan
52802.0,1847.0,1898.0,De Scott Evans,"Evans, De Scott"
