title,artist_display,date_display,creation_year_start,creation_year_end,medium,classification,artist_id,location,description,short_description,dimension,artwork_id,full_image_url
Young Man in a Turban,"Follower of Rembrandt Harmenszoon van Rijn (Dutch, 1606-1669)",c. 1650,1645.0,1655.0,Oil on panel,Painting,ARTIC-46418,Holland,,,57.3 × 47.4 cm (22 9/16 × 18 5/8 in.),ARTIC-97ca059c-6d86-4128-e216-6dbdcf4e8f3a,https://www.artic.edu/iiif/2/97ca059c-6d86-4128-e216-6dbdcf4e8f3a/full/max/0/default.jpg
Madame Cezanne in a Yellow Chair,"Paul Cezanne (French, 1839-1906)",1888-90,1893.0,1893.0,Oil on canvas,Painting,ARTIC-40482,France,"<p>This portrait is one in a series of four Paul Cezanne made of his wife, Emélie-Hortense Fiquet, whom he met when she worked as an artist’s model. They had a son together in 1872 and married in 1886. Technical examination suggests that Cezanne traced this image, the second in the series, from the first portrait, which he made from life. In contrast to her masklike expression, Hortense’s hands are agitated, contorted by crisscrossing brushstrokes and the dark-blue outlines Cezanne used to sketch out the forms, which remain visible in the final work.</p>
",,80.9 × 64.9 cm (31 13/16 × 25 9/16 in.),ARTIC-4822cd01-44ac-041a-36b8-c0542377b750,https://www.artic.edu/iiif/2/4822cd01-44ac-041a-36b8-c0542377b750/full/max/0/default.jpg
The Eighteen Sages of the Lotus Society,"Artist Unknown, 18th-19th century; spurious signature of Qiu Ying (Chinese)","Ming dynasty (1368–1644), 16th century",1601.0,1700.0,Handscroll; ink and colors on silk,Painting,,China,,,30 × 316.5 cm (11 13/16 × 124 5/8 in.),ARTIC-3e87750e-8ca6-2a9d-fc43-16dcd3b5557b,https://www.artic.edu/iiif/2/3e87750e-8ca6-2a9d-fc43-16dcd3b5557b/full/max/0/default.jpg
The Dark Mountain,"Marsden Hartley (American, 1877–1943)",1909,1909.0,1909.0,Oil on composition board,Painting,ARTIC-34853,United States,,,48.9 × 59.1 cm (19 1/4 × 23 1/4 in.),ARTIC-97314d3d-dc9b-fd8e-644e-eb5150f16721,https://www.artic.edu/iiif/2/97314d3d-dc9b-fd8e-644e-eb5150f16721/full/max/0/default.jpg
Amitabha Buddha with Assembly 아미타불회도,Korea,"Joseon dynasty (1392–1910), late 18th century",1750.0,1800.0,Ink and color on silk or linen,Painting,,Korea,,,168.8 × 208.3 cm (88 1/2 × 41 in.),ARTIC-0f0cb874-bf5a-d31d-649a-6eb5c6074c5b,https://www.artic.edu/iiif/2/0f0cb874-bf5a-d31d-649a-6eb5c6074c5b/full/max/0/default.jpg
The Basket of Apples,"Paul Cezanne (French, 1839-1906)",c. 1893,1887.0,1900.0,Oil on canvas,Painting,ARTIC-40482,France,"<p>Art, Paul Cézanne once claimed, is &quot;a harmony running parallel to nature,&quot; not an imitation of nature. In his quest for underlying structure and composition, he recognized that the artist is not bound to represent real objects in real space. Thus, <em>The Basket of Apples</em> contains one of his signature tilted tables, an impossible rectangle with no right angles. On it, a basket of apples pitches forward from a slablike base, seemingly balanced by the bottle and the tablecloth’s thick, sculptural folds. The heavy modeling, solid brushstrokes, and glowing colors give the composition a density and dynamism that a more realistic still life could never possess. This painting, one of Cézanne’s rare signed works, was part of an important exhibition urged on the artist by the Parisian art dealer Ambroise Vollard in 1895. Since Cézanne had spent the majority of his career painting in isolation in his native Provence, this was the first opportunity in nearly twenty years for the public to see the work of the artist who is now hailed as the father of modern painting.</p>
",,65 × 80 cm (25 7/16 × 31 1/2 in.),ARTIC-52ac8996-3460-cf71-cb42-5c4d0aa29b74,https://www.artic.edu/iiif/2/52ac8996-3460-cf71-cb42-5c4d0aa29b74/full/max/0/default.jpg
Painted Banner (Thangka) of Bon Deity Tonpa Shenrap,"Tibet (Western Tibet, Guge)",16th century,1500.0,1599.0,Opaque watercolor with gold on cotton,Painting,,Tibet,"<p>At the center of the thangka, Tonpa Shenrap, the founder of Bon, a pre-Buddhist religion of the Himalayas  (prior to the 8th century), presides on an elaborate throne.  He is flanked by two attendants and surrounded by a retinue of 250 enlightened beings.  He forms a group with the Four Transcendent Lords, and together they are known as the 1,000 enlightened ones.  Along the bottom register the donors of the painting preside at the left, while Bon priests – distinguishable by their hats – preside at right.   Although the artistic tradition closely follows Buddhist visual culture, as is evident in the composition and iconography, there are distinguishing features.  These include Tonpa Shenrap’s intricate crown, and details of his throne such as the dragon entwined columns, and the blue eagle (khyung) a lesser Bon deity, at the apex.</p>
<p>The Guge style of painting, named after the Guge kingdom in the Western Himalayas (11th -17th century), is evident in the way the subsidiary figures are arranged in both horizontal and vertical alignment.  Another feature is the large scrolls framing the top of the throne.</p>
",,117.2 × 92.1 × 6.1 cm (46 1/8 × 34 5/8 × 2 3/8 in.),ARTIC-511fd42a-2fbd-2c49-8c3f-d82976a4081c,https://www.artic.edu/iiif/2/511fd42a-2fbd-2c49-8c3f-d82976a4081c/full/max/0/default.jpg
Woman in a Straw Hat,"French School (French, 18th century)",c. 1790,1785.0,1795.0,Oil on canvas,Painting,ARTIC-46234,France,,,81.4 × 64 cm (32 1/16 × 25 13/16 in.),ARTIC-8e096d6a-92c9-9e6c-d978-b5817d187f2d,https://www.artic.edu/iiif/2/8e096d6a-92c9-9e6c-d978-b5817d187f2d/full/max/0/default.jpg
Houses at Murnau,"Vasily Kandinsky (Born Moscow (formerly Russian Empire, now Russia), 1866; died Neuilly-sur-Seine, France, 1944)",1909,1909.0,1909.0,Oil on cardboard,Painting,ARTIC-35188,Germany,,,49 × 64 cm (19 1/4 × 25 in.),ARTIC-3f732b69-0ae7-7d1e-ad53-e20b0cc2de72,https://www.artic.edu/iiif/2/3f732b69-0ae7-7d1e-ad53-e20b0cc2de72/full/max/0/default.jpg
The Bamboo Slope 竹坡圖,Wang Hui 王翚 (1632-1717)  (Chinese),"Qing dynasty (1644–1912), 1710 清朝",1632.0,1717.0,Handscroll; ink on paper,Painting,ARTIC-12211,China,,,25.8 × 176.6 cm (10 1/8 × 69 1/2 in.),ARTIC-cd9e4fe1-7404-dbee-522f-8d8e0335a830,https://www.artic.edu/iiif/2/cd9e4fe1-7404-dbee-522f-8d8e0335a830/full/max/0/default.jpg
