adjective,noun
American,United States
French,France
Italian,Italy
Dutch,Netherlands
British,United Kingdom
Flemish,Flanders
German,Germany
Netherlandish,Netherlands
Spanish,Spain
Scottish,Scotland
Greek,Greece
Swiss,Switzerland
Hispano-Flemish,Hispano-Flemish
Franco-Flemish,Franco-Flemish
Austrian,Austria
English,England
Swedish,Sweden
Belgian,Belgium
Russian,Russia
Danish,Denmark
Brazilian,Brazil
Irish,Ireland
Portuguese,Portugal
European,Europe
Norwegian,Norway
Canadian,Canada
Byzantine,Byzantium
Australian,Australia
Chinese,China
Japanese,Japan
Indian,India
Mexican,Mexico
Egyptian,Egypt
Turkish,Turkey
Polish,Poland
Hungarian,Hungary
Korean,Korea
Finnish,Finland
Czech,Czech Republic
Romanian,Romania
Serbian,Serbia
Croatian,Croatia
Ukrainian,Ukraine
Slovenian,Slovenia
Bulgarian,Bulgaria
Venezuelan,Venezuela
Chilean,Chile
Argentine,Argentina
Peruvian,Peru
Colombian,Colombia
Moroccan,Morocco
Tunisian,Tunisia
Algerian,Algeria
Iranian,Iran
Syrian,Syria
Filipino,Philippines
Malaysian,Malaysia
Tibetan,Tibet
Nepalese,Nepal
Mongolia,Mongolian
Uzbekistan,Uzbek
