artist_id,preferred_display_name,forward_display_name,birth_year,death_year,nationality
NGA-1503,"Maes, Nicolaes",Nicolaes Maes,1634.0,1693.0,Dutch
NGA-8343,Franco-Flemish 15th Century,Franco-Flemish 15th Century,1400.0,1499.0,Franco-Flemish
NGA-1371,"Hanneman, Adriaen",Adriaen Hanneman,1603.0,1671.0,Dutch
NGA-1712,"Memling, Hans",Hans Memling,1445.0,1494.0,Netherlandish
NGA-1729,"Mor, Antonis",Antonis Mor,1519.0,1576.0,Netherlandish
NGA-13,Anonymous Artist,Anonymous Artist,,,Unknown
NGA-1971,"Weyden, Rogier van der",Rogier van der Weyden,1399.0,1464.0,Netherlandish
NGA-1951,"Vermeer, Johannes",Johannes Vermeer,1632.0,1675.0,Dutch
NGA-1400,"Holbein the Younger, Hans",Hans Holbein the Younger,1497.0,1543.0,German
NGA-1927,"Tiepolo, Giovanni Battista",Giovanni Battista Tiepolo,1696.0,1770.0,Italian
NGA-1369,"Hals, Frans",Frans Hals,1582.0,1666.0,Dutch
NGA-1822,Rembrandt van Rijn,Rembrandt van Rijn,1606.0,1669.0,Dutch
NGA-8351,Dutch 17th Century,Dutch 17th Century,1600.0,1699.0,Dutch
NGA-1950,"Velázquez, Diego",Diego Velázquez,1599.0,1660.0,Spanish
NGA-1356,El Greco,El Greco,1541.0,1614.0,Greek
NGA-49421,Greek 16th Century,Greek 16th Century,,,
NGA-1835,"Romney, George",George Romney,1734.0,1802.0,British
NGA-1363,"Guardi, Francesco",Francesco Guardi,1712.0,1793.0,Italian
NGA-1172,"Cossa, Francesco del",Francesco del Cossa,1436.0,1477.0,Italian
NGA-1237,"Dossi, Dosso",Dosso Dossi,1492.0,1542.0,Italian
NGA-103,"Anselmi, Michelangelo",Michelangelo Anselmi,1491.0,1556.0,Italian
NGA-1345,Girolamo da Carpi,Girolamo da Carpi,1501.0,1556.0,Italian
NGA-1028,"Bronzino, Agnolo",Agnolo Bronzino,1503.0,1572.0,Italian
NGA-1936,"Trumbull, John",John Trumbull,1756.0,1843.0,American
NGA-1162,"Copley, John Singleton",John Singleton Copley,1738.0,1815.0,American
NGA-2818,American 18th Century,American 18th Century,1700.0,1799.0,American
NGA-1981,"Wollaston, John",John Wollaston,1742.0,1775.0,American
NGA-1158,"Constable, John",John Constable,1776.0,1837.0,British
NGA-6684,"Paul, Joseph",Joseph Paul,1804.0,1887.0,British
NGA-1202,"Cuyp, Aelbert",Aelbert Cuyp,1620.0,1691.0,Dutch
NGA-1211,"David, Gerard",Gerard David,1460.0,1523.0,Netherlandish
NGA-49424,Netherlandish 15th/16th Century,Netherlandish 15th/16th Century,,,
NGA-1329,"Gainsborough, Thomas",Thomas Gainsborough,1727.0,1788.0,British
NGA-1405,"Hoppner, John",John Hoppner,1758.0,1810.0,British
NGA-1489,"Lippi, Filippo, Fra",Fra Filippo Lippi,1406.0,1469.0,Italian
NGA-1779,Pesellino,Pesellino,1422.0,1457.0,Italian
NGA-6629,"Gardner, Daniel",Daniel Gardner,1750.0,1805.0,British
NGA-5637,"Drost, Willem",Willem Drost,1630.0,1710.0,Dutch
NGA-1825,"Reynolds, Joshua, Sir",Sir Joshua Reynolds,1723.0,1792.0,British
NGA-1932,Titian,Titian,1490.0,1576.0,Italian
NGA-49427,"Pace, Gian Paolo",Gian Paolo Pace,1528.0,1560.0,Italian
NGA-1259,"Dyck, Anthony van, Sir",Sir Anthony van Dyck,1599.0,1641.0,Flemish
NGA-975,"Boilly, Louis-Léopold",Louis-Léopold Boilly,1761.0,1845.0,French
NGA-1973,"Whistler, Beatrice Godwin",Beatrice Godwin Whistler,1857.0,1896.0,British
NGA-1242,"Drouais, François-Hubert",François-Hubert Drouais,1727.0,1775.0,French
NGA-1358,"Greuze, Jean-Baptiste",Jean-Baptiste Greuze,1725.0,1805.0,French
NGA-1967,"Watteau, Antoine",Antoine Watteau,1684.0,1721.0,French
NGA-1478,"Le Nain, Louis",Louis Le Nain,1600.0,1648.0,French
NGA-1914,"Sully, Thomas",Thomas Sully,1783.0,1872.0,American
NGA-1087,Cariani,Cariani,1485.0,1547.0,Italian
NGA-1851,"Ryder, Albert Pinkham",Albert Pinkham Ryder,1847.0,1917.0,American
NGA-1256,"Dürer, Albrecht",Albrecht Dürer,1471.0,1528.0,German
NGA-1182,"Crespi, Giuseppe Maria",Giuseppe Maria Crespi,1665.0,1747.0,Italian
NGA-1499,"Luks, George",George Luks,1866.0,1933.0,American
NGA-1747,"Neagle, John",John Neagle,1796.0,1865.0,American
NGA-1372,"Harding, Chester",Chester Harding,1792.0,1866.0,American
NGA-1150,"Coe, Elias V.",Elias V. Coe,1794.0,1843.0,American
NGA-1934,"Toole, John",John Toole,1815.0,1860.0,American
NGA-6595,"Hilling, John",John Hilling,1822.0,1894.0,British
NGA-2831,French 18th Century,French 18th Century,1700.0,1799.0,French
NGA-1942,American 19th Century,American 19th Century,1800.0,1899.0,American
NGA-1212,"David, Jacques-Louis",Jacques-Louis David,1748.0,1825.0,French
NGA-1959,"Vouet, Simon",Simon Vouet,1590.0,1649.0,French
NGA-2829,French 16th Century,French 16th Century,1500.0,1599.0,French
NGA-1370,"Hamen y León, Juan van der",Juan van der Hamen y León,1596.0,1631.0,Spanish
NGA-1949,"Vassallo, Anton Maria",Anton Maria Vassallo,1620.0,1672.0,Italian
NGA-1413,"Inness, George",George Inness,1825.0,1894.0,American
NGA-1353,"Goya, Francisco",Francisco Goya,1746.0,1828.0,Spanish
NGA-1219,"Degas, Edgar",Edgar Degas,1834.0,1917.0,French
NGA-1390,"Henner, Jean-Jacques",Jean-Jacques Henner,1829.0,1905.0,French
NGA-1334,"Gericault, Théodore",Théodore Gericault,1791.0,1824.0,French
NGA-1720,"Millet, Jean-François",Jean-François Millet,1814.0,1875.0,French
NGA-1722,"Modigliani, Amedeo",Amedeo Modigliani,1884.0,1920.0,Italian
NGA-1733,"Morisot, Berthe",Berthe Morisot,1841.0,1895.0,French
NGA-1090,"Carlsen, Emil",Emil Carlsen,1853.0,1932.0,American
NGA-6347,Unknown 19th Century,Unknown 19th Century,1800.0,1899.0,Unknown
NGA-1115,"Cézanne, Paul",Paul Cézanne,1839.0,1906.0,French
NGA-1169,"Corot, Jean-Baptiste-Camille",Jean-Baptiste-Camille Corot,1796.0,1875.0,French
NGA-1349,"Gogh, Vincent van",Vincent van Gogh,1853.0,1890.0,Dutch
NGA-1361,"Gros, Antoine-Jean",Antoine-Jean Gros,1771.0,1835.0,French
NGA-1365,"Guillaumin, Jean-Baptiste-Armand",Jean-Baptiste-Armand Guillaumin,1841.0,1927.0,French
NGA-1726,"Monet, Claude",Claude Monet,1840.0,1926.0,French
NGA-1817,"Ranger, Henry Ward",Henry Ward Ranger,1858.0,1916.0,American
NGA-1820,"Redon, Odilon",Odilon Redon,1840.0,1916.0,French
NGA-1922,"Tarbell, Edmund Charles",Edmund Charles Tarbell,1862.0,1938.0,American
NGA-1429,Juan de Flandes,Juan de Flandes,1476.0,1519.0,Hispano-Flemish
NGA-6818,"Cossiers, Jan",Jan Cossiers,1600.0,1671.0,Flemish
NGA-8352,Flemish 17th century,Flemish 17th century,1600.0,1699.0,Flemish
NGA-1002,"Boudin, Eugène",Eugène Boudin,1824.0,1898.0,French
NGA-1481,"Lépine, Stanislas",Stanislas Lépine,1835.0,1892.0,French
NGA-1506,"Manet, Edouard",Edouard Manet,1832.0,1883.0,French
NGA-1791,"Pissarro, Camille",Camille Pissarro,1830.0,1903.0,French
NGA-1935,"Toulouse-Lautrec, Henri de",Henri de Toulouse-Lautrec,1864.0,1901.0,French
NGA-1960,"Vuillard, Edouard",Edouard Vuillard,1868.0,1940.0,French
NGA-2832,French 19th Century,French 19th Century,1800.0,1899.0,French
NGA-1911,"Stuart, Gilbert",Gilbert Stuart,1755.0,1828.0,American
NGA-8370,Tyrolean 16th Century,Tyrolean 16th Century,1500.0,1599.0,German
NGA-1330,"Gauguin, Paul",Paul Gauguin,1848.0,1903.0,French
NGA-1823,"Renoir, Auguste",Auguste Renoir,1841.0,1919.0,French
NGA-1877,"Sisley, Alfred",Alfred Sisley,1839.0,1899.0,French
NGA-1260,"Eakins, Thomas",Thomas Eakins,1844.0,1916.0,American
