title,creation_year_start,creation_year_end,medium,classification,dimension,artwork_id,full_image_url,artist_display,artist_id
An Old Woman Dozing over a Book,1655.0,1655.0,Oil on canvas,Painting,overall: 82.2 x 67 cm (32 3/8 x 26 3/8 in.),NGA-c5f5cfa6-6150-435a-bf5d-a0a7a55c52f7,https://api.nga.gov/iiif/c5f5cfa6-6150-435a-bf5d-a0a7a55c52f7/full/max/0/default.jpg,"Nicolaes Maes (Dutch, 1634-1693)",NGA-1503
Profile Portrait of a Lady,1410.0,1410.0,Oil on panel,Painting,"painted surface: 52 x 36.6 cm (20 1/2 x 14 7/16 in.)
overall (panel): 53 x 37.6 cm (20 7/8 x 14 13/16 in.)
framed: 74.1 x 61.3 x 5.4 cm (29 3/16 x 24 1/8 x 2 1/8 in.)",NGA-82e62b74-1316-4ed3-9bf2-504e3939edec,https://api.nga.gov/iiif/82e62b74-1316-4ed3-9bf2-504e3939edec/full/max/0/default.jpg,Franco-Flemish 15th Century,NGA-8343
"Henry, Duke of Gloucester",1653.0,1653.0,Oil on canvas,Painting,"overall: 104.8 x 87 cm (41 1/4 x 34 1/4 in.)
framed: 128.91 x 111.13 x 11.43 cm (50 3/4 x 43 3/4 x 4 1/2 in.)",NGA-51c903d0-02a1-404b-bf92-1e3942c02fef,https://api.nga.gov/iiif/51c903d0-02a1-404b-bf92-1e3942c02fef/full/max/0/default.jpg,"Adriaen Hanneman (Dutch, c. 1603/1604-1671)",NGA-1371
Portrait of a Man with an Arrow,1470.0,1475.0,Oil on panel,Painting,"painted surface: 31.3 x 25.1 cm (12 5/16 x 9 7/8 in.)
overall (panel): 31.9 x 25.8 cm (12 9/16 x 10 3/16 in.)
framed: 40.2 x 32.7 x 6.4 cm (15 13/16 x 12 7/8 x 2 1/2 in.)",NGA-8835af10-db33-41e3-8684-4fc3117c2a15,https://api.nga.gov/iiif/8835af10-db33-41e3-8684-4fc3117c2a15/full/max/0/default.jpg,"Hans Memling (Netherlandish, active c. 1465-1494)",NGA-1712
Portrait of a Gentleman,1569.0,1569.0,Oil on canvas,Painting,overall: 119.7 x 88.3 cm (47 1/8 x 34 3/4 in.),NGA-2b2c95ba-68bc-4a33-a23e-878bc480e874,https://api.nga.gov/iiif/2b2c95ba-68bc-4a33-a23e-878bc480e874/full/max/0/default.jpg,"Antonis Mor (Netherlandish, 1519-1576)",NGA-1729
Christ Appearing to the Virgin,1475.0,1475.0,Oil on panel,Painting,"overall: 163 × 93 cm (64 3/16 × 36 5/8 in.)
framed: 182.88 × 115.57 × 11.43 cm (72 × 45 1/2 × 4 1/2 in.)",NGA-89d562d2-a933-4218-bb2a-2e0f325af98b,https://api.nga.gov/iiif/89d562d2-a933-4218-bb2a-2e0f325af98b/full/max/0/default.jpg,Anonymous Artist,NGA-13
The Lacemaker,1925.0,1925.0,Oil on canvas,Painting,"overall: 44.5 x 40 cm (17 1/2 x 15 3/4 in.)
framed: 67.3 x 61.9 x 9.5 cm (26 1/2 x 24 3/8 x 3 3/4 in.)",NGA-b386f7e0-cacb-495a-9eef-3c96f5a6ce14,https://api.nga.gov/iiif/b386f7e0-cacb-495a-9eef-3c96f5a6ce14/full/max/0/default.jpg,Anonymous Artist,NGA-13
The Smiling Girl,1925.0,1925.0,Oil on canvas,Painting,"overall: 41 x 31.8 cm (16 1/8 x 12 1/2 in.)
framed: 68.9 x 59.1 x 12.1 cm (27 1/8 x 23 1/4 x 4 3/4 in.)",NGA-53b11b32-8e95-41d4-bb53-a55931823419,https://api.nga.gov/iiif/53b11b32-8e95-41d4-bb53-a55931823419/full/max/0/default.jpg,Anonymous Artist,NGA-13
Sir Brian Tuke,1527.0,1534.0,Oil on panel,Painting,"overall: 49.1 x 38.5 cm (19 5/16 x 15 3/16 in.)
framed: 67 x 57.5 x 7.6 cm (26 3/8 x 22 5/8 x 3 in.)",NGA-7c06df7a-06da-47fc-93e4-fc35ff83fc50,https://api.nga.gov/iiif/7c06df7a-06da-47fc-93e4-fc35ff83fc50/full/max/0/default.jpg,"Hans Holbein the Younger (German, 1497/1498-1543)",NGA-1400
Scene from Ancient History,1750.0,1750.0,Oil on canvas,Painting,"overall (oval): 140.3 x 109.3 cm (55 1/4 x 43 1/16 in.)
framed: 165.7 x 134.6 cm (65 1/4 x 53 in.)",NGA-ce14cdf4-fedc-4229-bb08-7f50d89f3871,https://api.nga.gov/iiif/ce14cdf4-fedc-4229-bb08-7f50d89f3871/full/max/0/default.jpg,"Giovanni Battista Tiepolo (Venetian, 1696-1770)",NGA-1927
Adriaen van Ostade,1646.0,1648.0,Oil on canvas,Painting,"overall: 94 × 75 cm (37 × 29 1/2 in.)
framed: 119.06 × 99.22 × 9.53 cm (46 7/8 × 39 1/16 × 3 3/4 in.)",NGA-2a84e43d-2935-48b3-a4e2-7a3e4fc53580,https://api.nga.gov/iiif/2a84e43d-2935-48b3-a4e2-7a3e4fc53580/full/max/0/default.jpg,"Frans Hals (Dutch, c. 1582/1583-1666)",NGA-1369
An Old Lady with a Book,1637.0,1637.0,Oil on canvas,Painting,"overall: 109.7 x 91.5 cm (43 3/16 x 36 in.)
framed: 147.3 x 128.9 x 13.9 cm (58 x 50 3/4 x 5 1/2 in.)",NGA-d11ecc48-9cf8-482f-bf63-8ec3238816ef,https://api.nga.gov/iiif/d11ecc48-9cf8-482f-bf63-8ec3238816ef/full/max/0/default.jpg,"Rembrandt van Rijn (Dutch, 1606-1669)",NGA-1822
Pope Innocent X,1650.0,1650.0,Oil on canvas,Painting,"overall: 49.2 x 41.3 cm (19 3/8 x 16 1/4 in.)
framed: 78.4 x 69.5 cm (30 7/8 x 27 3/8 in.)",NGA-da9c1054-627f-4caf-bbdc-4faf97a779a8,https://api.nga.gov/iiif/da9c1054-627f-4caf-bbdc-4faf97a779a8/full/max/0/default.jpg,Anonymous Artist,NGA-13
Portrait of a Young Man,1650.0,1650.0,Oil on canvas,Painting,"overall: 59.5 x 47.8 cm (23 7/16 x 18 13/16 in.)
framed: 87.15 x 75.25 cm (34 5/16 x 29 5/8 in.)",NGA-1bd606b9-f58c-4d40-8514-f53c63e37dbd,https://api.nga.gov/iiif/1bd606b9-f58c-4d40-8514-f53c63e37dbd/full/max/0/default.jpg,Anonymous Artist,NGA-13
Saint Ildefonso,1603.0,1614.0,Oil on canvas,Painting,"overall: 112 x 65.8 cm (44 1/8 x 25 7/8 in.)
framed: 135.4 x 89.9 x 6.7 cm (53 5/16 x 35 3/8 x 2 5/8 in.)",NGA-a600b632-2bb6-4979-a750-85cee48c24b6,https://api.nga.gov/iiif/a600b632-2bb6-4979-a750-85cee48c24b6/full/max/0/default.jpg,"El Greco (Greek, 1541-1614)",NGA-1356
