artist_id,display_name,birth_year,death_year,nationality
TCMA-2409,"John Singleton Copley (American, 1738–1815)",1738,1815,American
TCMA-3071,"William Merritt Chase (American, 1849–1916)",1849,1916,American
TCMA-3005,"George Bellows (American, 1882–1925)",1882,1925,American
TCMA-4037,"Thomas Eakins (American, 1844–1916)",1844,1916,American
TCMA-3267,"Albert Pinkham Ryder (American, 1847–1917)",1847,1917,American
TCMA-2697,"Frederic Edwin Church (American, 1826–1900)",1826,1900,American
TCMA-1776,"Paul Gauguin (French, 1848–1903)",1848,1903,French
TCMA-889,"Charles Sheeler (American, 1883–1965)",1883,1965,American
TCMA-1804,"Henri Rousseau (French, 1844–1910)",1844,1910,French
TCMA-1779,"Vincent van Gogh (Dutch, 1853–1890)",1853,1890,Dutch
TCMA-2659,"Thomas Cole (American, 1801–1848)",1801,1848,American
TCMA-1844,"Claude Monet (French, 1840–1926)",1840,1926,French
TCMA-2633,"Pieter de Hooch (Dutch, 1629–1684)",1629,1684,Dutch
TCMA-1759,"Edgar Degas (French, 1834–1917)",1834,1917,French
TCMA-1643,"Jacques-Louis David (French, 1748–1825)",1748,1825,French
TCMA-2553,"Benjamin West (American, 1738–1820)",1738,1820,American
TCMA-2541,"Joshua Reynolds (British, 1723–1792)",1723,1792,British
TCMA-2209,"Lorenzo Lotto (Italian, 1480–1556)",1480,1556,Italian
TCMA-2694,"John James Audubon (American, 1785–1851)",1785,1851,American
TCMA-2291,"Andrea del Sarto (Italian, 1486–1530)",1486,1530,Italian
TCMA-2647,"Lucas Cranach (German, 1472–1553)",1472,1553,German
TCMA-1946,"Nicolas Poussin (French, 1594–1665)",1594,1665,French
TCMA-1251,"Peter Paul Rubens (Flemish, 1577–1640)",1577,1640,Flemish
TCMA-2673,"Willem Kalf (Dutch, 1619–1693)",1619,1693,Dutch
TCMA-1600,"Gustave Courbet (French, 1819–1877)",1819,1877,French
TCMA-2523,"Charles Willson Peale (American, 1741–1827)",1741,1827,American
TCMA-2443,"Anthony van Dyck (Flemish, 1599–1641)",1599,1641,Flemish
TCMA-2065,"Caravaggio (Italian, 1571–1610)",1571,1610,Italian
TCMA-1638,"Honoré Daumier (French, 1808–1879)",1808,1879,French
TCMA-1280,"Joseph Mallord William Turner (British, 1775–1851)",1775,1851,British
TCMA-2493,"George Inness (American, 1825–1894)",1825,1894,American
TCMA-2520,"Rembrandt van Rijn (Dutch, 1606–1669)",1606,1669,Dutch
TCMA-2876,"William Sidney Mount (American, 1807–1868)",1807,1868,American
TCMA-1536,"John Constable (British, 1776–1837)",1776,1837,British
TCMA-61584,"Petrus Christus (Netherlandish, c. 1410–1475/76)",1410,1476,Netherlandish
TCMA-2676,"Jacob van Ruisdael (Dutch, 1628/29–1682)",1628,1682,Dutch
TCMA-5148,"Francisco de Zurbarán (Spanish, 1598–1664)",1598,1664,Spanish
TCMA-2535,"Albert Bouts (Netherlandish, 1451–55–1549)",1451,1549,Netherlandish
TCMA-2775,"Arnold Böcklin (Swiss, 1827–1901)",1827,1901,Swiss
TCMA-2605,"Robert S. Duncanson (American, 1821–1872)",1821,1872,American
TCMA-1836,"Camille Pissarro (French, 1830–1903)",1830,1903,French
TCMA-2249,"Giovanni Paolo Panini (Italian, 1691–1765)",1691,1765,Italian
TCMA-2879,"Friedrich Amerling (Austrian, 1803–1887)",1803,1887,Austrian
TCMA-1910,"Georges de La Tour (French, 1593–1652)",1593,1652,French
TCMA-1588,"Jean Baptiste Camille Corot (French, 1796–1875)",1796,1875,French
TCMA-2832,"Emanuel de Witte (Dutch, c. 1617–1692)",1617,1692,Dutch
TCMA-2614,"Frans Hals (Dutch, c. 1581–1666)",1581,1666,Dutch
TCMA-1978,"Anne Vallayer-Coster (French, 1744–1818)",1744,1818,French
TCMA-1833,"Edouard Vuillard (French, 1868–1940)",1868,1940,French
TCMA-3155,"Ernst Ludwig Kirchner (German, 1880–1938)",1880,1938,German
TCMA-3011,"Albert Bierstadt (American, 1830–1902)",1830,1902,American
TCMA-2556,"Gilbert Stuart (American, 1755–1828)",1755,1828,American
TCMA-3143,"Winslow Homer (American, 1836–1910)",1836,1910,American
TCMA-1949,"Jean-Baptiste Oudry (French, 1686–1755)",1686,1755,French
TCMA-2175,"Orazio Gentileschi (Italian, 1563–1639)",1563,1639,Italian
TCMA-59748,"Angelos Akotantos (Cretan, died 1450)",None,1450,Cretan
TCMA-2706,"Washington Allston (American, 1779–1843)",1779,1843,American
TCMA-2403,"Jusepe de Ribera (Spanish, 1591–1652)",1591,1652,Spanish
TCMA-1765,"Pierre-Auguste Renoir (French, 1841–1919)",1841,1919,French
TCMA-1882,"Laurent de La Hyre (French, 1606–1656)",1606,1656,French
TCMA-2285,"Salvator Rosa (Italian, 1615–1673)",1615,1673,Italian
TCMA-2984,"Hans Memling (Netherlandish, 1494)",None,1494,Netherlandish
TCMA-2391,"El Greco (Spanish, 1541–1614)",1541,1614,Spanish
TCMA-2819,"Hans Holbein the Younger (German, active England and Switzerland, 1497/98–1543)",1497,1543,German
TCMA-62091,"Johann Georg Platzer (Austrian, 1704–1761)",1704,1761,Austrian
TCMA-1685,"Jean-Auguste-Dominique Ingres (French, 1780–1867)",1780,1867,French
TCMA-2968,"John Linnell (British, 1792–1882)",1792,1882,British
TCMA-1571,"William Adolphe Bouguereau (French, 1825–1905)",1825,1905,French
TCMA-2197,"Filippo Lippi (Italian, c. 1406–1469)",1406,1469,Italian
TCMA-14219,"Rockwell Kent (American, 1882–1971)",1882,1971,American
TCMA-2344,"Giovanni Francesco Toscani (Italian, c. 1380–1430)",1380,1430,Italian
TCMA-2547,"Joseph Badger (American, 1708–1765)",1708,1765,American
TCMA-4062,"George Luks (American, 1866–1933)",1866,1933,American
TCMA-2371,"Juan de Flandes (Netherlandish, c. 1460–1519)",1460,1519,Netherlandish
TCMA-2590,"Gerard ter Borch (Dutch, 1617–1681)",1617,1681,Dutch
TCMA-1907,"Noël Nicolas Coypel (French, 1690–1734)",1690,1734,French
TCMA-282522,"Battista di Biagio Sanguigni (Italian, active 1393–1451)",None,None,Italian
TCMA-25419,"Joseph Wright of Derby (British, 1734–1797)",1734,1797,British
TCMA-1748,"Odilon Redon (French, 1840–1916)",1840,1916,French
TCMA-2858,"Maerten van Heemskerck (Dutch, 1498–1574)",1498,1574,Dutch
TCMA-1935,"Jean-Marc Nattier (French, 1685–1766)",1685,1766,French
TCMA-2715,"Robert Campin (Netherlandish, 1375/79–1444)",1375,1444,Netherlandish
TCMA-2688,"Jan Steen (Dutch, 1626–1679)",1626,1679,Dutch
TCMA-2550,"Robert Feke (American, c. 1707–c. 1752)",1707,1752,American
TCMA-1793,"Jean Lecomte du Nouÿ (French, 1842–1923)",1842,1923,French
TCMA-2258,"Sano di Pietro (Italian, 1406–1481)",1406,1481,Italian
TCMA-2362,"Paolo Veronese (Italian, 1528–1588)",1528,1588,Italian
TCMA-6256,"Yan Hui (Chinese, active 1270–1310)",1245,1315,Chinese
TCMA-44231,"Charles Meynier (French, 1768–1832)",1768,1832,French
TCMA-5145,"Diego Velázquez (Spanish, 1599–1660)",1599,1660,Spanish
TCMA-2747,"Gerrit van Honthorst (Dutch, 1590–1656)",1590,1656,Dutch
TCMA-1813,"Giovanni Segantini (Italian, 1858–1899)",1858,1899,Italian
