title,creation_year_start,creation_year_end,medium,classification,dimension,artwork_id,full_image_url,artist_id,artist_display
Nathaniel Hurd,1760,1770,oil on canvas,Painting,"{'framed': {'height': 0.905, 'width': 0.78, 'depth': 0.065}, 'unframed': {'height': 0.762, 'width': 0.648}}",TCMA-d1eebb13-97e5-447c-82fe-96e55b6a2f2c,https://openaccess-cdn.clevelandart.org/1915.534/1915.534_full.tif,TCMA-2409,"John Singleton Copley (American, 1738–1815)"
Portrait of Dora Wheeler,1882,1883,oil on canvas,Painting,"{'framed': {'height': 1.806, 'width': 1.886, 'depth': 0.11}, 'unframed': {'height': 1.598, 'width': 1.664}}",TCMA-e33b164d-4030-41d1-8dc7-d13765b7b389,https://openaccess-cdn.clevelandart.org/1921.1239/1921.1239_full.tif,TCMA-3071,"William Merritt Chase (American, 1849–1916)"
Stag at Sharkey's,1909,1909,oil on canvas,Painting,"{'framed': {'height': 1.1, 'width': 1.405, 'depth': 0.085}, 'unframed': {'height': 0.92, 'width': 1.226}}",TCMA-327e812b-38b3-4be1-a08c-7c5b5919ff56,https://openaccess-cdn.clevelandart.org/1922.1133/1922.1133_full.tif,TCMA-3005,"George Bellows (American, 1882–1925)"
The Biglin Brothers Turning the Stake,1873,1873,oil on canvas,Painting,"{'framed': {'height': 1.17, 'width': 1.67, 'depth': 0.065}, 'unframed': {'height': 1.013, 'width': 1.514}}",TCMA-21802ca4-058d-4b1f-9c4a-ab05bab85809,https://openaccess-cdn.clevelandart.org/1927.1984/1927.1984_full.tif,TCMA-4037,"Thomas Eakins (American, 1844–1916)"
The Race Track (Death on a Pale Horse),1896,1908,oil on canvas,Painting,"{'framed': {'height': 0.845, 'width': 1.02, 'depth': 0.065}, 'unframed': {'height': 0.705, 'width': 0.9}}",TCMA-a213ea09-e6fd-41ac-9a0a-7aca900f020d,https://openaccess-cdn.clevelandart.org/1928.8/1928.8_full.tif,TCMA-3267,"Albert Pinkham Ryder (American, 1847–1917)"
Twilight in the Wilderness,1860,1860,oil on canvas,Painting,"{'framed': {'height': 1.24, 'width': 1.85, 'depth': 0.13}, 'unframed': {'height': 1.016, 'width': 1.626}}",TCMA-2cbc614d-d26c-4e6c-81a5-4fdf0ab86ba3,https://openaccess-cdn.clevelandart.org/1965.233/1965.233_full.tif,TCMA-2697,"Frederic Edwin Church (American, 1826–1900)"
In the Waves (Dans les Vagues),1889,1889,oil on fabric,Painting,"{'framed': {'height': 1.238, 'width': 1.06, 'depth': 0.07}, 'unframed': {'height': 0.925, 'width': 0.724}}",TCMA-563054a8-5e8f-4b83-8fa8-39a753c26ae4,https://openaccess-cdn.clevelandart.org/1978.63/1978.63_full.tif,TCMA-1776,"Paul Gauguin (French, 1848–1903)"
Church Street El,1920,1920,oil on canvas,Painting,"{'framed': {'height': 0.6, 'width': 0.675, 'depth': 0.06}, 'unframed': {'height': 0.41, 'width': 0.485}}",TCMA-33de2c6d-e3ad-4e1f-ae0f-c2a9a0f6d2e8,https://openaccess-cdn.clevelandart.org/1977.43/1977.43_full.tif,TCMA-889,"Charles Sheeler (American, 1883–1965)"
Fight between a Tiger and a Buffalo,1908,1908,oil on fabric,Painting,"{'framed': {'height': 1.83, 'width': 2.03, 'depth': 0.045}, 'unframed': {'height': 1.7, 'width': 1.895}}",TCMA-36e37951-58f2-421e-b66e-e6e2033e0897,https://openaccess-cdn.clevelandart.org/1949.186/1949.186_full.tif,TCMA-1804,"Henri Rousseau (French, 1844–1910)"
Adeline Ravoux,1890,1890,oil on fabric,Painting,"{'framed': {'height': 0.725, 'width': 0.735, 'depth': 0.085}, 'unframed': {'height': 0.502, 'width': 0.505}}",TCMA-e8a71258-9b65-4e5a-a487-5b628a8dfae7,https://openaccess-cdn.clevelandart.org/1958.31/1958.31_full.tif,TCMA-1779,"Vincent van Gogh (Dutch, 1853–1890)"
