tag,count,type
Nature,4658,movements
Realism,3942,movements
Trees,3267,object_tags
Traditional,2691,movements
Detailed,2502,style_tags
Harmony,2429,style_tags
Landscape,2138,movements
Tranquility,2076,style_tags
Spirituality,1688,style_tags
Baroque,1242,movements
Clouds,1120,object_tags
Minimalism,1112,movements
Woman,1072,object_tags
Mountains,1070,object_tags
Japanese,1003,movements
Chiaroscuro,952,style_tags
Portraiture,885,movements
Introspection,881,theme_tags
Ink Wash,838,movements
Vibrant,829,style_tags
Naturalism,802,movements
Sky,795,object_tags
Elegance,795,style_tags
Impressionism,771,movements
Beauty,762,theme_tags
Tradition,738,theme_tags
Romanticism,724,movements
Renaissance,702,movements
River,699,object_tags
Serenity,692,theme_tags
Rocks,676,object_tags
Man,676,object_tags
Figures,647,object_tags
Miniature,643,movements
Devotion,624,theme_tags
Contemplation,613,style_tags
Calligraphy,606,movements
Divinity,602,theme_tags
Flowers,588,object_tags
Portrait,582,movements
Horses,574,object_tags
Monochrome,569,style_tags
Enlightenment,512,movements
Chinese Painting,501,movements
Hills,501,object_tags
Architecture,487,style_tags
Indian Miniature,486,movements
Foliage,476,object_tags
Chinese,472,style_tags
Status,460,theme_tags
Rococo,442,movements
Wisdom,441,theme_tags
Mythology,437,style_tags
Neoclassicism,434,movements
Culture,432,theme_tags
Religious,428,movements
Vibrant Colors,419,style_tags
Divine,418,theme_tags
Solitude,415,theme_tags
Ink Painting,408,movements
East Asian,407,movements
Japanese Art,401,movements
Table,398,object_tags
Chinese Landscape Painting,393,movements
Simplicity,391,style_tags
Nihonga,390,movements
Dignity,389,theme_tags
Ink,383,style_tags
Classical,381,movements
Nobility,381,theme_tags
Northern Renaissance,377,movements
Dog,376,object_tags
Birds,374,object_tags
Power,370,theme_tags
Dramatic,358,style_tags
Buddhist Art,358,movements
Identity,356,theme_tags
Chair,351,object_tags
Edo Period,350,movements
Ukiyo-E,348,movements
Buildings,347,object_tags
Community,344,theme_tags
Intricate,340,style_tags
Muted Colors,337,style_tags
Elegant,337,style_tags
Gothic,336,movements
Manuscript,334,movements
Book,326,object_tags
Water,319,object_tags
Traditional Chinese,319,movements
Innocence,315,theme_tags
Family,313,theme_tags
Leisure,310,theme_tags
Japanese Ink Painting,310,movements
Mughal,308,movements
Gold Leaf,304,style_tags
Path,304,object_tags
Naturalistic,299,style_tags
Delicate,298,style_tags
Expressive,295,style_tags
Leaves,294,object_tags
Faith,292,theme_tags
Ornate,291,style_tags
Dutch Golden Age,289,movements
Rural Life,288,style_tags
Boats,277,object_tags
Reflection,276,style_tags
Grass,272,object_tags
Child,270,object_tags
People,265,object_tags
Attendants,263,object_tags
Religion,261,theme_tags
Transience,259,theme_tags
Dynamic,259,style_tags
Indian,257,movements
Japanese Painting,251,movements
Figure,251,style_tags
Virgin Mary,247,object_tags
Hat,247,object_tags
Christ,244,object_tags
Buddhism,239,movements
Folk Art,239,movements
Post-Impressionism,233,movements
Authority,233,theme_tags
Angels,220,object_tags
Bridge,218,object_tags
Narrative,217,movements
Boat,216,object_tags
History,216,theme_tags
Jewelry,208,object_tags
Decorative,206,movements
Still Life,203,movements
Drapery,202,style_tags
Bamboo,201,object_tags
Sacrifice,199,theme_tags
Music,195,theme_tags
American Realism,195,movements
Heritage,192,theme_tags
East Asian Art,189,movements
Royalty,186,theme_tags
Branches,186,object_tags
Peace,185,theme_tags
Love,183,theme_tags
Protection,178,theme_tags
Miniature Painting,177,movements
Columns,177,object_tags
Chinese Traditional Art,176,movements
Scroll,175,style_tags
Intimacy,175,style_tags
Femininity,174,theme_tags
Chinese Landscape,172,movements
Pavilion,172,object_tags
Minimalist,169,style_tags
Hudson River School,166,movements
Persian Miniature,166,movements
Resilience,165,theme_tags
Pastoral,165,movements
Atmospheric,163,style_tags
Delicate Brushwork,163,style_tags
Sea,162,style_tags
Earthy Tones,161,style_tags
Stream,161,object_tags
Mist,160,object_tags
Ritual,158,theme_tags
Balance,158,style_tags
Window,157,object_tags
Motherhood,156,theme_tags
Meditation,156,style_tags
Indian Art,155,movements
Madonna,155,object_tags
Curtain,154,object_tags
Celebration,152,theme_tags
Animals,151,object_tags
Cultural Identity,151,theme_tags
Tibetan Art,150,movements
Medieval,150,movements
Conflict,150,theme_tags
Halo,149,object_tags
Historical,149,movements
Soldiers,148,object_tags
Sacred,148,movements
Gentleman,148,object_tags
Compassion,147,theme_tags
Vegetation,145,object_tags
Krishna,145,object_tags
Fan,144,object_tags
Traditional Japanese,143,movements
Sword,143,object_tags
Symmetrical,143,style_tags
Sumi-E,143,movements
Childhood,143,theme_tags
Symbolism,141,movements
Reverence,141,theme_tags
Edo Period Art,140,movements
Waterfall,139,object_tags
Grace,139,style_tags
Christ Child,139,object_tags
Leadership,138,theme_tags
Vase,138,object_tags
Basket,138,object_tags
Pastel,138,style_tags
Monochromatic,137,style_tags
Fence,135,object_tags
Refinement,134,style_tags
Throne,133,object_tags
Cliffs,132,object_tags
Halos,132,style_tags
Realistic,132,style_tags
Text,131,object_tags
Emotion,131,style_tags
Colorful,131,style_tags
House,131,object_tags
Houses,130,object_tags
Tibetan,129,movements
Romance,129,style_tags
Cross,128,object_tags
Traditional Chinese Painting,128,movements
Abundance,128,theme_tags
Mughal Art,126,movements
Youth,126,theme_tags
